cik10,covers_first_eligible_decision,first_eligible_decision,first_price_date,issuer_name_match,issuer_name_score,last_eligible_decision,last_price_date,price_file,price_rows,provider_end_date,provider_exchange,provider_name,provider_start_date,sec_company_name,status,terminal,tiingo_symbol,cache_source,strict_issuer_name_score,strict_issuer_name_match,covers_last_eligible_decision,audit_status
0000741516,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-04-01 00:00:00+00:00,2024-04-01,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/AMNB/prices.csv.gz,312,2024-04-01,NASDAQ,American National Bankshares Inc,1999-04-13,AMERICAN NATIONAL BANKSHARES INC.,identity_and_start_validated,True,AMNB,broad_v2,1.0,True,True,validated_history_through_last_decision
0000743238,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2025-07-01 00:00:00+00:00,2025-07-01,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/SHYF/prices.csv.gz,625,2025-07-01,NASDAQ,Shyft Group Inc (The),1990-03-26,"SHYFT GROUP, INC.",identity_and_start_validated,True,SHYF,broad_v2,1.0,True,True,validated_history_through_last_decision
0000794619,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/AMWD/prices.csv.gz,820,2026-05-28,NASDAQ,American Woodmark Corp,1986-07-21,AMERICAN WOODMARK CORP,identity_and_start_validated,True,AMWD,broad_v2,1.0,True,True,validated_history_through_last_decision
0000800240,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/ODP/prices.csv.gz,779,2026-08-21,NASDAQ,ODP Corporation (The),1990-03-26,ODP CORP,identity_and_start_validated,True,ODP,broad_v2,1.0,True,True,validated_history_through_last_decision
0000803649,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2026-04-01 00:00:00+00:00,2026-04-10,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/EQC/prices.csv.gz,817,2026-08-21,NYSE,Equity Commonwealth,1988-01-05,EQUITY COMMONWEALTH,identity_and_start_validated,True,EQC,broad_v2,1.0,True,True,validated_history_through_last_decision
0000806279,True,2024-07-01 00:00:00+00:00,2024-07-01,True,1.0,2024-07-01 00:00:00+00:00,2024-07-01,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/CVLY/prices.csv.gz,1,2024-07-01,NASDAQ,Codorus Valley Bancorp Inc,1997-04-25,CODORUS VALLEY BANCORP INC,rejected_insufficient_prices,True,CVLY,broad_v2,1.0,True,True,rejected_insufficient_prices
0000807707,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2025-04-01 00:00:00+00:00,2025-04-01,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/VOXX/prices.csv.gz,563,2025-04-01,NASDAQ,VOXX International Corp - Class A,1992-03-16,VOXX INTERNATIONAL CORP,identity_and_start_validated,True,VOXX,broad_v2,1.0,True,True,validated_history_through_last_decision
0000808326,True,2012-04-01 00:00:00+00:00,2012-04-02,True,1.0,2025-10-01 00:00:00+00:00,2025-02-28,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/tiingo_delisted_price_probe_cache_v1/EMKR/prices.csv.gz,3247,2025-02-28,NASDAQ,Emcore Corp,1997-03-07,EMCORE CORP,identity_and_start_validated,True,EMKR,legacy_authenticated_v1,1.0,True,False,validated_sec_confirmed_early_delisting
0000809248,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-04-01 00:00:00+00:00,2024-04-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/TAST/prices.csv.gz,320,2024-05-16,NASDAQ,Carrols Restaurant Group Inc,2006-12-15,"CARROLS RESTAURANT GROUP, INC.",identity_and_start_validated,True,TAST,broad_v2,1.0,True,True,validated_history_through_last_decision
0000811808,True,2023-01-01 00:00:00+00:00,2023-01-03,True,1.0,2024-04-01 00:00:00+00:00,2024-04-11,/Users/nicholasturangan/Documents/Portfolio Optimizer/2.0/data/sec_broad_tiingo_cache_v2/SMMF/prices.csv.gz,320,2024-05-03,NASDAQ,Summit Financial Group Inc,2000-01-07,"SUMMIT FINANCIAL GROUP, INC.",identity_and_start_validated,True,SMMF,broad_v2,1.0,True,True,validated_history_through_last_decision
