cik10,company_name,sec_terminal_date,completion_accession,completion_items,nearby_25_nse,notice_accessions,later_periodic_filing,terminal_reason
0001733186,"VEONEER, INC.",2022-04-01,0001140361-22-012615,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000334,False,completion_8k
0001378946,"PEOPLE'S UNITED FINANCIAL, INC.",2022-04-04,0001193125-22-094315,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000218,False,completion_8k
0001641991,"SPX FLOW, INC.",2022-04-05,0001641991-22-000044,1.02|2.01|2.04|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000341,False,completion_8k
0001708301,BP MIDSTREAM PARTNERS LP,2022-04-05,0001708301-22-000022,2.01|3.01|3.03|5.02|5.07|7.01|9.01,True,0000876661-22-000342,False,completion_8k
0001580156,HOUGHTON MIFFLIN HARCOURT CO,2022-04-07,0001193125-22-098302,1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0001354457-22-000226,False,completion_8k
0001594012,"INVESTORS BANCORP, INC.",2022-04-07,0001193125-22-098215,2.01|3.01|3.03|5.01|5.03|9.01,True,0001354457-22-000225,False,completion_8k
0001499453,"SPIRIT OF TEXAS BANCSHARES, INC.",2022-04-11,0001552781-22-000324,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000227,False,completion_8k
0000035214,FERRO CORP,2022-04-22,0000876661-22-000378,,True,0000876661-22-000378,False,form25_plus_form15_no_later_periodic
0001656936,MGM GROWTH PROPERTIES LLC,2022-04-29,0001193125-22-134266,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000383,False,completion_8k
0001783400,"US ECOLOGY, INC.",2022-05-02,0001104659-22-054616,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000269,False,completion_8k
0001093082,HUTTIG BUILDING PRODUCTS INC,2022-05-03,0001193125-22-138030,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|8.01|9.01,True,0001193125-22-138652|0001354457-22-000272,False,completion_8k
0001772757,DRAFTKINGS INC.,2022-05-05,0001104659-22-056126,1.01|2.01|2.03|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000277,False,completion_8k
0001655075,"ARMSTRONG FLOORING, INC.",2022-05-12,0001193125-22-148844,1.01|1.03|2.03|2.04|3.01|9.01,True,0000876661-22-000435,False,bankruptcy_equity_termination
0001073349,BOTTOMLINE TECHNOLOGIES INC,2022-05-13,0001193125-22-149601,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000295,False,completion_8k
0001271214,"INTERSECT ENT, INC.",2022-05-13,0001140361-22-018976,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000294,False,completion_8k
0000929940,ASPEN TECHNOLOGY INC /DE/,2022-05-17,0001140361-22-019468,2.01|3.01|3.03|5.01|5.02|5.03|5.07|8.01|9.01,True,0001354457-22-000303,False,completion_8k
0001439404,ZYNGA INC,2022-05-23,0001193125-22-156900,1.01|1.02|2.01|2.04|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000311,False,completion_8k
0001644675,MIMECAST LTD,2022-05-23,0001193125-22-157539,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000308,False,completion_8k
0000088790,INTRICON CORP,2022-05-24,0001140361-22-020437,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000316,False,completion_8k
0001016169,"ANTARES PHARMA, INC.",2022-05-24,0001193125-22-158545,1.01|1.02|2.01|2.04|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000314,False,completion_8k
0001801075,AMERICAN NATIONAL GROUP INC,2022-05-25,0001193125-22-159211,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000318,False,completion_8k
0000353569,QUIDEL CORP /DE/,2022-05-27,0001354457-22-000322,,True,0001354457-22-000322,False,form25_plus_form15_no_later_periodic
0001380846,"TRISTATE CAPITAL HOLDINGS, INC.",2022-06-01,0001193125-22-165229,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000329,False,completion_8k
0000804753,CERNER CORP,2022-06-08,0001193125-22-169841,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000333,False,completion_8k
0001463258,"RENEWABLE ENERGY GROUP, INC.",2022-06-13,0001193125-22-172511,1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|8.01|9.01,True,0001354457-22-000343,False,completion_8k
0001472595,R1 RCM INC.,2022-06-22,0001354457-22-000360,,True,0001354457-22-000360,False,form25_plus_form15_no_later_periodic
0001540755,"ANAPLAN, INC.",2022-06-22,0001193125-22-178282,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000504,False,completion_8k
0001724570,DATTO HOLDING CORP.,2022-06-23,0001193125-22-179443,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000506,False,completion_8k
0001481832,PREFERRED APARTMENT COMMUNITIES INC,2022-06-24,0000876661-22-000508,,True,0000876661-22-000508,False,form25_plus_form15_no_later_periodic
0000007039,TRECORA RESOURCES,2022-06-27,0001193125-22-182819,1.02|2.01|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0000876661-22-000512|0000876661-22-000511,False,completion_8k
0000704415,"TIVITY HEALTH, INC.",2022-06-28,0001564590-22-024375,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000367,False,completion_8k
0000021510,COHERENT INC,2022-07-01,0001104659-22-076572,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000376,False,completion_8k
0001102934,"CMC MATERIALS, INC.",2022-07-06,0001140361-22-025276,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000381,False,completion_8k
0001296435,NEENAH INC,2022-07-06,0001193125-22-188219,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000540,False,completion_8k
0001609702,"CDK GLOBAL, INC.",2022-07-06,0001104659-22-077726,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000380,False,completion_8k
0001255474,WHITING PETROLEUM CORP,2022-07-07,0001193125-22-189511,1.01|1.02|2.01|2.02|3.01|3.03|5.01|5.02|5.03|7.01|9.01,True,0000876661-22-000538,False,completion_8k
0001310114,"SERVICESOURCE INTERNATIONAL, INC.",2022-07-20,0001310114-22-000006,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000417,False,completion_8k
0000878526,NATUS MEDICAL INC,2022-07-21,0000878526-22-000066,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000420,False,completion_8k
0000899749,HEALTHCARE REALTY TRUST INC,2022-07-21,0001193125-22-199274,1.02|2.01|3.01|3.03|4.01|5.01|5.02|5.03|9.01,True,0000876661-22-000574,False,completion_8k
0001272830,VONAGE HOLDINGS CORP,2022-07-21,0001272830-22-000105,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01,True,0001354457-22-000419,False,completion_8k
0000812128,SANDERSON FARMS INC,2022-07-22,0001193125-22-200042,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000423,False,completion_8k
0001845290,"MACQUARIE INFRASTRUCTURE HOLDINGS, LLC",2022-07-22,0000876661-22-000576,,True,0000876661-22-000576,False,form25_plus_form15_no_later_periodic
0001812667,CC NEUBERGER PRINCIPAL HOLDINGS II,2022-07-25,0000876661-22-000583,,True,0000876661-22-000583,False,form25_plus_form15_no_later_periodic
0001811882,"PERSHING SQUARE TONTINE HOLDINGS, LTD.",2022-07-26,0000876661-22-000588,,True,0000876661-22-000588,False,form25_plus_form15_no_later_periodic
0001819035,"METROMILE, INC.",2022-07-28,0001104659-22-083464,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-22-000428,False,completion_8k
0001650962,"WELBILT, INC.",2022-07-29,0001213900-22-042657,1.02|2.01|2.04|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000597,False,completion_8k
0001113256,"MERITOR, INC.",2022-08-03,0001140361-22-027939,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000609,False,completion_8k
0001227025,NEOPHOTONICS CORP,2022-08-03,0001193125-22-210667,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-22-000607,False,completion_8k
0001283630,AMERICAN CAMPUS COMMUNITIES INC,2022-08-10,0000876661-22-000619,,True,0000876661-22-000619,False,form25_plus_form15_no_later_periodic
0001571498,"EPIZYME, INC.",2022-08-12,0001193125-22-219637,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000461,False,completion_8k
0001428522,"RADIUS HEALTH, INC.",2022-08-15,0001193125-22-220887,1.01|1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000465,False,completion_8k
0001627857,"SAILPOINT TECHNOLOGIES HOLDINGS, INC.",2022-08-16,0001193125-22-222355,1.01|1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0000876661-22-000670,False,completion_8k
0001392091,"BLUEKNIGHT ENERGY PARTNERS, L.P.",2022-08-17,0001193125-22-223325,1.02|2.01|3.01|3.03|5.02|5.07|9.01,True,0001354457-22-000470|0001354457-22-000469,False,completion_8k
0001595893,"TURNING POINT THERAPEUTICS, INC.",2022-08-17,0001140361-22-029961,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-22-000467,False,completion_8k
0001748773,RATTLER MIDSTREAM LP,2022-08-24,0001193125-22-228618,1.02|2.01|2.03|3.01|3.03|5.02|5.03|7.01|9.01,True,0001354457-22-000476,False,completion_8k
