decision_time,cik10,income_tax,inventory
2023-07-01 00:00:00+00:00,0000045012,174000000.0,3133000000.0
2023-10-01 00:00:00+00:00,0000045012,167000000.0,3241000000.0
2024-01-01 00:00:00+00:00,0000045012,192000000.0,3336000000.0
2024-04-01 00:00:00+00:00,0000045012,192000000.0,3226000000.0
2024-07-01 00:00:00+00:00,0000045012,178000000.0,3258000000.0
2024-10-01 00:00:00+00:00,0000045012,207000000.0,3282000000.0
2025-01-01 00:00:00+00:00,0000045012,154000000.0,3194000000.0
2025-04-01 00:00:00+00:00,0000045012,154000000.0,3040000000.0
2025-07-01 00:00:00+00:00,0000045012,103000000.0,3044000000.0
2025-10-01 00:00:00+00:00,0000045012,131000000.0,3071000000.0
2026-01-01 00:00:00+00:00,0000045012,199000000.0,3095000000.0
2026-04-01 00:00:00+00:00,0000045012,199000000.0,2976000000.0
2026-07-01 00:00:00+00:00,0000045012,105000000.0,3019000000.0
2023-01-01 00:00:00+00:00,0000046129,2508000.0,112130000.0
2023-04-01 00:00:00+00:00,0000046129,2508000.0,117108000.0
2023-07-01 00:00:00+00:00,0000046129,1904000.0,116229000.0
2023-10-01 00:00:00+00:00,0000046129,2131000.0,116098000.0
2024-01-01 00:00:00+00:00,0000046129,1992000.0,117291000.0
2024-04-01 00:00:00+00:00,0000046129,1992000.0,117686000.0
2024-07-01 00:00:00+00:00,0000046129,1919000.0,124909000.0
2024-10-01 00:00:00+00:00,0000046129,299000.0,121653000.0
2025-01-01 00:00:00+00:00,0000046129,612000.0,117605000.0
2025-04-01 00:00:00+00:00,0000046129,612000.0,111517000.0
2025-07-01 00:00:00+00:00,0000046129,903000.0,105571000.0
2025-10-01 00:00:00+00:00,0000046129,1685000.0,106548000.0
2026-01-01 00:00:00+00:00,0000046129,1845000.0,111360000.0
2026-04-01 00:00:00+00:00,0000046129,1845000.0,109198000.0
2026-07-01 00:00:00+00:00,0000046129,1426000.0,110131000.0
2023-01-01 00:00:00+00:00,0000046765,1730000.0,87957000.0
2023-04-01 00:00:00+00:00,0000046765,32395000.0,90761000.0
2023-07-01 00:00:00+00:00,0000046765,51129000.0,99408000.0
2023-10-01 00:00:00+00:00,0000046765,40663000.0,101299000.0
2024-01-01 00:00:00+00:00,0000046765,40663000.0,94227000.0
2024-04-01 00:00:00+00:00,0000046765,30080000.0,101419000.0
2024-07-01 00:00:00+00:00,0000046765,32194000.0,107210000.0
2024-10-01 00:00:00+00:00,0000046765,33703000.0,115312000.0
2025-01-01 00:00:00+00:00,0000046765,33703000.0,117884000.0
