name,kind,cost_multiplier,cost_bps_per_one_way_turnover,ann_return,ann_vol,sharpe,max_drawdown,cvar_5,calmar,annualized_cost,avg_weekly_turnover
aggressive_taa_spy_trend,benchmark,1.0,10.0,0.09237202193182004,0.1253582216094161,0.7368644891886504,-0.3624634651518951,-0.04069558700964778,0.2548450556061156,0.002154954954954955,0.04147880973850315
aggressive_taa_spy_trend,benchmark,2.0,20.0,0.09001728411947862,0.12540930742332365,0.7177879056107218,-0.3653301433994124,-0.04077594415250493,0.2463998269670934,0.00430990990990991,0.04147880973850315
aggressive_taa_spy_trend,benchmark,3.0,30.0,0.08766644614947605,0.12546825566609743,0.6987141543019336,-0.3681853584831709,-0.040856301295362066,0.2381041074274091,0.0064648648648648645,0.04147880973850315
dual_momentum_top1,benchmark,1.0,10.0,0.05619201475614566,0.18252989721676982,0.30785101845213253,-0.3964845067882443,-0.05786057137628242,0.14172562557698343,0.010353153153153154,0.1992786293958521
dual_momentum_top1,benchmark,2.0,20.0,0.045304356113057276,0.18261977514297215,0.24808023160464804,-0.4601398224342633,-0.058078471707668555,0.09845780326811328,0.020706306306306307,0.1992786293958521
dual_momentum_top1,benchmark,3.0,30.0,0.03451818664597184,0.18275502680279815,0.18887681094112227,-0.5275708807646263,-0.05831061456481141,0.06542852895130122,0.03105945945945946,0.1992786293958521
static_global_growth_90_10,benchmark,1.0,10.0,0.10497409189588192,0.16397981821301855,0.640164704656002,-0.4987412312805396,-0.05380554386017246,0.21047807021359838,0.0,0.0
static_global_growth_90_10,benchmark,2.0,20.0,0.10497409189588192,0.16397981821301855,0.640164704656002,-0.4987412312805396,-0.05380554386017246,0.21047807021359838,0.0,0.0
static_global_growth_90_10,benchmark,3.0,30.0,0.10497409189588192,0.16397981821301855,0.640164704656002,-0.4987412312805396,-0.05380554386017246,0.21047807021359838,0.0,0.0
track_b_aggressive_cash_cap_20,candidate,1.0,10.0,0.073690692309617,0.08081497497002206,0.911844523084394,-0.11609349725187357,-0.026752929055139422,0.6347529711310144,0.003739666043453715,0.07198150288259735
track_b_aggressive_cash_cap_20,candidate,2.0,20.0,0.0696838790279326,0.08086123111423178,0.86177118586645,-0.11618713091046806,-0.026865677182708596,0.5997555708784124,0.00747933208690743,0.07198150288259735
track_b_aggressive_cash_cap_20,candidate,3.0,30.0,0.06569096145535847,0.08091637214970274,0.8118376999629214,-0.11628076289584299,-0.02697842531027777,0.5649340425655816,0.011218998130361145,0.07198150288259735
track_b_aggressive_cash_cap_15_good_20_neutral,candidate,1.0,10.0,0.07409003782666268,0.08120537048436205,0.912378545713678,-0.11609349725187357,-0.02690448655234343,0.6381928323333974,0.0037666284104263844,0.07250047748445042
track_b_aggressive_cash_cap_15_good_20_neutral,candidate,2.0,20.0,0.07005291295854765,0.08125175862388058,0.8621710366027513,-0.11618713091046817,-0.02701840469094896,0.6029317740234866,0.007533256820852769,0.07250047748445042
track_b_aggressive_cash_cap_15_good_20_neutral,candidate,3.0,30.0,0.06602990929866537,0.08130689108809519,0.8121071709299846,-0.1162807628958431,-0.027132322829554485,0.5678489515743095,0.011299885231279151,0.07250047748445042
