candidate,cost_bps,window,weeks,start,end,cagr,arithmetic_ann_return,ann_vol,sharpe_zero_rf,max_drawdown
ggg_plus_reversal_4w_10,50,post_2024,119,2024-01-05,2026-04-10,0.1481390064988024,0.14151701284031037,0.0802093919816592,1.7643446651817267,-0.07223614495787589
ggg_plus_reversal_4w_10,100,full,1110,2005-01-07,2026-04-10,0.039098033857253967,0.041453648641446995,0.07848461646581432,0.5281754630157749,-0.13286554793051497
ggg_plus_reversal_4w_10,100,recent_3y,157,2023-04-14,2026-04-10,0.10063793319996606,0.0991927434620817,0.0804169481080605,1.233480575870539,-0.07347154937837863
ggg_plus_reversal_4w_10,100,post_2024,119,2024-01-05,2026-04-10,0.12655264660139176,0.1225511125597711,0.080957255948293,1.5137755241857984,-0.07347154937837852
ggg_plus_reversal_4w_15,10,full,1110,2005-01-07,2026-04-10,0.06993087809997012,0.07080430100308382,0.0795261526389108,0.8903272527789868,-0.13383353678736432
ggg_plus_reversal_4w_15,10,recent_3y,157,2023-04-14,2026-04-10,0.13336138285464116,0.12848850351141186,0.07963460950884566,1.6134756521552305,-0.07055043048021303
ggg_plus_reversal_4w_15,10,post_2024,119,2024-01-05,2026-04-10,0.16293411456586426,0.15430309537645995,0.07955130617149171,1.9396676535244188,-0.07055043048021303
ggg_plus_reversal_4w_15,50,full,1110,2005-01-07,2026-04-10,0.055506972391745846,0.057220873391273054,0.07957715129601912,0.7190615956886552,-0.13838068052530395
ggg_plus_reversal_4w_15,50,recent_3y,157,2023-04-14,2026-04-10,0.11642587486846656,0.11341339713162582,0.07980391497775155,1.4211507939584695,-0.07153760504418671
ggg_plus_reversal_4w_15,50,post_2024,119,2024-01-05,2026-04-10,0.14486531112655832,0.13863562677059865,0.07997781156379002,1.7334261098157626,-0.0715376050441866
ggg_plus_reversal_4w_15,100,full,1110,2005-01-07,2026-04-10,0.037728831560313036,0.0402415888765096,0.07983694012571832,0.5040472344398674,-0.1467679125347494
ggg_plus_reversal_4w_15,100,recent_3y,157,2023-04-14,2026-04-10,0.09558690695651295,0.09456951415689324,0.08022506555212923,1.1788025787955658,-0.07277120618796618
