candidate,scenario,cost_bps,window,weeks,start,end,cagr,sharpe_zero_rf,sortino_zero_target,max_drawdown,annual_one_way_turnover,total_return,annual_volatility,win_rate,best_week,worst_week
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,200,trailing_2y,105,2024-08-09,2026-08-07,0.4165432804421978,1.4441998513657481,2.3078973644423035,-0.24493756407985712,4.1124619099535895,1.020077181392414,0.2662975102504112,0.638095238095238,0.1151589049823103,-0.13124847902741354
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,200,trailing_1y,53,2025-08-08,2026-08-07,0.9167123185338284,2.4614438733921307,4.658248985904122,-0.10492046691562029,1.3572091068741863,0.9408444106782332,0.2815878065925057,0.6792452830188679,0.1151589049823103,-0.07381567285851609
h13__cal52__q40__breadth_or_dispersion_high__w25_80,base,200,ytd,32,2026-01-02,2026-08-07,0.9548158945244165,2.320245532849889,4.432869430052119,-0.10492046691562029,2.247877583260371,0.5105742202703434,0.31062718558105923,0.65625,0.1151589049823103,-0.07381567285851609
h13__cal52__q40__breadth_or_dispersion_high__w25_80,adverse,50,full_recent,188,2023-01-06,2026-08-07,0.36527353369122495,1.466267630995353,2.371392512133377,-0.24877457998075392,3.744147058340461,2.082273124453782,0.23109820022762256,0.6117021276595744,0.11529536904474091,-0.12569620363330736
h13__cal52__q40__breadth_or_dispersion_high__w25_80,adverse,50,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.368470316791607,1.4174232811840244,2.2823304999841634,-0.2487745799807538,4.206570502793133,1.5938566278913258,0.2426197048813164,0.620253164556962,0.11529536904474091,-0.12569620363330736
h13__cal52__q40__breadth_or_dispersion_high__w25_80,adverse,50,trailing_3y,157,2023-08-11,2026-08-07,0.3804762029433688,1.4522452871930789,2.3405943396107567,-0.24877457998075425,4.232835763266147,1.6471566218780342,0.24290255110562434,0.6242038216560509,0.11529536904474091,-0.12569620363330736
h13__cal52__q40__breadth_or_dispersion_high__w25_80,adverse,50,trailing_2y,105,2024-08-09,2026-08-07,0.5370486631532412,1.7349825288992413,2.858620594897978,-0.2475491965854708,4.116089642357225,1.3821295777136302,0.26953727139742767,0.6571428571428571,0.11529536904474091,-0.12569620363330736
h13__cal52__q40__breadth_or_dispersion_high__w25_80,adverse,50,trailing_1y,53,2025-08-08,2026-08-07,1.061734479039297,2.730675224740121,5.339832200747729,-0.09130115412557349,1.3565116125775507,1.090622745066113,0.2807978302061957,0.6792452830188679,0.11529536904474091,-0.0724939435810178
h13__cal52__q40__breadth_or_dispersion_high__w25_80,adverse,50,ytd,32,2026-01-02,2026-08-07,1.1132199054104386,2.5779383838434065,5.076699241623678,-0.09130115412557338,2.2467223583315685,0.5847689910516334,0.3101468282846291,0.65625,0.11529536904474091,-0.0724939435810178
h13__cal52__q40__breadth_or_dispersion_high__w25_80,adverse,100,full_recent,188,2023-01-06,2026-08-07,0.3154680643215495,1.302097606819412,2.068606303396213,-0.28508016069594233,3.745180530024135,1.6947663632512557,0.2316498311408398,0.601063829787234,0.11524988102393063,-0.1275485828049837
h13__cal52__q40__breadth_or_dispersion_high__w25_80,adverse,100,since_pilot_holdout_start,158,2023-08-04,2026-08-07,0.3148114958269952,1.249282945810379,1.9758522479751581,-0.2850801606959422,4.207799748395291,1.2970061110270175,0.24320938700803763,0.6139240506329114,0.11524988102393063,-0.1275485828049837
