decision_date,realization_date,gross_return,net_return,turnover,cost,invested_weight
2016-02-05,2016-02-12,0.007688305073979943,0.007688305073979943,0.0,0.0,1.0
2016-02-12,2016-02-19,0.014265443545468463,0.014265443545468463,0.0,0.0,1.0
2016-02-19,2016-02-26,0.004805073119433767,0.0033090137802715054,0.29921186783245224,0.0014960593391622613,1.0
2016-02-26,2016-03-04,0.027880094304198366,0.026906594931544788,0.1946998745307152,0.0009734993726535759,0.9999999999999999
2016-03-04,2016-03-11,0.00304228879431248,0.0019138511753889773,0.22568752378470058,0.0011284376189235029,1.0
2016-03-11,2016-03-18,0.013996431138797092,0.013996431138797092,0.0,0.0,1.0
2016-03-18,2016-03-25,-0.010734182085196928,-0.011671478118423001,0.18745920664521476,0.0009372960332260739,1.0
2016-03-25,2016-04-01,0.0077608522712758225,0.005222641209044817,0.5076422124462011,0.0025382110622310054,0.9999999999999999
2016-04-01,2016-04-08,-0.0007685466610271117,-0.0007685466610271117,0.0,0.0,0.9999999999999999
2016-04-08,2016-04-15,0.024957286709181677,0.02277790502898031,0.4358763360402737,0.0021793816802013685,1.0
2016-04-15,2016-04-22,0.017181101660902268,0.017181101660902268,0.0,0.0,1.0
2016-04-22,2016-04-29,-0.008424433857506958,-0.009670164980147548,0.24914622452811808,0.0012457311226405905,1.0
2016-04-29,2016-05-06,-0.02015831654197282,-0.020316679818620457,0.03167265532952716,0.0001583632766476358,1.0
2016-05-06,2016-05-13,-0.009558211926893559,-0.010736541178268543,0.23566585027499676,0.0011783292513749839,1.0
2016-05-13,2016-05-20,0.00040545328481594064,-0.0008472394831328918,0.2505385535897665,0.0012526927679488325,1.0
2016-05-20,2016-05-27,0.008739942920053773,0.008739942920053773,0.0,0.0,1.0
2016-05-27,2016-06-03,0.014170746894242593,0.012991711040073137,0.23580717083389102,0.0011790358541694552,1.0
2016-06-03,2016-06-10,0.00021183655231760308,0.00021183655231760308,0.0,0.0,1.0
2016-06-10,2016-06-17,-2.0429280238831032e-05,-0.0014531829121788439,0.28655072638800255,0.0014327536319400128,1.0
2016-06-17,2016-06-24,-0.005316498668234409,-0.006509782749016271,0.23865681615637235,0.0011932840807818619,1.0
2016-06-24,2016-07-01,0.040841325144896384,0.039388422228852915,0.2905805832086942,0.001452902916043471,1.0
2016-07-01,2016-07-08,0.01078957037393605,0.009964661162954736,0.16498184219626283,0.0008249092109813141,0.9999999999999999
2016-07-08,2016-07-15,0.01755751713636736,0.01755751713636736,0.0,0.0,0.9999999999999999
2016-07-15,2016-07-22,0.007655931986905002,0.00617436676016133,0.29631304534873426,0.0014815652267436714,1.0
2016-07-22,2016-07-29,0.009300010594095782,0.00789886296895402,0.2802295250283522,0.0014011476251417608,1.0
2016-07-29,2016-08-05,0.0029176407828451793,0.0016161271682079228,0.2603027229274513,0.0013015136146372565,1.0
2016-08-05,2016-08-12,0.010128528563361803,0.008936845017522345,0.23833670916789168,0.0011916835458394583,1.0
2016-08-12,2016-08-19,0.0014550347691380469,0.0004993913886427802,0.19112867609905335,0.0009556433804952666,0.9999999999999999
2016-08-19,2016-08-26,-0.006268984659085262,-0.006268984659085262,0.0,0.0,0.9999999999999999
2016-08-26,2016-09-02,0.007335995480206459,0.005836797686958831,0.2998395586495257,0.0014991977932476285,0.9999999999999999
2016-09-02,2016-09-09,-0.004485841215716832,-0.005930071470060273,0.2888460508686881,0.0014442302543434405,1.0
2016-09-09,2016-09-16,-0.010271645342460493,-0.011403004492822614,0.22627183007242396,0.0011313591503621199,1.0
2016-09-16,2016-09-23,0.018789945860739597,0.017447168050657654,0.26855556201638847,0.0013427778100819424,1.0
2016-09-23,2016-09-30,-0.00560050354562257,-0.0068508497479765965,0.25006924047080514,0.0012503462023540257,1.0
2016-09-30,2016-10-07,-0.0036302031439161193,-0.00556823329886434,0.38760603098964413,0.0019380301549482208,1.0
2016-10-07,2016-10-14,-0.009371994779213215,-0.009371994779213215,0.0,0.0,1.0
2016-10-14,2016-10-21,0.008979890433594442,0.008979890433594442,0.0,0.0,1.0
2016-10-21,2016-10-28,-0.017582750524053534,-0.019111548643516062,0.30575962389250533,0.0015287981194625267,0.9999999999999999
2016-10-28,2016-11-04,-0.012920178389547921,-0.01415635414406575,0.24723515090356574,0.0012361757545178288,1.0
2016-11-04,2016-11-11,-0.026718040764504895,-0.028091446545517373,0.2746811562024956,0.001373405781012478,1.0
2016-11-11,2016-11-18,0.00018268588861341303,0.00018268588861341303,0.0,0.0,1.0
2016-11-18,2016-11-25,0.010247755906348625,0.008566410751285345,0.33626903101265604,0.0016813451550632802,1.0
2016-11-25,2016-12-02,0.0066903674427878125,0.006561519596094079,0.025769569338746856,0.00012884784669373427,1.0
2016-12-02,2016-12-09,0.006423992934267715,0.00526243435535018,0.2323117157835071,0.0011615585789175355,0.9999999999999999
2016-12-09,2016-12-16,-0.011933204180332384,-0.01285786470308046,0.18493210454961523,0.0009246605227480762,0.9999999999999999
2016-12-16,2016-12-23,0.0034623396101938035,0.0026207518049271724,0.16831756105332624,0.0008415878052666311,1.0
2016-12-23,2016-12-30,0.016702107972921258,0.015193725384965648,0.3016765175911219,0.0015083825879556095,1.0
2016-12-30,2017-01-06,0.016494026381660795,0.01631262425977764,0.036280424376630746,0.0001814021218831537,1.0
2017-01-06,2017-01-13,0.010251817087962783,0.00898473302666414,0.25341681225972856,0.0012670840612986427,1.0
2017-01-13,2017-01-20,-0.007658037208994595,-0.008805680233447605,0.22952860489060167,0.0011476430244530085,1.0
2017-01-20,2017-01-27,0.007066487714554584,0.00568281131824605,0.2767352792617068,0.001383676396308534,1.0
2017-01-27,2017-02-03,0.001700729189341616,0.00030135375456870556,0.2798750869545821,0.0013993754347729104,1.0
2017-02-03,2017-02-10,0.008349042135379722,0.007262428186014532,0.21732278987303802,0.00108661394936519,1.0
2017-02-10,2017-02-17,0.006420828324287565,0.005447857360753094,0.1945941927068942,0.0009729709635344709,1.0
2017-02-17,2017-02-24,0.0034453674962010533,0.0034453674962010533,0.0,0.0,1.0
2017-02-24,2017-03-03,-0.0042197032964201575,-0.005217390452780881,0.1995374312721447,0.0009976871563607236,1.0
2017-03-03,2017-03-10,-0.016636153959802513,-0.018149422201192342,0.30265364827796604,0.0015132682413898301,0.9999999999999999
2017-03-10,2017-03-17,0.02077930492154921,0.019220146022497064,0.31183177981042953,0.0015591588990521476,1.0
2017-03-17,2017-03-24,9.384941613052892e-05,-0.0009366911481142799,0.20610811284896174,0.0010305405642448088,1.0
2017-03-24,2017-03-31,0.0006600225380693823,-0.000526314000681538,0.23726730775018406,0.0011863365387509203,1.0
2017-03-31,2017-04-07,-0.0029158190190337755,-0.003967822141454105,0.2104006244840658,0.001052003122420329,1.0
2017-04-07,2017-04-14,-0.00272644547221033,-0.00272644547221033,0.0,0.0,1.0
2017-04-14,2017-04-21,0.0076304149817694915,0.006320462232905834,0.2619905497727315,0.0013099527488636576,1.0
2017-04-21,2017-04-28,0.0030626099764539906,0.0030626099764539906,0.0,0.0,1.0
2017-04-28,2017-05-05,-0.010350742198051743,-0.011749847932207342,0.2798211468311197,0.0013991057341555984,1.0
2017-05-05,2017-05-12,-0.0012569628657680952,-0.0024624246192027346,0.24109235068692791,0.0012054617534346394,1.0
2017-05-12,2017-05-19,0.01813884078958042,0.01602460259419943,0.4228476390761982,0.002114238195380991,0.9999999999999999
2017-05-19,2017-05-26,-0.0012036984777555365,-0.0024116605335510397,0.24159241115910068,0.0012079620557955033,1.0
2017-05-26,2017-06-02,0.0011339383267679713,-0.0001843771866186679,0.26366310267732784,0.0013183155133866392,1.0
2017-06-02,2017-06-09,0.0006049317067020692,0.0006049317067020692,0.0,0.0,1.0
2017-06-09,2017-06-16,-0.011739215031283244,-0.011739215031283244,0.0,0.0,1.0
2017-06-16,2017-06-23,0.002532268937740297,0.001363954222925966,0.23366294296286622,0.0011683147148143311,1.0
2017-06-23,2017-06-30,-0.00343691613054945,-0.004725334264470291,0.25768362678416806,0.0012884181339208403,1.0
2017-06-30,2017-07-07,-0.012239027472604764,-0.012384104599672215,0.029015425413490212,0.00014507712706745106,1.0
2017-07-07,2017-07-14,0.025005602562530087,0.025005602562530087,0.0,0.0,1.0
2017-07-14,2017-07-21,0.009984139813175608,0.008611684792472037,0.27449100414071426,0.001372455020703571,0.9999999999999999
2017-07-21,2017-07-28,-0.0020495300555294464,-0.0034742824007383956,0.28495046904178983,0.0014247523452089491,1.0
2017-07-28,2017-08-04,-0.0011742005334511624,-0.002415745238653143,0.2483089410403962,0.0012415447052019808,1.0
2017-08-04,2017-08-11,-0.006460672431583501,-0.006460672431583501,0.0,0.0,1.0
2017-08-11,2017-08-18,-0.0018893706597357905,-0.003439380605455837,0.31000198914400934,0.0015500099457200467,1.0
2017-08-18,2017-08-25,0.004656670458875916,0.003114808094291005,0.30837247291698233,0.0015418623645849117,0.9999999999999999
