,IWM,QQQ,SPY,XLF,XLI,XLY,VNQ,HYG,PDBC,VWO,EEM,LQD,TLT,BIL
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.25050685649033955,0.15,0.0,0.10024194310320454,0.1492512004064559,0.2,0.0,0.15
2007-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.2929018247887135,0.15,0.0,0.06681130450520348,0.14028687070608298,0.2,0.0,0.15
2007-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.15695477842163855,0.15,0.0,0.14168197775180846,0.20136324382655305,0.2,0.0,0.15
2007-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.07442777673441263,0.15,0.0,0.18819787699864782,0.2373743462669396,0.2,0.0,0.15
2007-04-27,0.0018271880169225393,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.23247863151939027,0.2656941804636872,0.2,0.0,0.15
2007-05-04,0.0,0.0,0.01848818533533613,0.0,0.0,0.0,0.0,0.15,0.0,0.21390256012945114,0.2676092545352127,0.2,0.0,0.15
2007-05-11,0.006392739495621001,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.2400007140645647,0.25360654643981434,0.2,0.0,0.15
2007-05-18,0.0,0.0,0.018110164255654204,0.0,0.0,0.0,0.0,0.15,0.0,0.21992415715547362,0.26196567858887215,0.2,0.0,0.15
2007-05-25,0.0,0.0,0.04833467383777987,0.0,0.0,0.0,0.0,0.15,0.0,0.24312042184225977,0.20854490431996028,0.2,0.0,0.15
2007-06-01,0.0,0.0,0.06246939020826983,0.0,0.0,0.0,0.0,0.15,0.0,0.2032280056877267,0.2343026041040035,0.2,0.0,0.15
2007-06-08,0.0,0.0,0.0,0.0,0.07204254849568097,0.0,0.0,0.15,0.0,0.2144626618616325,0.21349478964268656,0.2,0.0,0.15
2007-06-15,0.0,0.0,0.0,0.0,0.08539045085296824,0.0,0.0,0.15,0.0,0.23070825662255873,0.18390129252447307,0.2,0.0,0.15
2007-06-22,0.0,0.0,0.0,0.0,0.07415220428972169,0.0,0.0,0.15,0.0,0.23190829746067382,0.19393949824960446,0.2,0.0,0.15
2007-06-29,0.0,0.0,0.0,0.0,0.08288815515905877,0.0,0.0,0.15,0.0,0.2255266611553099,0.19158518368563132,0.2,0.0,0.15
2007-07-06,0.0,0.0,0.0,0.0,0.108994171541161,0.0,0.0,0.15,0.0,0.2130600665305409,0.177945761928298,0.2,0.0,0.15
2007-07-13,0.0,0.0,0.0,0.0,0.12845339401849595,0.0,0.0,0.15,0.0,0.20226703208994662,0.16927957389155746,0.2,0.0,0.15
2007-07-20,0.0,0.0,0.0,0.0,0.11476189172665947,0.0,0.0,0.15,0.0,0.20778841978899898,0.17744968848434156,0.2,0.0,0.15
2007-07-27,0.0,0.0,0.0,0.0,0.13398324101884734,0.0,0.0,0.15,0.0,0.19587461956131433,0.17014213941983827,0.2,0.0,0.15
2007-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2007-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-10-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
2008-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.35,0.2,0.2
