candidate,trailing_1y_cagr,trailing_1y_sharpe,trailing_1y_drawdown,ytd_cagr,full_cagr,full_drawdown,trailing_1y_200bps_cagr,recent_return,ytd_return,recent_sharpe,recent_drawdown,full_return_gate,full_drawdown_gate,severe_cost,all_screen_gates,joint_improvement
cash_rel_13w_05_20,0.9575674959889897,2.5919513793157116,-0.11715583562270582,0.9658387100662396,0.37951062817906567,-0.220869810751829,0.8519764146107525,True,True,True,True,True,True,True,True,False
cash_rel_11w_10_30,0.9566401742865593,2.6743933854738446,-0.10859342014245965,0.9913671362996581,0.3681098797372835,-0.23210262471349563,0.8514059072866749,True,True,True,True,True,True,True,True,False
cash_rel_26w_10_50,0.9566064223474275,2.6144123870160025,-0.12480643656098855,0.9913102428153957,0.3550815293607592,-0.23822879802452934,0.84736565122032,True,True,True,True,False,True,True,False,False
cash_rel_15w_10_50,0.9566064223474271,2.6144123870160016,-0.12480643656098855,0.9913102428153966,0.3617173726325962,-0.2293272307418357,0.84736565122032,True,True,True,True,True,True,True,True,False
cash_rel_20w_10_50,0.9566064223474247,2.614412387015999,-0.12480643656098889,0.9913102428153928,0.3515452775647825,-0.25957274544674147,0.8473656512203209,True,True,True,True,False,True,True,False,False
cash_rel_14w_10_50,0.956606422347424,2.614412387015997,-0.12480643656098889,0.9913102428153928,0.3578583543950047,-0.23313645354642742,0.8473656512203185,True,True,True,True,True,True,True,True,False
cash_rel_8w_00_20,0.9552362922178914,2.5308509397312555,-0.11057976323854946,0.9601359067534008,0.37222969124785643,-0.21241551098419498,0.8281885574886596,True,True,True,True,True,True,True,True,False
cash_rel_11w_05_20,0.9540463002433743,2.5859218041354115,-0.11877437207113284,0.9599855454301145,0.37678036679223736,-0.22525911393264098,0.848904616147685,True,True,True,True,True,True,True,True,False
cash_rel_13w_00_10,0.9531589625293568,2.4968816024185814,-0.1287647362225901,0.9321056132900711,0.38731948077089173,-0.21548521775479834,0.8483338504203009,True,True,True,True,True,True,True,True,True
cash_rel_8w_05_30,0.9519898511789608,2.606579609451353,-0.09567784958457803,0.9876773348488084,0.35958308720719745,-0.21829343055387662,0.820429155401825,True,True,True,True,True,True,False,False,False
cash_rel_26w_00_20,0.9509369376788599,2.472913632064525,-0.1377945939976034,0.9284664134598155,0.3783922220337761,-0.22151458123297785,0.8441710036213501,True,True,True,True,True,True,True,True,False
cash_rel_14w_00_20,0.9509369376788599,2.4729136320645235,-0.13779459399760352,0.9284664134598151,0.3806417720938946,-0.21699344721484815,0.8441710036213501,True,True,True,True,True,True,True,True,False
