label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_weekly_turnover,ann_turnover,ann_cost_drag,sharpe_delta,return_delta,dd_delta,to_increase_ann,holdout_sharpe,holdout_delta,dev_sharpe,nm_dev_sharpe,nsl_dev_sharpe,sp_dev_sharpe,rf_dev_sharpe,group,definition,mod_type,intensity,g1_sharpe_001,g2_holdout_ok,g3_return_ok,g4_dd_ok,g5_cvar_ok,g6_turnover_ok,g7_nm_ok,g8_sp_ok,g9_rf_ok,gates_passed,verdict,variant
G3_quarterly_frozen|D_quarterly|combined|int7pct,0.072347,0.075966,0.952363,1.180973,0.623377,-0.116057,-0.019866,-0.025203,0.554955,1110,0.06863,3.568741,0.003569,-0.001855,0.000557,-2.2e-05,0.064575,2.000537,-0.047408,0.8306505779586897,1.271618,0.775331,0.485961,1.018805,G3_quarterly_frozen,D_quarterly,combined,0.075,False,False,True,True,True,False,False,True,True,5,RESEARCH-ONLY,G3_quarterly_frozen|D_quarterly|combined|int7pct
G5_slow_score|D_score_r8_cap5|offense_budget|int2pct,0.071758,0.075296,0.953013,1.181816,0.618297,-0.116057,-0.019775,-0.02497,0.554955,1110,0.068792,3.577167,0.003577,-0.001205,-3.2e-05,-2.2e-05,0.073001,2.04434,-0.003605,0.8296053146810802,1.281241,0.762923,0.472377,0.979298,G5_slow_score,D_score_r8_cap5,offense_budget,0.025,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r8_cap5|offense_budget|int2pct
G5_slow_score|D_score_r8_cap5|offense_budget|int5pct,0.071802,0.075357,0.952816,1.181486,0.618674,-0.116057,-0.01979,-0.024991,0.554955,1110,0.068793,3.577215,0.003577,-0.001402,1.2e-05,-2.2e-05,0.073049,2.041445,-0.0065,0.8293307702688353,1.280893,0.762567,0.472852,0.980266,G5_slow_score,D_score_r8_cap5,offense_budget,0.05,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r8_cap5|offense_budget|int5pct
G5_slow_score|D_score_r8_cap5|offense_budget|int7pct,0.071845,0.075419,0.952614,1.181143,0.61905,-0.116057,-0.019804,-0.025012,0.554955,1110,0.068795,3.577347,0.003577,-0.001604,5.5e-05,-2.2e-05,0.073181,2.038523,-0.009422,0.8290545480302205,1.280542,0.762207,0.473326,0.981231,G5_slow_score,D_score_r8_cap5,offense_budget,0.075,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r8_cap5|offense_budget|int7pct
G5_slow_score|D_score_r8_cap10|offense_budget|int2pct,0.071783,0.075332,0.952886,1.181667,0.618516,-0.116057,-0.019783,-0.024981,0.554955,1110,0.068791,3.577152,0.003577,-0.001332,-7e-06,-2.2e-05,0.072986,2.041514,-0.006431,0.8295394989704965,1.281212,0.76278,0.472227,0.980239,G5_slow_score,D_score_r8_cap10,offense_budget,0.025,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r8_cap10|offense_budget|int2pct
G5_slow_score|D_score_r8_cap10|offense_budget|int5pct,0.071854,0.075431,0.952573,1.181188,0.619122,-0.116057,-0.019804,-0.025013,0.554955,1110,0.068792,3.577182,0.003577,-0.001645,6.4e-05,-2.2e-05,0.073016,2.035952,-0.011993,0.8291963553378964,1.28083,0.762271,0.472552,0.982145,G5_slow_score,D_score_r8_cap10,offense_budget,0.05,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r8_cap10|offense_budget|int5pct
G5_slow_score|D_score_r8_cap10|offense_budget|int7pct,0.071929,0.07553,0.952327,1.180741,0.619771,-0.116057,-0.019825,-0.025045,0.554955,1110,0.068763,3.575701,0.003576,-0.001891,0.000139,-2.2e-05,0.071535,2.031412,-0.016533,0.8288254952366116,1.280393,0.761792,0.472877,0.98404,G5_slow_score,D_score_r8_cap10,offense_budget,0.075,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r8_cap10|offense_budget|int7pct
G5_slow_score|D_score_r12_cap5|offense_budget|int2pct,0.071779,0.075319,0.953007,1.181945,0.618483,-0.116057,-0.01977,-0.024974,0.554955,1110,0.068792,3.577183,0.003577,-0.001211,-1.1e-05,-2.2e-05,0.073017,2.043348,-0.004597,0.8296202235207853,1.280737,0.762593,0.47311,0.982626,G5_slow_score,D_score_r12_cap5,offense_budget,0.025,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r12_cap5|offense_budget|int2pct
G5_slow_score|D_score_r12_cap5|offense_budget|int5pct,0.071844,0.075404,0.952798,1.181725,0.619043,-0.116057,-0.01978,-0.024999,0.554955,1110,0.068794,3.577313,0.003577,-0.00142,5.4e-05,-2.2e-05,0.073147,2.039441,-0.008504,0.8293546936810571,1.279875,0.761906,0.474316,0.986904,G5_slow_score,D_score_r12_cap5,offense_budget,0.05,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r12_cap5|offense_budget|int5pct
G5_slow_score|D_score_r12_cap5|offense_budget|int7pct,0.071909,0.075489,0.952581,1.181663,0.619599,-0.116057,-0.01979,-0.025026,0.554054,1110,0.068788,3.576951,0.003577,-0.001637,0.000119,-2.2e-05,0.072785,2.035823,-0.012122,0.8290532367792154,1.278943,0.761259,0.47552,0.991173,G5_slow_score,D_score_r12_cap5,offense_budget,0.075,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r12_cap5|offense_budget|int7pct
G5_slow_score|D_score_r12_cap10|offense_budget|int2pct,0.071794,0.075356,0.95273,1.181493,0.618612,-0.116057,-0.019788,-0.024989,0.554955,1110,0.068793,3.577262,0.003577,-0.001488,4e-06,-2.2e-05,0.073096,2.041195,-0.00675,0.8293831193179536,1.280608,0.761901,0.473346,0.982093,G5_slow_score,D_score_r12_cap10,offense_budget,0.025,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r12_cap10|offense_budget|int2pct
G5_slow_score|D_score_r12_cap10|offense_budget|int5pct,0.071875,0.075479,0.952249,1.18081,0.619305,-0.116057,-0.019816,-0.025029,0.554955,1110,0.068788,3.576998,0.003577,-0.001969,8.5e-05,-2.2e-05,0.072832,2.035534,-0.012411,0.828845738613941,1.27955,0.760559,0.474786,0.985828,G5_slow_score,D_score_r12_cap10,offense_budget,0.05,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r12_cap10|offense_budget|int5pct
G5_slow_score|D_score_r12_cap10|offense_budget|int7pct,0.071968,0.075601,0.951948,1.180314,0.620109,-0.116057,-0.019841,-0.025069,0.554955,1110,0.068746,3.574769,0.003575,-0.00227,0.000178,-2.2e-05,0.070603,2.031064,-0.016881,0.8283869047959559,1.278705,0.760696,0.476222,0.989614,G5_slow_score,D_score_r12_cap10,offense_budget,0.075,False,True,True,True,True,False,False,True,True,6,RESEARCH-ONLY,G5_slow_score|D_score_r12_cap10|offense_budget|int7pct
