Date,source_return,desired_exposure,exposure,outer_turnover,financing_cost,outer_cost,net_return,wealth,drawdown
2023-11-10,0.018810299337189,0.9738631307582014,0.9738631307582014,0.09225940566456636,0.0,0.0002306485141614159,0.01808800848885239,1.3203673245595111,0.0
2023-11-17,0.0079296150408618,1.0077683496810117,1.0077683496810117,0.03390521892281029,8.963480401167345e-06,8.476304730702572e-05,0.00789748853562683,1.330794910368036,0.0
2023-11-24,0.0049200998356901,1.0121522006218335,1.0121522006218335,0.004383850940821832,1.4021769948269458e-05,1.0959627352054579e-05,0.004954908478672532,1.337388877352793,0.0
2023-12-01,0.0012839212348001,1.077526586285901,1.077526586285901,0.06537438566406739,8.945375340680875e-05,0.00016343596416016848,0.0011305695476271531,1.3389008884908633,0.0
2023-12-08,0.0303656231136628,1.1232146896714605,1.1232146896714605,0.04568810338555962,0.00014217079577476217,0.00011422025846389905,0.03385072288805463,1.3842236514417376,0.0
2023-12-15,0.0037727497442876,1.1202704509369896,1.1202704509369896,0.0029442387344709164,0.00013877359723498802,7.360596836177291e-06,0.004080365863234316,1.389871790376162,0.0
2023-12-22,0.0016952783828882,1.24609563390786,1.24609563390786,0.1258251829708703,0.0002839565006629153,0.0003145629574271758,0.0015139595330852722,1.3919760000229682,0.0
2023-12-29,-0.0378847553605539,1.2577299869804486,1.2577299869804486,0.011634353072588643,0.00029738075420820986,2.908588268147161e-05,-0.04797525950327662,1.3251955901995334,-0.047975259503276524
2024-01-05,0.034317018508954,1.0683677407369254,1.0683677407369254,0.18936224624352316,7.888585469645241e-05,0.0004734056156088079,0.03611090406293318,1.373049601021851,-0.013596785433660497
2024-01-12,0.0365930177317035,1.0278047842593736,1.0278047842593736,0.040562956477551815,3.208244337620031e-05,0.00010140739119387954,0.037476988860562874,1.424507365624347,0.0
2024-01-19,0.0066572612658368,1.0579509330591002,1.0579509330591002,0.030146148799726546,6.686646122203864e-05,7.536537199931637e-05,0.006900823934588894,1.4343376401480457,0.0
2024-01-26,0.0018875006427816,1.1303628391555332,1.1303628391555332,0.072411906096433,0.00015041866056407673,0.0001810297652410825,0.001802112159677344,1.4369224774504394,0.0
2024-02-02,0.0270274313736025,1.3556630712691675,1.3556630712691675,0.22530023211363437,0.00041038046684903947,0.0005632505802840859,0.035666459577321494,1.4881724149081703,0.0
2024-02-09,-0.0213486443458963,1.4073698684071,1.4073698684071,0.05170679713793258,0.00047004215585434624,0.00012926699284483145,-0.030644747932453236,1.4425677463732793,-0.030644747932453198
2024-02-16,0.0006797123133193,1.2970337030013457,1.2970337030013457,0.11033616540575442,0.0003427311957707835,0.000275840413514386,0.00026303816943497316,1.4429471967525715,-0.030389770501417
2024-02-23,0.0126461058575431,1.2921012575776292,1.2921012575776292,0.004932445423716514,0.00033703991258957213,1.2331113559291285e-05,0.0159906782558424,1.4660209011160115,-0.014885045287931775
2024-03-01,-0.0094585043290275,1.289283980596566,1.289283980596566,0.002817276981063266,0.00033378920838065293,7.043192452658165e-06,-0.012535530512651735,1.4476435513778865,-0.027233983861194466
2024-03-08,-0.0157102346271595,1.2622524894153715,1.2622524894153715,0.02703149118119441,0.0003025990262485056,6.757872795298603e-05,-0.02020046052163314,1.4184004849688807,-0.04688430536699273
