signal_name,category,short_hypothesis,data_needed,data_source,data_access,point_in_time_risk,survivorship_bias_risk,lookahead_risk,expected_horizon,expected_best_regime,expected_bad_regime,expected_redundancy_with_current_signals,implementation_difficulty,overfitting_risk,already_tested_in_project,similar_signal_exists_in_current_repo,realistic_for_weekly_etf_allocation,priority_score,recommended_next_action,repo_mapping,validation_notes,source_refs
Retail attention volume/search hybrid,K. Sentiment / Attention,Search interest plus ETF volume may identify retail chase/capitulation.,"Google Trends, yfinance volume",existing + yfinance,free/current,medium,low,medium,1-8 weeks,recovery/panic,calm noise,low-medium,medium,high,partial volume R2,google_trends + volume divergence,yes,2,test later,sentiment-volume diagnostic,Only after simpler Google/AAII tests.,AAII
Turn-of-month effect,L. Seasonality / Calendar,Equity returns may concentrate around month-end/month-start flows.,"calendar, weekly/daily returns",existing repo,free/current,low,low,low,1-4 weeks,calm_trend,stress overrides,low,low,medium,no,none,yes,3,test now,calendar feature Layer 1,Weekly rebalance may blunt effect; still easy to test.,QUANTPEDIA
Month-of-year seasonality,L. Seasonality / Calendar,Some months have persistent risk premia or tax/liquidity patterns.,"calendar, returns",existing repo,free/current,low,low,low,4-13 weeks,varies,regime breaks,low,low,high,no,none,yes,2,research-only,calendar diagnostic,High multiple-testing risk.,QUANTPEDIA
FOMC drift / Fed week,L. Seasonality / Calendar,Returns may differ around scheduled Fed meetings.,"FOMC calendar, returns",Fed calendar/manual/API,free/manual,medium,low,medium,1-2 weeks,calm liquidity,surprise stress,low,medium,high,no,none,limited,2,research-only,calendar module,Weekly data may be too coarse.,BRIDGEWATER_REGIME
Tax-loss rebound,L. Seasonality / Calendar,Prior-year losers may rebound in January after tax-loss selling.,"calendar, trailing returns",existing repo,free/current,low,low,low,4-8 weeks,January/recovery,tax regime changes,medium,low,high,no,none,limited,2,research-only,calendar diagnostic,Likely overfit with ETF universe.,QUANTPEDIA
Election cycle regime,L. Seasonality / Calendar,Policy uncertainty and liquidity differ by election year.,"election calendar, returns",public calendar,free/current,low,low,low,13-52 weeks,varies,small sample,low,low,very high,no,none,limited,1,avoid,none,Sample too small for reliable ETF signal.,BRIDGEWATER_REGIME
Signal agreement score,M. Signal Quality / Meta Signals,"When independent signals agree, forward IC may improve and turnover need not rise.",existing signal panels,data/02_layer1_signals,free/current,low,low,low if only lagged signals,1-13 weeks,"calm_trend, recovery_confirmed",signal crowding periods,uses existing signals,low,medium,partial,composite signals exist,yes,5,test now,meta Layer 1 diagnostic,Top pre-R5 candidate; evaluates information quality not trading frequency.,PURGED_CV
Signal dispersion / disagreement,M. Signal Quality / Meta Signals,High cross-signal disagreement may identify bad signal environments.,existing signal panels,data/02_layer1_signals,free/current,low,low,low,1-13 weeks,neutral_mixed warning,strong trends if false,uses existing signals,low,medium,no,none,yes,5,test now,meta signal environment,Directly responds to R2 calm-vs-stress conflict.,PURGED_CV
Redundancy/crowding monitor,M. Signal Quality / Meta Signals,Rising correlation among signals lowers diversification and increases model fragility.,"signal panels, redundancy matrix over rolling windows",existing repo,free/current,low,low,low,13-52 weeks,all regimes,rapid regime shifts,meta,medium,low,partial static redundancy,signal_redundancy_matrix,yes,4,test now,rolling redundancy monitor,Renaissance-style research hygiene.,AQR_LIBRARY
Signal decay freshness,M. Signal Quality / Meta Signals,Recent IC decay should reduce trust in stale signals.,rolling IC by signal/horizon,existing R1 framework,free/current,low,low,medium if same target overlap not purged,13-52 weeks,all regimes,small samples,meta,medium,medium,partial R1,signal_decay_profiles,yes,5,test now,extend R1 rolling decay,Do before ensemble testing.,PURGED_CV
Regime confidence / transition probability,M. Signal Quality / Meta Signals,Signals should be trusted more when regime classifier confidence is high.,market_state_history transition probabilities,existing repo,free/current,low,low,low,1-13 weeks,state-specific,transition chop,meta,low,medium,yes partial,transition_* fields,yes,4,test now,state-conditional meta signal,Use R3 evidence to test state confidence.,PURGED_CV
Bad-signal-environment classifier,M. Signal Quality / Meta Signals,Predict weeks when the signal panel historically has low IC or stress damage.,"rolling IC, regimes, vol, correlations",existing + R1/R3 outputs,free/current,medium,low,medium-high,1-13 weeks,neutral_mixed/stress transition,small samples,meta,medium-high,high,partial ML lab,phase_jj/kk/nnn ML outputs,yes but risky,4,test later,research-only classifier before R5,Needs purged CV and strict holdout.,PURGED_CV; ML lab local outputs
Model confidence / entropy,M. Signal Quality / Meta Signals,Low-confidence predictions should shrink risk or skip ML sleeves.,"ML predictions, probabilities",ML lab outputs,free/current,medium,low,medium,1-13 weeks,all regimes,overfit ML,meta,medium,high,yes ML lab,triple_barrier/ML outputs,research-only,3,research-only,ML lab diagnostics,Do not promote; use as diagnostic.,PURGED_CV
Tabular ML ranker using simple signal zoo,N. ML / Representation Signals,A regularized model may combine many weak signals into an ETF rank.,"Layer 1/R2 signals, returns targets",existing repo,free/current,medium,low,medium-high,4-13 weeks,calm_trend,regime shifts,mixed,medium,high,yes ML lab,tabular_ml/learning_to_rank,yes but high risk,2,research-only,ML lab only,Already explored; do not do R5 until signal backlog tests simpler features.,PURGED_CV; GITHUB_AA
Sequence model embedding,N. ML / Representation Signals,Recent ETF paths may encode trend/reversal states better than hand-built features.,weekly feature panel sequences,ML lab,free/current,medium,low,medium-high,4-13 weeks,calm_trend,regime shifts,unknown,high,very high,yes ML lab,sequence_models/transformers,research-only,2,research-only,ML lab only,Interesting but overfit-prone.,PURGED_CV
Cross-asset attention weights,N. ML / Representation Signals,Attention may learn leader/follower relationships across ETFs.,"feature panel, sequence models",ML lab,free/current,medium,low,medium-high,4-13 weeks,cross-asset regimes,small sample,unknown,high,very high,yes ML lab,cross_asset_attention,research-only,2,research-only,ML lab only,"Keep as representation study, not next signal sprint.",PURGED_CV
Autoencoder latent factors,N. ML / Representation Signals,Unsupervised latent factors may reveal hidden ETF regimes/orthogonal risk drivers.,returns/signal panel,existing + ML lab,free/current,medium,low,medium,13-52 weeks,regime diagnostics,overfit latent noise,low-medium,medium-high,high,partial PPP latent factors,phase_ppp artifacts,research-only,3,research-only,ML lab latent factor module,Potentially useful for diagnostics after simpler signals.,AQR_LIBRARY
Triple-barrier meta-labels,N. ML / Representation Signals,Path-aware labels can identify when a base signal is worth trusting.,"returns, base signals, barriers",ML lab,free/current,medium,low,medium-high,4-13 weeks,all regimes,small sample/overfit,meta,medium,high,yes ML lab,triple_barrier_meta,research-only,3,research-only,ML lab only,Use only after base signal edge exists.,PURGED_CV
Decision-focused learning,N. ML / Representation Signals,Directly optimizing portfolio utility may align model with objective but risks learning cash/bond hiding.,"feature panel, objective, weights",ML lab,free/current,medium,low,high,4-13 weeks,unknown,overfit/objective gaming,unknown,high,very high,yes ML lab,decision_focused,research-only,1,avoid,ML lab only,Do not run next; fix signal inputs first.,PURGED_CV
Reinforcement learning allocator,N. ML / Representation Signals,RL can learn dynamic allocation but has extremely high overfit risk in short financial histories.,state/action/reward environment,ML lab,free/current,medium,low,high,4-52 weeks,unknown,regime shifts,unknown,very high,very high,yes ML lab,reinforcement_learning,research-only,1,avoid,ML lab only,Not before simpler signal evidence improves.,PURGED_CV
Expanded ETF universe momentum breadth,F. Breadth / Participation,A broader ETF universe may reveal participation outside current 35 ETFs.,expanded ETF prices/volume,existing ML expanded_universe yfinance,free/current,medium,medium ETF selection bias,medium,4-13 weeks,calm_trend,survivorship/universe drift,medium,medium,medium,partial ML lab,expanded_universe exists,research-only until universe rules fixed,3,research-only,research universe inventory,"Useful for discovery, not production without universe governance.",GITHUB_AA
International ex-US leadership,G. Cross-Asset Leadership,EFA/EEM/VWO vs SPY leadership may identify global risk appetite and dollar sensitivity.,"EFA,EEM,VWO,VEA,SPY,UUP",existing repo,free/current,low,low,low,4-13 weeks,global calm/recovery,USD stress,medium,low,low-medium,partial via xsmom,existing ETFs,yes,3,test now,cross-asset leadership module,"Test as explicit family, not only rank effect.",AQR_VME
Inflation/deflation quadrant score,C. Macro / Cycle,Assets have biases to growth/inflation/liquidity; quadrant score may separate TLT/GLD/PDBC/SPY regimes.,"growth proxy, inflation proxy, liquidity proxy, ETF prices",FRED + existing,free/API,medium,low,medium,13-52 weeks,macro transitions,fast shocks,low,medium,medium,no,regime states adjacent,yes,4,test with free external data/API,macro regime research module,Bridgewater-style idea realistic only in simplified public-data form.,BRIDGEWATER_REGIME
Google inflation attention,K. Sentiment / Attention,Inflation search interest may proxy public inflation anxiety and commodity/TIPS demand.,google_trends inflation,existing repo,free/current,medium,low,medium,4-26 weeks,inflationary stress,normal calm,low,low,medium,no explicit,google_trends inflation column,yes,3,test now,Google Trends sub-signal,Use as separate from fear composite.,AAII
Volume-confirmed breakout,A. Momentum / Trend,Breakouts with abnormal volume may be more durable than price-only breakouts.,"weekly prices, yfinance volume",existing + yfinance,free/current,medium,low,medium,2-8 weeks,calm_trend,stressed_panic false break,medium,medium,high,partial volume R2 failed,signal_r2_volume_divergence,yes,2,test later,price-volume signal,R2 volume divergence rejected; retry only with breakout formulation.,GITHUB_AA
Liquidity-adjusted ETF signal quality,M. Signal Quality / Meta Signals,Thin/low-volume ETFs may have noisier signals and worse realized implementation.,"ETF volume, spreads if available",yfinance volume; paid spreads,free/paid,medium,low,medium,1-13 weeks,all regimes,market stress,meta,medium,medium,no,none,yes,3,test later,signal quality monitor,Useful diagnostic; not alpha by itself.,PIMCO_CREDIT
Holiday-week risk appetite,L. Seasonality / Calendar,Short holiday weeks and year-end may have flow effects.,"calendar, returns",existing calendar,free/current,low,low,low,1 week,calm_trend,stress overrides,low,low,very high,no,none,limited,1,avoid,none,Too many degrees of freedom.,QUANTPEDIA
Intraday gap/overnight effect,L. Seasonality / Calendar,"Open-to-close vs close-to-open may contain information, but repo is weekly close-based.",daily OHLC,yfinance/stooq,free external,medium,low,medium,1-4 weeks,unknown,all,low,medium,high,no,daily prices only no OHLC,not ideal,1,avoid,none,HFT/intraday-adjacent and outside repo cadence.,GITHUB_AA
