decision_at,family,breadth,cik10,company_name,sector,score,market_cap,intended_weight
2023-01-01 00:00:00+00:00,sales_yield,20,0001275014,"ULTRA CLEAN HOLDINGS, INC.",technology,0.9943019943019944,1505.0100692749022,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0000817720,SYNAPTICS INC,technology,0.9886039886039886,3787.368145751953,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001313275,BRIGHTCOVE INC,technology,0.982905982905983,219513.56000000003,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001640428,"EVERQUOTE, INC.",technology,0.9772079772079771,471797.9126739502,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001044777,ONESPAN INC.,technology,0.9715099715099715,444500.35333156586,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001323468,GLOBAL PARTNERS LP,energy,0.9714285714285715,1182025741.0719337,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0000921582,IMAX CORP,technology,0.9658119658119657,821531.7314491272,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001596961,"RUMBLEON, INC.",technology,0.9601139601139601,103651311.75880814,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0000719733,KEY TRONIC CORP,technology,0.9544159544159545,46598900.6089344,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001719489,"KALEYRA, INC.",technology,0.9487179487179487,34003325.6703,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,0.9430199430199431,35295888.791157246,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.9428571428571428,236379970.33423197,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001177394,TD SYNNEX CORP,technology,0.9373219373219372,9049583600.280945,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0000746838,UNISYS CORP,technology,0.9316239316239316,346394384.4406142,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0000918965,"SCANSOURCE, INC.",technology,0.9259259259259258,737665194.1854858,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001810019,"RACKSPACE TECHNOLOGY, INC.",technology,0.9202279202279202,622774144.2665033,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0000031235,EASTMAN KODAK CO,technology,0.9145299145299146,241260413.0281334,0.05
2023-01-01 00:00:00+00:00,sales_yield,20,0001694426,"DELEK US HOLDINGS, INC.",energy,0.9142857142857144,1881692532.0,0.05
2023-01-01 00:00:00+00:00,sales_yield,30,0000789460,WORLD FUEL SERVICES CORP,energy,1.0,1692248342.3559494,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001517228,"COMMSCOPE HOLDING COMPANY, INC.",technology,1.0,1530.2699801445006,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001275014,"ULTRA CLEAN HOLDINGS, INC.",technology,0.9943019943019944,1505.0100692749022,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0000817720,SYNAPTICS INC,technology,0.9886039886039886,3787.368145751953,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001313275,BRIGHTCOVE INC,technology,0.982905982905983,219513.56000000003,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001640428,"EVERQUOTE, INC.",technology,0.9772079772079771,471797.9126739502,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001044777,ONESPAN INC.,technology,0.9715099715099715,444500.35333156586,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001323468,GLOBAL PARTNERS LP,energy,0.9714285714285715,1182025741.0719337,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0000921582,IMAX CORP,technology,0.9658119658119657,821531.7314491272,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001596961,"RUMBLEON, INC.",technology,0.9601139601139601,103651311.75880814,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0000719733,KEY TRONIC CORP,technology,0.9544159544159545,46598900.6089344,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001719489,"KALEYRA, INC.",technology,0.9487179487179487,34003325.6703,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,0.9430199430199431,35295888.791157246,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.9428571428571428,236379970.33423197,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001177394,TD SYNNEX CORP,technology,0.9373219373219372,9049583600.280945,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0000746838,UNISYS CORP,technology,0.9316239316239316,346394384.4406142,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0000918965,"SCANSOURCE, INC.",technology,0.9259259259259258,737665194.1854858,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001810019,"RACKSPACE TECHNOLOGY, INC.",technology,0.9202279202279202,622774144.2665033,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0000031235,EASTMAN KODAK CO,technology,0.9145299145299146,241260413.0281334,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001694426,"DELEK US HOLDINGS, INC.",energy,0.9142857142857144,1881692532.0,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001131554,SYNCHRONOSS TECHNOLOGIES INC,technology,0.9088319088319088,56164402.5467,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0000866374,FLEX LTD.,technology,0.9031339031339032,7322338798.658489,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001158114,"APPLIED OPTOELECTRONICS, INC.",technology,0.8974358974358974,53909828.50196493,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001340476,DIRTT ENVIRONMENTAL SOLUTIONS LTD,technology,0.8917378917378918,47018916.19184518,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0000898293,JABIL INC,technology,0.8860398860398861,9182350131.31569,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001534504,PBF ENERGY INC.,energy,0.8857142857142857,4979791235.5355835,0.03333333333333333
2023-01-01 00:00:00+00:00,sales_yield,30,0001571996,DELL TECHNOLOGIES INC.,technology,0.8803418803418803,28877960876.464844,0.03333333333333333
