rule_name,target,subperiod,n_events,event_frequency,precision,baseline_precision,precision_lift,avg_forward_return,baseline_avg_forward_return,return_lift
rule_int_mom26_x_ma_distance26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2010_2015,2557,0.23892730330779294,0.2784513101290575,0.2632218276957578,0.01522948243329969,0.009152511845291728,0.007222038265470979,0.001930473579820749
rule_int_mom26_x_ma_distance26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2016_2020,2132,0.2333880678708265,0.2528142589118199,0.2571428571428571,-0.004328598231037206,0.012532244361348742,0.013835204278374246,-0.0013029599170255035
rule_int_mom26_x_ma_distance26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,2021_2026,1831,0.19520255863539446,0.2971054068814855,0.2571428571428571,0.039962549738628395,0.012586156009641301,0.01297451572413913,-0.00038835971449782854
rule_int_mom26_x_ma_distance26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2010_2015,2557,0.23908368396446938,0.29839655846695345,0.26339410939691443,0.03500244907003902,0.00392023423832106,0.0035440503000185226,0.0003761839383025372
rule_int_mom26_x_ma_distance26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2016_2020,2132,0.2333880678708265,0.2673545966228893,0.2571428571428571,0.010211739480032178,0.005362720259558327,0.006819623226853916,-0.0014569029672955895
rule_int_mom26_x_ma_distance26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,2021_2026,1851,0.1944327731092437,0.25823878984332793,0.2571428571428571,0.0010959327004708141,0.005452843225869859,0.006374794816463079,-0.00092195159059322
rule_int_mom26_x_ma_distance26__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2010_2015,2557,0.23908368396446938,0.2878373093468909,0.26339410939691443,0.024443199949976457,0.009152511845291728,0.007314297407118801,0.0018382144381729262
rule_int_mom26_x_ma_distance26__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2016_2020,2132,0.2333880678708265,0.25140712945590993,0.2571428571428571,-0.00573572768694719,0.012532244361348742,0.013835204278374246,-0.0013029599170255035
rule_int_mom26_x_ma_distance26__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,2021_2026,1831,0.19520255863539446,0.2517749863462589,0.2571428571428571,-0.005367870796598229,0.012586156009641301,0.01297451572413913,-0.00038835971449782854
rule_int_trend_consistency_x_lowdownsidevol__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2010_2015,1305,0.12193982433190058,0.21149425287356322,0.2632218276957578,-0.05172757482219459,0.0030021152399992337,0.003483188124790297,-0.00048107288479106326
rule_int_trend_consistency_x_lowdownsidevol__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2016_2020,1184,0.12961138478379858,0.1570945945945946,0.2571428571428571,-0.10004826254826252,0.004882132281821298,0.006819623226853916,-0.0019374909450326182
rule_int_trend_consistency_x_lowdownsidevol__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,2021_2026,1034,0.10861344537815126,0.1827852998065764,0.2571428571428571,-0.07435755733628072,0.0011993225856170352,0.006374794816463079,-0.005175472230846044
