candidate,cik10,company_name,recent_cagr,recent_sharpe,recent_drawdown,full_cagr
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001538849,CROSSAMERICA PARTNERS LP,1.0757491916240292,3.0229688786050426,-0.08657267004192803,0.42417425457047253
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001596961,"RIDENOW GROUP, INC.",1.0268892780272547,2.922103959696212,-0.08826678484076667,0.4226731993257913
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001597033,SABRE CORP,1.064058573519028,3.0512920794830647,-0.08490895542282884,0.4235697638946092
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001688568,DXC TECHNOLOGY CO,1.0853236514256706,3.051465469883686,-0.0878904372068926,0.4308574641006231
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001694426,"DELEK US HOLDINGS, INC.",1.03210826624372,2.9090543504366684,-0.09317997283649615,0.41670358301084454
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001705873,BERRY CORP (BRY),1.0695714084723136,3.0166419120529087,-0.0866637049151544,0.42540272902564147
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001738827,"KLX ENERGY SERVICES HOLDINGS, INC.",1.091259745878801,3.0465733675734548,-0.08591436007483721,0.4378270341649704
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001774675,SKILLSOFT CORP.,1.1144709033946523,3.1128384824330113,-0.08666370491515418,0.42631339789862865
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001810019,"RACKSPACE TECHNOLOGY, INC.",0.9888858832501997,3.394636523801005,-0.07284635315002297,0.41263933278951836
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001867072,"KYNDRYL HOLDINGS, INC.",1.0812776724867477,3.03245651877131,-0.0875693079481017,0.42386607741264215
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001881487,PROFRAC HOLDING CORP.,1.083703452833364,3.063662976269539,-0.08666370491515452,0.42737643684006277
sales_only__top20__floor50m__sector50__cohort1__w0.40__50bps,0001897762,INGRAM MICRO HOLDING CORP,1.0786115847312292,3.0310123673620812,-0.08742577438179,0.42639224630340933
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,1.0347823748482945,2.920730696041296,-0.0889232541857744,0.4199513229953242
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0000065270,METHODE ELECTRONICS INC,1.0393360820539592,2.9270798906728293,-0.09256289191004352,0.41329121670771074
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0000101984,UNIVERSAL ELECTRONICS INC,1.0775183021011725,3.0027146483094977,-0.09000266341438268,0.4229699797353632
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0000746838,UNISYS CORP,1.0827391533006838,3.099632641029109,-0.0873454448670975,0.42633751764956207
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0000789460,WORLD KINECT CORP,1.0645557039752211,2.9632372947912375,-0.09238416969299523,0.42177363823954495
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0000813762,ICAHN ENTERPRISES L.P.,1.0737832410476535,2.9868425236440603,-0.08948585663161324,0.4232879584247349
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0000821483,"PAR PACIFIC HOLDINGS, INC.",1.0416091290340965,2.8994294943957697,-0.09287819758632188,0.413500177596257
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001163739,NABORS INDUSTRIES LTD,1.0477093970595814,2.9416766247743555,-0.08850350553323594,0.4205207406557867
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001176334,MARTIN MIDSTREAM PARTNERS L.P.,1.0837269793270488,3.0095939148635247,-0.0889927397403828,0.4252141835691905
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001177394,TD SYNNEX CORP,1.0703246903874803,2.984673778956378,-0.08892325418577429,0.42071916097464435
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001376139,CVR ENERGY INC,1.0673863586716315,2.964038342454094,-0.09073673649909708,0.41853723556386346
sales_only__top20__floor50m__sector50__cohort1__w0.30__50bps,0001454938,TEADS HOLDING CO.,1.0948188621107553,3.0863114992981826,-0.08247700462579044,0.42483617508262705
