Date,Ticker,signal_name,signal_value_observed,source,frequency,lag_periods,research_only,notes,signal_value_tradable
2012-05-25,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2012-06-01,XLF,bm_sector_above_200d_ma,0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2012-06-08,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.5555555555555556
2012-06-15,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2012-06-22,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2012-06-29,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2012-07-06,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2012-07-13,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2012-07-20,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2012-07-27,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-08-03,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-08-10,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-08-17,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-08-24,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-08-31,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-09-07,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-09-14,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-09-21,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-09-28,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-10-05,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-10-12,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-10-19,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-10-26,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2012-11-02,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2012-11-09,XLF,bm_sector_above_200d_ma,0.5555555555555556,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2012-11-16,XLF,bm_sector_above_200d_ma,0.4444444444444444,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.5555555555555556
2012-11-23,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.4444444444444444
2012-11-30,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2012-12-07,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2012-12-14,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2012-12-21,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2012-12-28,XLF,bm_sector_above_200d_ma,0.7777777777777778,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2013-01-04,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.7777777777777778
2013-01-11,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-01-18,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-01-25,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-02-01,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-02-08,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-02-15,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-02-22,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-03-01,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-03-08,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-03-15,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-03-22,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-03-29,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-04-05,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-04-12,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-04-19,XLF,bm_sector_above_200d_ma,0.8888888888888888,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-04-26,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,0.8888888888888888
2013-05-03,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-05-10,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-05-17,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-05-24,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-05-31,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-06-07,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-06-14,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-06-21,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-06-28,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-07-05,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-07-12,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-07-19,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-07-26,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-08-02,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-08-09,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
2013-08-16,XLF,bm_sector_above_200d_ma,1.0,data/01_data_hub weekly/daily ETF prices,weekly,1,True,% available sector ETFs above 200-day moving average.,1.0
