variant_name,base_signal,horizon_weeks,market_state,event_count,avg_final_return,positive_barrier_hit_rate,negative_barrier_hit_rate,same_state_avg_return,same_state_positive_rate,same_state_negative_rate,return_lift_vs_same_state,positive_barrier_lift_vs_same_state,negative_barrier_lift_vs_same_state
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,8,recovery_confirmed,1,0.020034417289755302,0.0,0.0,0.032721388263432204,0.6744186046511628,0.046511627906976744,-0.012686970973676902,-0.6744186046511628,-0.046511627906976744
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,8,recovery_fragile,15,0.01370269875811588,0.5333333333333333,0.2,0.01359468821678871,0.40816326530612246,0.22448979591836735,0.00010801054132716925,0.12517006802721087,-0.024489795918367335
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,8,stressed_panic,4,0.01636931602814673,0.25,0.0,0.006761656506353526,0.21333333333333335,0.1111111111111111,0.009607659521793203,0.03666666666666665,-0.1111111111111111
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,calm_trend,28,0.02268147377556275,0.5357142857142857,0.10714285714285714,0.018581030456828657,0.44947735191637633,0.14982578397212543,0.004100443318734093,0.08623693379790937,-0.04268292682926829
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,neutral_mixed,42,0.01572144076621232,0.21428571428571427,0.047619047619047616,0.020336073177191324,0.3855421686746988,0.1108433734939759,-0.004614632410979005,-0.17125645438898454,-0.06322432587492828
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,recovery_confirmed,1,0.022519130919262942,1.0,0.0,0.045828379362982896,0.8372093023255814,0.046511627906976744,-0.023309248443719954,0.16279069767441856,-0.046511627906976744
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,recovery_fragile,15,0.02925011743747085,0.5333333333333333,0.13333333333333333,0.026087799669437667,0.42857142857142855,0.22448979591836735,0.0031623177680331835,0.10476190476190478,-0.09115646258503401
efa_spy_market_trend_confirmed_top20_event,leadlag_EFA_minus_SPY_13w_signal,13,stressed_panic,4,0.02662157841219273,0.5,0.0,0.011559829293412968,0.25333333333333335,0.08888888888888889,0.015061749118779763,0.24666666666666665,-0.08888888888888889
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,4,calm_trend,7,0.0021619001707521607,0.14285714285714285,0.0,0.005264166686956422,0.3170731707317073,0.20209059233449478,-0.0031022665162042614,-0.17421602787456447,-0.20209059233449478
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,4,neutral_mixed,36,0.005851238183660117,0.3611111111111111,0.16666666666666666,0.006913860664367966,0.36879432624113473,0.12293144208037825,-0.0010626224807078486,-0.007683215130023624,0.04373522458628841
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,4,recovery_fragile,16,0.00021097557952593632,0.3125,0.3125,0.00374519511293821,0.22448979591836735,0.24489795918367346,-0.003534219533412274,0.08801020408163265,0.06760204081632654
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,4,stressed_panic,18,0.011176443169733874,0.2777777777777778,0.05555555555555555,0.00292564687544051,0.11061946902654868,0.11504424778761062,0.008250796294293363,0.1671583087512291,-0.059488692232055065
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,8,calm_trend,7,0.010521651493170494,0.2857142857142857,0.0,0.01108697225977656,0.3902439024390244,0.17770034843205576,-0.0005653207666060662,-0.1045296167247387,-0.17770034843205576
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,8,neutral_mixed,33,0.01775959621747092,0.48484848484848486,0.15151515151515152,0.012411932737063182,0.3761904761904762,0.1357142857142857,0.005347663480407737,0.10865800865800868,0.015800865800865815
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,8,recovery_fragile,16,0.012163092786226418,0.5,0.3125,0.01359468821678871,0.40816326530612246,0.22448979591836735,-0.0014315954305622932,0.09183673469387754,0.08801020408163265
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,8,stressed_panic,17,0.01615599676754533,0.29411764705882354,0.058823529411764705,0.006761656506353526,0.21333333333333335,0.1111111111111111,0.009394340261191805,0.08078431372549019,-0.0522875816993464
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,13,calm_trend,7,0.02429125144446658,0.2857142857142857,0.0,0.018581030456828657,0.44947735191637633,0.14982578397212543,0.005710220987637925,-0.16376306620209063,-0.14982578397212543
efa_spy_raw_top10_event,leadlag_EFA_minus_SPY_13w_signal,13,neutral_mixed,30,0.03144188255460883,0.4666666666666667,0.03333333333333333,0.020336073177191324,0.3855421686746988,0.1108433734939759,0.011105809377417505,0.08112449799196786,-0.07751004016064256
