decision_at,adsh,cik10,company_name_as_filed,sic,sector,form,afs,filing_date,available_at,period,fy,fp,source_quarter,filing_age_days,current_tickers,current_exchanges,identity_status
2012-04-01 00:00:00+00:00,0000945764-12-000013,0000945764,DENBURY RESOURCES INC,1311,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-075073,0000949039,DIAMOND OFFSHORE DRILLING INC,1381,energy,10-K,1-LAF,2012-02-23,2012-02-24 00:00:00+00:00,20111231,2011,FY,2012Q1,37.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001000229-12-000012,0001000229,CORE LABORATORIES N V,1389,energy,10-K,1-LAF,2012-02-15,2012-02-16 00:00:00+00:00,20111231,2011,FY,2012Q1,45.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001104659-12-008158,0001006655,EVOLUTION PETROLEUM CORP,1311,energy,10-Q,2-ACC,2012-02-09,2012-02-10 00:00:00+00:00,20111231,2012,Q2,2012Q1,51.0,EPM,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-088096,0001022321,GENESIS ENERGY LP,5171,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,GEL,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-067172,0001022646,ULTRA PETROLEUM CORP,1311,energy,10-K,1-LAF,2012-02-17,2012-02-18 00:00:00+00:00,20111231,2011,FY,2012Q1,43.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001104659-12-018171,0001023734,"BPZ RESOURCES, INC.",1311,energy,10-K,2-ACC,2012-03-14,2012-03-15 00:00:00+00:00,20111231,2011,FY,2012Q1,17.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-099278,0001029023,SYNTROLEUM CORP,1311,energy,10-K,2-ACC,2012-03-06,2012-03-07 00:00:00+00:00,20111231,2011,FY,2012Q1,25.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001035002-12-000008,0001035002,VALERO ENERGY CORP/TX,2911,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,VLO,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001047469-12-001909,0001037676,ARCH COAL INC,1221,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-088998,0001038357,PIONEER NATURAL RESOURCES CO,1311,energy,10-K,1-LAF,2012-02-29,2012-03-01 00:00:00+00:00,20111231,2011,FY,2012Q1,31.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-120040,0001040593,CARRIZO OIL & GAS INC,1311,energy,10-K/A,1-LAF,2012-03-19,2012-03-20 00:00:00+00:00,20111231,2011,FY,2012Q1,12.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001047469-12-001768,0001059324,PETROHAWK ENERGY CORP,1311,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001064728-12-000020,0001064728,PEABODY ENERGY CORP,1221,energy,10-K,1-LAF,2012-02-27,2012-02-28 00:00:00+00:00,20111231,2011,FY,2012Q1,33.0,BTU,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001070412-12-000008,0001070412,CONSOL ENERGY INC,1221,energy,10-K,1-LAF,2012-02-10,2012-02-11 00:00:00+00:00,20111231,2011,FY,2012Q1,50.0,CNX,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-048556,0001071993,CONTANGO OIL & GAS CO,1311,energy,10-Q,1-LAF,2012-02-09,2012-02-10 00:00:00+00:00,20111231,2012,Q2,2012Q1,51.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001084991-12-000011,0001084991,NATURAL GAS SERVICES GROUP INC,1389,energy,10-K,2-ACC,2012-03-14,2012-03-15 00:00:00+00:00,20111231,2011,FY,2012Q1,17.0,NGS,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-085069,0001086600,ALLIANCE RESOURCE PARTNERS LP,1221,energy,10-K,1-LAF,2012-02-28,2012-02-29 00:00:00+00:00,20111231,2011,FY,2012Q1,32.0,ARLP,Nasdaq,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-077085,0001090012,DEVON ENERGY CORP/DE,1311,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,DVN,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-128943,0001092289,TRANSATLANTIC PETROLEUM LTD.,1382,energy,10-K,2-ACC,2012-03-23,2012-03-24 00:00:00+00:00,20111231,2011,FY,2012Q1,8.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001104485-12-000015,0001104485,"NORTHERN OIL & GAS, INC.",1311,energy,10-K/A,2-ACC,2012-03-02,2012-03-03 00:00:00+00:00,20111231,2011,FY,2012Q1,29.0,NOG,NYSE,current_ticker_available
2012-04-01 00:00:00+00:00,0001140361-12-010483,0001108827,"QEP RESOURCES, INC.",1311,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-077986,0001109189,BASIC ENERGY SERVICES INC,1389,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001013762-12-000271,0001111817,LONGWEI PETROLEUM INVESTMENT HOLDING LTD,5171,energy,10-Q,2-ACC,2012-02-09,2012-02-10 00:00:00+00:00,20111231,2012,Q2,2012Q1,51.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-101841,0001112412,ENDEAVOUR INTERNATIONAL CORP,1311,energy,10-K,2-ACC,2012-03-08,2012-03-09 00:00:00+00:00,20111231,2011,FY,2012Q1,23.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-129756,0001123647,ATP OIL & GAS CORP,1311,energy,10-K/A,2-ACC,2012-03-23,2012-03-24 00:00:00+00:00,20111231,2011,FY,2012Q1,8.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001140361-12-015263,0001124024,FAR EAST ENERGY CORP,1311,energy,10-K,2-ACC,2012-03-13,2012-03-14 00:00:00+00:00,20111231,2011,FY,2012Q1,18.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001445305-12-000619,0001127342,GMX RESOURCES INC,1311,energy,10-K,2-ACC,2012-03-09,2012-03-10 00:00:00+00:00,20111231,2011,FY,2012Q1,22.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001144204-12-013556,0001131312,ZION OIL & GAS INC,1382,energy,10-K,2-ACC,2012-03-07,2012-03-08 00:00:00+00:00,20111231,2011,FY,2012Q1,24.0,ZNOG|ZNOGW,OTC,current_ticker_available
2012-04-01 00:00:00+00:00,0001193125-12-103133,0001133260,UNION DRILLING INC,1381,energy,10-K,2-ACC,2012-03-08,2012-03-09 00:00:00+00:00,20111231,2011,FY,2012Q1,23.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001137083-12-000008,0001137083,"L & L ENERGY, INC.",1220,energy,10-Q,2-ACC,2012-03-12,2012-03-13 00:00:00+00:00,20120131,2012,Q3,2012Q1,19.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001193125-12-077008,0001144945,PENN VIRGINIA RESOURCE PARTNERS L P,1221,energy,10-K,1-LAF,2012-02-24,2012-02-25 00:00:00+00:00,20111231,2011,FY,2012Q1,36.0,,,former_or_unmapped
2012-04-01 00:00:00+00:00,0001140361-12-013863,0001156041,HOUSTON AMERICAN ENERGY CORP,1311,energy,10-K,2-ACC,2012-03-07,2012-03-08 00:00:00+00:00,20111231,2011,FY,2012Q1,24.0,AGIG,NYSE,current_ticker_available
