source_quarter,url,retrieved_at_utc,http_status,zip_bytes,zip_sha256,sub_bytes,sub_sha256,cached_sub_file,elapsed_seconds
2021Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2021q1.zip,2026-08-13T09:50:20.767515+00:00,200,97900752,6a776a9fa3d974476101efa9a4bfc531b7cdc2763abd45a6f70dd240a223843b,1889669,1b6f2e9bf6d98b959c3150c4c86ccab3f5cfcc640bb66760fe23a44cc5972bfe,/project/data/sec_fsds_sub_cache/2021q1.sub.txt.gz,12.054
2021Q2,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2021q2.zip,2026-08-13T09:50:16.015788+00:00,200,90864175,528b91432896eba74661c20481edb327809f3a0bf00e01d81821fe8e6078bc33,2354653,a4abc698a8fe17e33b4e068c0d1d882d4bda80b2c5087a22d0568cf44db1fc9e,/project/data/sec_fsds_sub_cache/2021q2.sub.txt.gz,4.506
2021Q3,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2021q3.zip,2026-08-13T09:50:24.413569+00:00,200,97252395,0fae2ceb149c0fe7e83b35b19157f910c864dee7e25d5ecf8b93dc42ee261b99,2268169,325ebe0b81ae8f58b8838d978964e69c27b29f31a02a6b980af61a3db7236e3c,/project/data/sec_fsds_sub_cache/2021q3.sub.txt.gz,8.395
2021Q4,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2021q4.zip,2026-08-13T09:50:27.355450+00:00,200,102642081,30d21449c0488e71dfb88ba8f85644a0e72194864e95111b3c1c120b3514c594,2284171,2e3112ec4f8e291d091dd20bd584b600f452094930c6838e1e6a582a8c3829ff,/project/data/sec_fsds_sub_cache/2021q4.sub.txt.gz,6.587
2022Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2022q1.zip,2026-08-13T09:50:28.045864+00:00,200,103669919,2ebeef77727a383f878bc28ff22498fd292a8dbab04216877b4b130ca00c1520,2181982,0602161b3e42b93f5497f8c877392237aa6f6f267548813d2c4fb8447af06d2e,/project/data/sec_fsds_sub_cache/2022q1.sub.txt.gz,6.838
2022Q2,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2022q2.zip,2026-08-13T09:50:36.919848+00:00,200,97089251,8939a4cafeabf7c94bde48be0e8c444f6332e4a9663698a89242eddd1036d27e,2583817,7626538fe45445bd0b926ef15bed0289fccbf97cd8b7a1201688c5c932ab7d90,/project/data/sec_fsds_sub_cache/2022q2.sub.txt.gz,12.504
2022Q3,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2022q3.zip,2026-08-13T09:50:31.487255+00:00,200,97589396,4bbfdc953177acf1a430a9f0a624dd8244bc81292d42872107d0446d06167c26,2257608,bfca5d4af747b5daf2d0c87549460847cf0a80a7dfb180ce7c71028459b0e435,/project/data/sec_fsds_sub_cache/2022q3.sub.txt.gz,4.127
2022Q4,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2022q4.zip,2026-08-13T09:50:41.362479+00:00,200,111091525,83bdc7a9545479eb64d118688c888ba8e7554ebc774f3ab8a8b0cc1decb87f28,2200127,2329a871f5fc1211f9efbf5de7510f97e852b438b19c67971162a11e162fce84,/project/data/sec_fsds_sub_cache/2022q4.sub.txt.gz,13.314
2023Q1,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2023q1.zip,2026-08-13T09:50:36.967337+00:00,200,113974946,479638c1be4088fa2ae42d2947468913eaff5ad0f093c412ba4340af8a8f791e,2037632,cdac82dc4c6cb6ed63b37eabbab49f5c7b7f58e3e0f7495d0280684adbce510c,/project/data/sec_fsds_sub_cache/2023q1.sub.txt.gz,5.478
2023Q2,https://www.sec.gov/files/dera/data/financial-statement-data-sets/2023q2.zip,2026-08-13T09:50:52.186288+00:00,200,116914392,f028f1e8d24313e7619aa87c7c683a459452e7e81a8e5ba72d7ce39ddf62bda9,2446972,ce8187645c8e6ddcd0fe3acad5a9c4f04df1937dd18b40679f02a5a8a2354a54,/project/data/sec_fsds_sub_cache/2023q2.sub.txt.gz,15.265
