cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision,last_recent_decision,recent_decision_rows,symbol_count
0001747748,QUALTRICS INTERNATIONAL INC.,technology,0001628280-23-014712,2023-05-03 00:00:00+00:00,XM,xbrl_symbol_recovered,xm-20230331.htm,4d46654589b35e643426dde86edc521d0c701d4f43129f975881bf3efb1acc7b,2023-04-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,6,1
0001756497,CHANGE HEALTHCARE INC.,technology,0001756497-22-000011,2022-08-05 00:00:00+00:00,CHNG,xbrl_symbol_recovered,chng-20220630x10q.htm,6e7d49832922473098e75b76c34ab68caf9c04f7002315d509dbd0bfd0c95613,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,1
0001760717,SCIPLAY CORP,technology,0001760717-23-000037,2023-08-09 00:00:00+00:00,SCPL,xbrl_symbol_recovered,scpl-20230630.htm,ffef57d703c99bb1f27dc8ee28b60a5f4e287cb5091a88ac3a7c023a9bc2ce8c,2023-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,8,1
0001770450,XEROX HOLDINGS CORP,technology,0001770450-26-000009,2026-03-18 00:00:00+00:00,XRX|XRXDW,xbrl_symbol_recovered,xrx-20251231.htm,ca0d5e5e3d978820b3a65e801a6ac66e43d5672937c81029bfd526f64abfd54a,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2
0001774155,BTRS HOLDINGS INC.,technology,0001774155-22-000129,2022-11-08 00:00:00+00:00,BTRS,xbrl_symbol_recovered,brts-20220930.htm,b1070318fa5e65aa97b4ada921d0c46350c7b9e34fb7cf63ee01b3a934a07513,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,1
0001783317,MCAFEE CORP.,technology,0000950170-22-001804,2022-02-24 00:00:00+00:00,MCFE,xbrl_symbol_recovered,mcfe-20211225.htm,f37804df0815dfecb11aa7cdf12d881debe8e573665fa06b1a09f67bd034dc21,2023-01-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,2,1
0001794905,"CYXTERA TECHNOLOGIES, INC.",technology,0001794905-23-000048,2023-05-06 00:00:00+00:00,CYXT,xbrl_symbol_recovered,cyxt-20230331.htm,14b5cef8cc9f51724bc90d0ec85083ddac987aa46f72dd4bcab8d185f4424e33,2023-04-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,6,1
0001799332,GAN LTD,technology,0001641172-25-009454,2025-05-10 00:00:00+00:00,GAN,xbrl_symbol_recovered,form10-q.htm,578758310969b3201cf6268854ed120f03cccff1c08e2299db17ae398dc3c57a,2023-07-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,12,1
0001800347,"E2OPEN PARENT HOLDINGS, INC.",technology,0000950170-25-095025,2025-07-11 00:00:00+00:00,ETWO,xbrl_symbol_recovered,etwo-20250531.htm,f3ccfecd759cb0e060faba9d32001034c3edad8fc0428ff1462bf524c2374191,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1
0001805833,"SYSTEM1, INC.",technology,0001628280-24-046309,2024-11-08 00:00:00+00:00,SST|SST.WS,xbrl_symbol_recovered,sst-20240930.htm,6e4265a6ebf48fd3b1dd6c7111cf6c25621e0508ab199838d1bcffe5f89e2ed1,2023-07-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,11,2
0001819394,"MATTERPORT, INC./DE",technology,0001819394-25-000007,2025-02-27 00:00:00+00:00,MTTR,xbrl_symbol_recovered,mttr-20241231.htm,fc9adb7098559974f361ff94dab05687fa83b80bfeb446c2d5a17e5de6f616f5,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,1
0001823882,AIRSPAN NETWORKS HOLDINGS INC.,technology,0001829126-23-007197,2023-11-09 00:00:00+00:00,MIMO,xbrl_symbol_recovered,airspannetworks_10q.htm,60aea63f6b651b8916e98988eed8922c836d46ae29d9bec9d8e390eb4927eb43,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,1
0001824920,"IONQ, INC.",technology,0001193125-26-071562,2026-02-26 00:00:00+00:00,IONQ,xbrl_symbol_recovered,ionq-20251231.htm,d2465455d1035b791610e10ce7099ff4f2859dea26f697a4befdeb1842f2df0d,2024-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,9,1
0001827075,CVENT HOLDING CORP.,technology,0000950170-23-018379,2023-05-06 00:00:00+00:00,CVT,xbrl_symbol_recovered,cvt-20230331.htm,d85093cbb6ad06d60db1c2c9ccc239b2798ee38626cb7f0a889cdbeaf519d7eb,2023-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,7,1
0001828108,"AURORA INNOVATION, INC.",technology,0001828108-26-000016,2026-02-12 00:00:00+00:00,AUR|AUROW,xbrl_symbol_recovered,aur-20251231.htm,6746492a9b782b90faec089cd4a1d5f7d8178df4ca1d9454dec59d1a4c54c0d7,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,2
0001834494,"MERIDIANLINK, INC.",technology,0001834494-25-000080,2025-08-12 00:00:00+00:00,MLNK,xbrl_symbol_recovered,mlnk-20250630.htm,47c2db8709cc70fe9e79b602e41821bd57347927e44ecf8edcb86c51521ec520,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,1
0001835378,INNOVID CORP.,technology,0001835378-24-000129,2024-11-13 00:00:00+00:00,CTV|CTVWS,xbrl_symbol_recovered,ctv-20240930.htm,dd9743874771d5c29a0de4f2de5e8264b3aee0ecbb4111f74b0112a87f2d981d,2023-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,12,2
0001835591,VIZIO HOLDING CORP.,technology,0001835591-24-000089,2024-11-07 00:00:00+00:00,VZIO,xbrl_symbol_recovered,vzio-20240930.htm,a7f24ba2fd6f7f164cf0f036c0a9123a0ef4421d9f29b576f9b0370cfd79f3ed,2023-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,12,1
0001835681,"POWERSCHOOL HOLDINGS, INC.",technology,0001835681-24-000100,2024-08-10 00:00:00+00:00,PWSC,xbrl_symbol_recovered,pwsc-20240630.htm,91c77b5fc5f69159d54542d2b5295f300e92cd5fb9ceb543aa27825642a4f58d,2023-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,11,1
0001836981,"BIGBEAR.AI HOLDINGS, INC.",technology,0001836981-26-000018,2026-03-03 00:00:00+00:00,BBAI|BBAI.WS,xbrl_symbol_recovered,bbai-20251231.htm,61e87a07b9bf4d6c2159e3189093956ad413cd96e2b0996bb75648bef446fb63,2024-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,9,2
0001837686,"VIMEO, INC.",technology,0001837686-25-000110,2025-10-29 00:00:00+00:00,VMEO,xbrl_symbol_recovered,vmeo-20250930.htm,fd8367ed0c526d67a2d8e1d2466145a1bf4ad7d2edaa9d23bd4e6d2f7a28cd00,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,1
0001838672,"ADTHEORENT HOLDING COMPANY, INC.",technology,0000950170-23-060400,2023-11-08 00:00:00+00:00,ADTH|ADTHW,xbrl_symbol_recovered,adth-20230930.htm,2452722d00b14dbc9bd99dee1ac329666328b26543ec94e0939e0f10ee32b085,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,2
0001839439,"PAYCOR HCM, INC.",technology,0001839439-25-000020,2025-02-07 00:00:00+00:00,PYCR,xbrl_symbol_recovered,pycr-20241231.htm,ce9340752f3af2c52422f4fc577290a353231ccc1b01c1aef8e7ad94618f404d,2023-10-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,11,1
0001840856,"SOUNDHOUND AI, INC.",technology,0001840856-26-000006,2026-03-03 00:00:00+00:00,SOUN|SOUNW,xbrl_symbol_recovered,soun-20251231.htm,17501499fe8c1e7d58dc6db5b1aaedad4a50f5fd8368327a3414115ff34a1ca3,2024-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,9,2
