target,model,subperiod,n_oos,brier,auc,pearson_ic,spearman_ic,positive_spearman_ic_rate,top_minus_bottom_forward_return_spread,top_decile_precision
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,2021_2026,9380,0.1930770803563312,0.5347696434589395,-0.12157668538399626,-0.09443069633119301,0.40298507462686567,-0.021054068881854945,0.3246268656716418
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,2010_2015,10695,0.19755386063314218,0.563146377716333,-0.038132657031361664,-0.02913550239626507,0.46006389776357826,-0.00046303986456772714,0.31789137380191695
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,2016_2020,9135,0.1862611471859222,0.6023013411153633,0.00808326732046238,0.002346742801756272,0.4827586206896552,0.008246427193674615,0.33620689655172414
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,2021_2026,9380,0.18835202206167312,0.5722891236507855,-0.07242686221843836,-0.05225957562256433,0.47761194029850745,-0.010507931395258283,0.3787313432835821
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,2010_2015,10695,0.1932871109577283,0.577325288029745,-0.04109445818399273,-0.050707520882300045,0.4217252396166134,-0.00036559614804796575,0.34345047923322686
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,2016_2020,9135,0.19120006700504005,0.5550878106918095,-0.10075445761871168,-0.11989439453942498,0.3218390804597701,-0.0055962797640186504,0.3170498084291188
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,2021_2026,9380,0.19055639160974466,0.5407976739913141,-0.1249127361962848,-0.10439086082194073,0.376865671641791,-0.019885884033447238,0.3423507462686567
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,2010_2015,10695,0.1948886519103911,0.5769914789463709,-0.021393927850866454,-0.020649944555225515,0.4696485623003195,0.00041582159263018215,0.35303514376996803
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,2016_2020,9135,0.19111544672458358,0.5683407491220059,-0.03500669731422074,-0.04799145711924616,0.42528735632183906,-0.00046236882729883664,0.2978927203065134
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,2021_2026,9380,0.1904680106335527,0.5436621665876511,-0.11687879286207255,-0.0963784021071115,0.3843283582089552,-0.026317704612531807,0.34328358208955223
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,2010_2015,10695,0.19401819396255374,0.49977857210641186,-1.1618117249939555e-18,,0.0,-0.005036569688576028,0.17492012779552715
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,2016_2020,9135,0.19104941821265564,0.5,3.8777228619853546e-19,,0.0,0.00893380616518576,0.20593869731800765
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,2021_2026,9380,0.19103470454092675,0.5,2.249546842083097e-18,,0.0,-0.005227141754933103,0.34048507462686567
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,2010_2015,10695,0.19162354408232807,0.5724365035012553,-0.030377931790259816,-0.03378023810592354,0.4728434504792332,-0.0002498458805603077,0.3706070287539936
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,2016_2020,9135,0.18737681531952824,0.5893115405380346,-0.06706629360481173,-0.07965377721970016,0.38697318007662834,-0.0016096505023681855,0.3544061302681992
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,2021_2026,9380,0.1892146623839565,0.5510033250795392,-0.11809541763190233,-0.0914135669644284,0.41044776119402987,-0.025462207125653384,0.3582089552238806
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,2010_2015,10695,0.32821913975511785,0.5309899467050005,0.007723031117466306,0.01744073754973961,0.5399361022364217,0.003382001736613278,0.2531948881789137
