target,model,bucket,n,avg_prediction,actual_rate,avg_forward_return
target_etf_forward_risk_adjusted_top_quantile_8w,naive_historical_class_rate,9,2921,0.2642889559046606,0.2622389592605272,0.005130053785114766
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,0,2921,0.18563312455311812,0.2091749400890106,0.01760839608195216
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,1,2921,0.20511026459811868,0.20712084902430675,0.013957792074739288
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,2,2921,0.21616940660920175,0.20540910647038685,0.014440317248050163
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,3,2921,0.22938621614625412,0.2064361520027388,0.011499890041680979
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,4,2921,0.24540610272336857,0.23690516946251283,0.0070867241908107205
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,5,2921,0.2629718698531893,0.3046901745977405,0.014963149616645195
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,6,2921,0.28112549532818887,0.2879150975693256,0.012700559523217865
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,7,2921,0.29847750406340584,0.26600479287915096,0.0065996814252950444
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,8,2921,0.31905549594448546,0.3046901745977405,0.006803765926524729
target_etf_forward_risk_adjusted_top_quantile_8w,random_forest_depth4,9,2921,0.3839548163088585,0.3659705580280726,0.0060521372036786425
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,0,2921,0.06531894510628627,0.23040054775761726,0.00921215189049512
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,1,2921,0.1637162362377337,0.2471756247860322,0.012502690880872365
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,2,2921,0.2649599107016994,0.2516261554262239,0.011507859710655634
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,3,2921,0.3639705522743161,0.2718247175624786,0.011390051513811466
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,4,2921,0.46481031303312154,0.2581307771311195,0.01157572668236892
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,5,2921,0.5640154315748893,0.281752824375214,0.013243044457913345
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,6,2921,0.6648701521005527,0.281752824375214,0.010533449539212866
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,7,2921,0.7638508741394539,0.26737418692228687,0.012718274721079883
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,8,2921,0.8651394279039929,0.25368024649092774,0.009914379583534071
target_etf_forward_risk_adjusted_top_quantile_8w,simple_momentum_rank,9,2921,0.9634765917105632,0.25059910989387196,0.009114784352651116
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,0,2921,0.2589608624401179,0.2577884286203355,0.025728708631499557
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,1,2921,0.26085482144913513,0.25710373159876754,0.01060916766602679
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,2,2921,0.2612559439787453,0.25710373159876754,-0.0012077283415701425
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,3,2921,0.2616890609922977,0.2567613830879836,0.013016433872828536
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,4,2921,0.26225173521353007,0.2591578226634714,0.01739118527780639
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,5,2921,0.2628647600945926,0.2577884286203355,0.005779700453798891
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,6,2921,0.26347017503404097,0.26018486819582337,0.011014163979037957
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,7,2921,0.26402012247678935,0.2615542622389593,-0.0003113960369681243
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,8,2921,0.2643501219458852,0.2642930503252311,0.02109070682857277
target_etf_forward_risk_adjusted_top_quantile_8w,state_only_lag1_rate,9,2921,0.2645645848480395,0.26258130777131117,0.008601471001562161
target_etf_forward_top_quantile_4w,decision_tree_depth3,0,2936,0.14934458548907523,0.18767029972752045,0.0031845079043994473
target_etf_forward_top_quantile_4w,decision_tree_depth3,1,2936,0.18245923158615937,0.19686648501362397,0.004483746038470157
target_etf_forward_top_quantile_4w,decision_tree_depth3,2,2935,0.2087426746170994,0.24974446337308348,0.006737523929026683
target_etf_forward_top_quantile_4w,decision_tree_depth3,3,2936,0.23063356974327498,0.2574931880108992,0.006651383601028004
target_etf_forward_top_quantile_4w,decision_tree_depth3,4,2936,0.23678919804888884,0.24829700272479563,0.006195110836134165
target_etf_forward_top_quantile_4w,decision_tree_depth3,5,2935,0.24530834007929816,0.248381601362862,0.004389928448200571
target_etf_forward_top_quantile_4w,decision_tree_depth3,6,2936,0.2744549366326103,0.279291553133515,0.009960163817851099
target_etf_forward_top_quantile_4w,decision_tree_depth3,7,2935,0.3056226292716804,0.27120954003407155,0.0019881738029552502
target_etf_forward_top_quantile_4w,decision_tree_depth3,8,2936,0.34777914654340086,0.3358310626702997,0.009146182673604206
target_etf_forward_top_quantile_4w,decision_tree_depth3,9,2936,0.4558389952810576,0.3188010899182561,0.0018530268256209464
target_etf_forward_top_quantile_4w,hist_gradient_depth3,0,2936,0.1165280420352652,0.14884196185286103,0.0019140225467029807
target_etf_forward_top_quantile_4w,hist_gradient_depth3,1,2936,0.17267498217169597,0.20946866485013624,0.005974895291043779
target_etf_forward_top_quantile_4w,hist_gradient_depth3,2,2935,0.2001653641071729,0.23816013628620103,0.007063433895743199
target_etf_forward_top_quantile_4w,hist_gradient_depth3,3,2936,0.22256080713025744,0.23092643051771117,0.005526071845434237
target_etf_forward_top_quantile_4w,hist_gradient_depth3,4,2936,0.24342153054519028,0.2547683923705722,0.005315215596451803
target_etf_forward_top_quantile_4w,hist_gradient_depth3,5,2935,0.2648282172137923,0.27325383304940376,0.005788544654716474
target_etf_forward_top_quantile_4w,hist_gradient_depth3,6,2936,0.28845486627792316,0.3024523160762943,0.006502818202084969
target_etf_forward_top_quantile_4w,hist_gradient_depth3,7,2935,0.3148249167282756,0.300511073253833,0.006115411620496236
target_etf_forward_top_quantile_4w,hist_gradient_depth3,8,2936,0.3504778602903918,0.3184604904632153,0.0074731548384288716
target_etf_forward_top_quantile_4w,hist_gradient_depth3,9,2936,0.42167170555832756,0.3167574931880109,0.0029181724938142643
target_etf_forward_top_quantile_4w,logistic_l2_base,0,2936,0.1417172750414477,0.1624659400544959,0.0017684286598339538
target_etf_forward_top_quantile_4w,logistic_l2_base,1,2936,0.18147474992006515,0.16961852861035423,0.0033720974534668297
target_etf_forward_top_quantile_4w,logistic_l2_base,2,2935,0.2098519885294905,0.21771720613287904,0.005995980621095821
target_etf_forward_top_quantile_4w,logistic_l2_base,3,2936,0.23187646020200445,0.23944141689373297,0.00613394133970185
target_etf_forward_top_quantile_4w,logistic_l2_base,4,2936,0.24902160766552822,0.2615803814713896,0.006989343655558701
target_etf_forward_top_quantile_4w,logistic_l2_base,5,2935,0.2652635667617335,0.27325383304940376,0.006980141603124945
target_etf_forward_top_quantile_4w,logistic_l2_base,6,2936,0.28282190766174464,0.31028610354223435,0.010088553978980067
target_etf_forward_top_quantile_4w,logistic_l2_base,7,2935,0.30302810838937067,0.3086882453151618,0.006894929261927608
target_etf_forward_top_quantile_4w,logistic_l2_base,8,2936,0.33128988605532533,0.3194822888283379,0.005262852628357048
target_etf_forward_top_quantile_4w,logistic_l2_base,9,2936,0.411772376864969,0.3310626702997275,0.0011057795694214847
target_etf_forward_top_quantile_4w,logistic_l2_interactions,0,2936,0.12024312524928453,0.16348773841961853,0.0018345748777684099
target_etf_forward_top_quantile_4w,logistic_l2_interactions,1,2936,0.17330206861173802,0.17745231607629428,0.0032142307101706733
target_etf_forward_top_quantile_4w,logistic_l2_interactions,2,2935,0.2067940592643668,0.2201022146507666,0.006177200152378482
target_etf_forward_top_quantile_4w,logistic_l2_interactions,3,2936,0.23032029403845355,0.2452316076294278,0.006391288477086203
target_etf_forward_top_quantile_4w,logistic_l2_interactions,4,2936,0.24931824400811184,0.2612397820163488,0.0062429741494581265
target_etf_forward_top_quantile_4w,logistic_l2_interactions,5,2935,0.26699716334401474,0.29233390119250424,0.0085200191653983
target_etf_forward_top_quantile_4w,logistic_l2_interactions,6,2936,0.2860053142560841,0.295299727520436,0.007995041616989948
target_etf_forward_top_quantile_4w,logistic_l2_interactions,7,2935,0.30877199462226224,0.3008517887563884,0.006665660677404963
target_etf_forward_top_quantile_4w,logistic_l2_interactions,8,2936,0.3407483865119199,0.3010899182561308,0.0038906227061240297
target_etf_forward_top_quantile_4w,logistic_l2_interactions,9,2936,0.4333186505930044,0.33651226158038144,0.0036609443546663646
target_etf_forward_top_quantile_4w,naive_historical_class_rate,0,2936,0.26050412687260655,0.2571525885558583,0.011501163055258818
target_etf_forward_top_quantile_4w,naive_historical_class_rate,1,2936,0.2608064704982468,0.25681198910081743,0.007832296076358016
target_etf_forward_top_quantile_4w,naive_historical_class_rate,2,2935,0.26117410815515385,0.2575809199318569,-0.001693937307487014
target_etf_forward_top_quantile_4w,naive_historical_class_rate,3,2936,0.2616217257557465,0.2564713896457766,0.007300155686678635
target_etf_forward_top_quantile_4w,naive_historical_class_rate,4,2936,0.2621762127304259,0.25783378746594005,0.004343858078745931
target_etf_forward_top_quantile_4w,naive_historical_class_rate,5,2935,0.26288669430467604,0.25621805792163543,0.00686830123160219
target_etf_forward_top_quantile_4w,naive_historical_class_rate,6,2936,0.2637292898819075,0.26021798365122617,0.0015809294690384147
target_etf_forward_top_quantile_4w,naive_historical_class_rate,7,2935,0.2640529186125371,0.26405451448040884,0.009229702951357534
target_etf_forward_top_quantile_4w,naive_historical_class_rate,8,2936,0.26419266741157643,0.26294277929155313,0.004028731455373932
target_etf_forward_top_quantile_4w,naive_historical_class_rate,9,2936,0.2642699988696791,0.26430517711171664,0.0035989860225627396
target_etf_forward_top_quantile_4w,random_forest_depth4,0,2936,0.17755054656054828,0.12431880108991826,0.0019437431625679146
