decision_at,adsh,cik10,company_name_as_filed,sic,sector,form,afs,filing_date,available_at,period,fy,fp,source_quarter,filing_age_days,current_tickers,current_exchanges,identity_status,existing_execution_price,batch_price_available,validated_price_available,batch_price_attempted,companyfacts_cached,single_current_ticker,base_treatment,adverse_selected_return
2023-01-01 00:00:00+00:00,0001564590-21-054225,0001381531,DOMTAR CORP,2621,manufacturing,10-Q,1-LAF,2021-11-04,2021-11-05 00:00:00+00:00,20210930,2021,Q3,2021Q4,422.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001401708-22-000153,0001401708,NANOSTRING TECHNOLOGIES INC,2836,manufacturing,10-Q,1-LAF,2022-11-07,2022-11-08 00:00:00+00:00,20220930,2022,Q3,2022Q4,54.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-021919,0001455684,"TPI COMPOSITES, INC",3510,manufacturing,10-Q,1-LAF,2022-11-03,2022-11-04 00:00:00+00:00,20220930,2022,Q3,2022Q4,58.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001485003-22-000156,0001485003,"SESEN BIO, INC.",2834,manufacturing,10-Q,1-LAF,2022-11-07,2022-11-08 00:00:00+00:00,20220930,2022,Q3,2022Q4,54.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001567892-21-000038,0001567892,MALLINCKRODT PLC,2834,manufacturing,10-Q,2-ACC,2021-11-02,2021-11-03 00:00:00+00:00,20210930,2021,Q3,2021Q4,424.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001592057-22-000025,0001592057,ENVIVA INC.,2400,manufacturing,10-Q,1-LAF,2022-11-03,2022-11-04 00:00:00+00:00,20220930,2022,Q3,2022Q4,58.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001593034-22-000064,0001593034,ENDO INTERNATIONAL PLC,2834,manufacturing,10-Q,1-LAF,2022-11-09,2022-11-10 00:00:00+00:00,20220930,2022,Q3,2022Q4,52.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001595585-21-000128,0001595585,"TRICIDA, INC.",2834,manufacturing,10-Q,1-LAF,2021-11-08,2021-11-09 00:00:00+00:00,20210930,2021,Q3,2021Q4,418.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001628280-22-027622,0001597313,"VIEWRAY, INC.",3845,manufacturing,10-Q,1-LAF,2022-11-02,2022-11-03 00:00:00+00:00,20220930,2022,Q3,2022Q4,59.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001564590-22-037051,0001599901,"AVIDITY BIOSCIENCES, INC.",2834,manufacturing,10-Q,1-LAF,2022-11-08,2022-11-09 00:00:00+00:00,20220930,2022,Q3,2022Q4,53.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-021550,0001651311,MERUS N.V.,2834,manufacturing,10-Q,1-LAF,2022-11-03,2022-11-04 00:00:00+00:00,20220930,2022,Q3,2022Q4,58.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-021895,0001656634,"GRITSTONE BIO, INC.",2836,manufacturing,10-Q,2-ACC,2022-11-03,2022-11-04 00:00:00+00:00,20220930,2022,Q3,2022Q4,58.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001720990-22-000081,0001720990,FISKER INC./DE,3711,manufacturing,10-Q,1-LAF,2022-11-07,2022-11-08 00:00:00+00:00,20220930,2022,Q3,2022Q4,54.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-025444,0001732845,WESTROCK CO,2650,manufacturing,10-K,1-LAF,2022-11-18,2022-11-19 00:00:00+00:00,20220930,2022,FY,2022Q4,43.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001739614-22-000118,0001739614,"INHIBRX, INC.",2836,manufacturing,10-Q,1-LAF,2022-11-07,2022-11-08 00:00:00+00:00,20220930,2022,Q3,2022Q4,54.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001628280-22-030219,0001741231,"TATTOOED CHEF, INC.",2090,manufacturing,10-Q,1-LAF,2022-11-17,2022-11-18 00:00:00+00:00,20220930,2022,Q3,2022Q4,44.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001628280-22-029030,0001745317,"VELODYNE LIDAR, INC.",3569,manufacturing,10-Q,1-LAF,2022-11-09,2022-11-10 00:00:00+00:00,20220930,2022,Q3,2022Q4,52.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001628280-22-028465,0001758057,"LUMINAR TECHNOLOGIES, INC./DE",3714,manufacturing,10-Q,1-LAF,2022-11-04,2022-11-05 00:00:00+00:00,20220930,2022,Q3,2022Q4,57.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001628280-22-027804,0001760173,"SURGALIGN HOLDINGS, INC.",3842,manufacturing,10-Q,2-ACC,2022-11-02,2022-11-03 00:00:00+00:00,20220930,2022,Q3,2022Q4,59.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001775625-22-000093,0001775625,"SMILEDIRECTCLUB, INC.",3843,manufacturing,10-Q,1-LAF,2022-11-07,2022-11-08 00:00:00+00:00,20220930,2022,Q3,2022Q4,54.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-023316,0001779020,"DANIMER SCIENTIFIC, INC.",2821,manufacturing,10-Q,1-LAF,2022-11-08,2022-11-09 00:00:00+00:00,20220930,2022,Q3,2022Q4,53.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-022602,0001804591,23ANDME HOLDING CO.,2834,manufacturing,10-Q,1-LAF,2022-11-07,2022-11-08 00:00:00+00:00,20220930,2023,Q2,2022Q4,54.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001628280-22-028171,0001820630,PROTERRA INC,3711,manufacturing,10-Q,1-LAF,2022-11-03,2022-11-04 00:00:00+00:00,20220930,2022,Q3,2022Q4,58.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-023880,0001834045,"VINTAGE WINE ESTATES, INC.",2080,manufacturing,10-Q,2-ACC,2022-11-09,2022-11-10 00:00:00+00:00,20220930,2022,Q1,2022Q4,52.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001558370-22-014850,0000084129,RITE AID CORP,5912,retail_trade,10-Q,1-LAF,2022-10-05,2022-10-06 00:00:00+00:00,20220831,2023,Q2,2022Q4,87.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000768835-22-000131,0000768835,BIG LOTS INC,5331,retail_trade,10-Q,1-LAF,2022-12-07,2022-12-08 00:00:00+00:00,20221031,2022,Q3,2022Q4,24.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001558370-22-018598,0000870826,"IMEDIA BRANDS, INC.",5961,retail_trade,10-Q,2-ACC,2022-12-13,2022-12-14 00:00:00+00:00,20221031,2022,Q3,2022Q4,18.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000950170-22-025574,0000878726,TUESDAY MORNING CORP/DE,5331,retail_trade,10-Q,2-ACC,2022-11-22,2022-11-23 00:00:00+00:00,20220930,2022,Q1,2022Q4,39.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0000886158-22-000150,0000886158,BED BATH & BEYOND INC,5700,retail_trade,10-Q,1-LAF,2022-09-30,2022-10-01 00:00:00+00:00,20220831,2022,Q2,2022Q3,92.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
