date,sleeve,ticker,weight
2020-01-24,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-01-24,Top3_Strict_Leadership,XLU,0.3333333333333333
2020-01-24,Top3_Strict_Leadership,XLV,0.3333333333333333
2020-01-31,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-01-31,Top3_Strict_Leadership,XLU,0.3333333333333333
2020-01-31,Top3_Strict_Leadership,XLV,0.3333333333333333
2020-02-07,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-02-07,Top3_Strict_Leadership,XLU,0.3333333333333333
2020-02-07,Top3_Strict_Leadership,XLV,0.3333333333333333
2020-02-14,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-02-14,Top3_Strict_Leadership,XLU,0.3333333333333333
2020-02-14,Top3_Strict_Leadership,XLV,0.3333333333333333
2020-02-21,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-02-21,Top3_Strict_Leadership,XLU,0.3333333333333333
2020-02-21,Top3_Strict_Leadership,XLV,0.3333333333333333
2020-02-28,Top3_Strict_Leadership,BIL,1.0
2020-03-06,Top3_Strict_Leadership,BIL,1.0
2020-03-13,Top3_Strict_Leadership,BIL,1.0
2020-03-20,Top3_Strict_Leadership,BIL,1.0
2020-03-27,Top3_Strict_Leadership,BIL,1.0
2020-04-03,Top3_Strict_Leadership,BIL,1.0
2020-04-10,Top3_Strict_Leadership,BIL,1.0
2020-04-17,Top3_Strict_Leadership,BIL,1.0
2020-04-24,Top3_Strict_Leadership,BIL,1.0
2020-05-01,Top3_Strict_Leadership,BIL,1.0
2020-05-08,Top3_Strict_Leadership,BIL,1.0
2020-05-15,Top3_Strict_Leadership,BIL,1.0
2020-05-22,Top3_Strict_Leadership,BIL,1.0
2020-05-29,Top3_Strict_Leadership,BIL,1.0
2020-06-05,Top3_Strict_Leadership,BIL,1.0
2020-06-12,Top3_Strict_Leadership,BIL,1.0
2020-06-19,Top3_Strict_Leadership,BIL,1.0
2020-06-26,Top3_Strict_Leadership,BIL,1.0
2020-07-03,Top3_Strict_Leadership,BIL,1.0
2020-07-10,Top3_Strict_Leadership,BIL,1.0
2020-07-17,Top3_Strict_Leadership,BIL,1.0
2020-07-24,Top3_Strict_Leadership,BIL,1.0
2020-07-31,Top3_Strict_Leadership,BIL,1.0
2020-08-07,Top3_Strict_Leadership,BIL,1.0
2020-08-14,Top3_Strict_Leadership,BIL,1.0
2020-08-21,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-08-21,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-08-21,Top3_Strict_Leadership,XLY,0.3333333333333333
2020-08-28,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-08-28,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-08-28,Top3_Strict_Leadership,XLY,0.3333333333333333
2020-09-04,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-09-04,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-09-04,Top3_Strict_Leadership,XLY,0.3333333333333333
2020-09-11,Top3_Strict_Leadership,BIL,1.0
2020-09-18,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-09-18,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-09-18,Top3_Strict_Leadership,XLY,0.3333333333333333
2020-09-25,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-09-25,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-09-25,Top3_Strict_Leadership,XLY,0.3333333333333333
2020-10-02,Top3_Strict_Leadership,XLB,0.3333333333333333
2020-10-02,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-10-02,Top3_Strict_Leadership,XLY,0.3333333333333333
2020-10-09,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-10-09,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-10-09,Top3_Strict_Leadership,XLY,0.3333333333333333
2020-10-16,Top3_Strict_Leadership,XLI,0.3333333333333333
2020-10-16,Top3_Strict_Leadership,XLK,0.3333333333333333
2020-10-16,Top3_Strict_Leadership,XLY,0.3333333333333333
