decision_time,cik10,ticker,net_income,net_income__period_end,net_income__available_at,operating_cash_flow,operating_cash_flow__period_end,operating_cash_flow__available_at,net_income__prior_year,net_income__yoy_growth,operating_cash_flow__prior_year,operating_cash_flow__yoy_growth,revenue,revenue__period_end,revenue__available_at,net_margin,operating_cash_flow_margin,revenue__prior_year,revenue__yoy_growth
2019-07-01 00:00:00+00:00,0000863436,0000863436,13773000.0,2019-03-31,2019-05-09 00:00:00+00:00,16414000.0,2019-03-31,2019-05-09 00:00:00+00:00,-23641000.0,-1.5825895689691638,24530000.0,-0.33086017121891564,602820000.0,2019-03-31,2019-05-09 00:00:00+00:00,0.022847616203841944,0.02722869181513553,608136000.0,-0.00874146572477208
2019-10-01 00:00:00+00:00,0000863436,0000863436,9447000.0,2019-06-30,2019-08-09 00:00:00+00:00,16414000.0,2019-03-31,2019-05-09 00:00:00+00:00,10943000.0,-0.13670839806268853,24530000.0,-0.33086017121891564,601602000.0,2019-06-30,2019-08-09 00:00:00+00:00,0.015703072795635653,0.02728381887028301,660591000.0,-0.08929731104420136
2020-01-01 00:00:00+00:00,0000863436,0000863436,7136000.0,2019-09-30,2019-11-07 00:00:00+00:00,16414000.0,2019-03-31,2019-05-09 00:00:00+00:00,7799000.0,-0.08501089883318369,24530000.0,-0.33086017121891564,555229000.0,2019-09-30,2019-11-07 00:00:00+00:00,0.012852354614042135,0.029562576882691646,640688000.0,-0.13338629723047724
2020-04-01 00:00:00+00:00,0000863436,0000863436,-6931000.0,2019-12-31,2020-03-03 00:00:00+00:00,16414000.0,2019-03-31,2019-05-09 00:00:00+00:00,27716000.0,-1.2500721604849185,24530000.0,-0.33086017121891564,508444000.0,2019-12-31,2020-03-03 00:00:00+00:00,-0.013631786391421671,0.03228280793951743,657050000.0,-0.2261715242371205
2020-07-01 00:00:00+00:00,0000863436,0000863436,3852000.0,2020-03-31,2020-05-09 00:00:00+00:00,-3109000.0,2020-03-31,2020-05-09 00:00:00+00:00,13773000.0,-0.7203223698540623,16414000.0,-1.1894114780065799,514964000.0,2020-03-31,2020-05-09 00:00:00+00:00,0.007480134533676141,-0.006037315229802472,602820000.0,-0.1457416807670615
2020-10-01 00:00:00+00:00,0000863436,0000863436,-3407000.0,2020-06-30,2020-08-07 00:00:00+00:00,-3109000.0,2020-03-31,2020-05-09 00:00:00+00:00,9447000.0,-1.3606435905578491,16414000.0,-1.1894114780065799,490966000.0,2020-06-30,2020-08-07 00:00:00+00:00,-0.006939380731048586,-0.0063324140571852225,601602000.0,-0.18390231415454072
2021-01-01 00:00:00+00:00,0000863436,0000863436,5915000.0,2020-09-30,2020-11-06 00:00:00+00:00,-3109000.0,2020-03-31,2020-05-09 00:00:00+00:00,7136000.0,-0.17110426008968604,16414000.0,-1.1894114780065799,525951000.0,2020-09-30,2020-11-06 00:00:00+00:00,0.011246294806930684,-0.005911197050675824,555229000.0,-0.0527313955142833
2021-04-01 00:00:00+00:00,0000863436,0000863436,7695000.0,2020-12-31,2021-03-02 00:00:00+00:00,-3109000.0,2020-03-31,2020-05-09 00:00:00+00:00,-6931000.0,-2.1102294041263887,16414000.0,-1.1894114780065799,521250000.0,2020-12-31,2021-03-02 00:00:00+00:00,0.014762589928057554,-0.005964508393285372,508444000.0,0.025186647890426572
2021-07-01 00:00:00+00:00,0000863436,0000863436,7917000.0,2021-03-31,2021-05-07 00:00:00+00:00,36613000.0,2021-03-31,2021-05-07 00:00:00+00:00,3852000.0,1.055295950155763,-3109000.0,-12.7764554519138,505721000.0,2021-03-31,2021-05-07 00:00:00+00:00,0.015654876898527053,0.07239762635919805,514964000.0,-0.01794882749085369
2021-10-01 00:00:00+00:00,0000863436,0000863436,7369000.0,2021-06-30,2021-08-06 00:00:00+00:00,36613000.0,2021-03-31,2021-05-07 00:00:00+00:00,-3407000.0,-3.1628999119459937,-3109000.0,-12.7764554519138,544662000.0,2021-06-30,2021-08-06 00:00:00+00:00,0.013529491684751278,0.06722150618181551,490966000.0,0.10936806214686956
