,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2014-11-14,0.18429834975141976,0.09801104371056839,0.19202936067383955,0.2364643820242497,0.13722870098722775,0.14915844901047862,0.002809713842216288
2014-11-21,0.18429834975141976,0.09801104371056839,0.19202936067383955,0.2364643820242497,0.13722870098722775,0.14915844901047862,0.002809713842216288
2014-11-28,0.19241456787620853,0.09376519682307957,0.19442395760546316,0.21715459779178548,0.13885473501812828,0.14162459190229615,0.021762352983038857
2014-12-05,0.19241456787620853,0.09376519682307957,0.19442395760546316,0.21715459779178548,0.13885473501812828,0.14162459190229615,0.021762352983038857
2014-12-12,0.19241456787620853,0.09376519682307957,0.19442395760546316,0.21715459779178548,0.13885473501812828,0.14162459190229615,0.021762352983038857
2014-12-19,0.19241456787620853,0.09376519682307957,0.19442395760546316,0.21715459779178548,0.13885473501812828,0.14162459190229615,0.021762352983038857
2014-12-26,0.16617163424105205,0.07772478963878916,0.16356040382617182,0.18837200642321952,0.11743143583116147,0.12459957368196045,0.16214015635764545
2015-01-02,0.16617163424105205,0.07772478963878916,0.16356040382617182,0.18837200642321952,0.11743143583116147,0.12459957368196045,0.16214015635764545
2015-01-09,0.16617163424105205,0.07772478963878916,0.16356040382617182,0.18837200642321952,0.11743143583116147,0.12459957368196045,0.16214015635764545
2015-01-16,0.16617163424105205,0.07772478963878916,0.16356040382617182,0.18837200642321952,0.11743143583116147,0.12459957368196045,0.16214015635764545
2015-01-23,0.16617163424105205,0.07772478963878916,0.16356040382617182,0.18837200642321952,0.11743143583116147,0.12459957368196045,0.16214015635764545
2015-01-30,0.2235916035588018,0.09035395038071703,0.20257549460330346,0.22033822078951523,0.12973691261536804,0.13340381805229443,0.0
2015-02-06,0.2235916035588018,0.09035395038071703,0.20257549460330346,0.22033822078951523,0.12973691261536804,0.13340381805229443,0.0
2015-02-13,0.2235916035588018,0.09035395038071703,0.20257549460330346,0.22033822078951523,0.12973691261536804,0.13340381805229443,0.0
2015-02-20,0.2235916035588018,0.09035395038071703,0.20257549460330346,0.22033822078951523,0.12973691261536804,0.13340381805229443,0.0
2015-02-27,0.21226114757636425,0.08277593528054884,0.19114068219720284,0.21915094858016476,0.1241063388759404,0.12574807517595873,0.044816872313820144
2015-03-06,0.21226114757636425,0.08277593528054884,0.19114068219720284,0.21915094858016476,0.1241063388759404,0.12574807517595873,0.044816872313820144
