,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2008-06-13,0.04541185307836562,0.1480297451619505,0.2210639569316038,0.3068749745652744,0.0769449158573543,0.001674554405451458,0.19999999999999996
2008-06-20,0.04541185307836562,0.1480297451619505,0.2210639569316038,0.3068749745652744,0.0769449158573543,0.001674554405451458,0.19999999999999996
2008-06-27,0.04611267173012241,0.15001814118590306,0.22519514745419023,0.302816701470481,0.07485260551603239,0.0010047326432708744,0.20000000000000007
2008-07-04,0.04611267173012241,0.15001814118590306,0.22519514745419023,0.302816701470481,0.07485260551603239,0.0010047326432708744,0.20000000000000007
2008-07-11,0.04611267173012241,0.15001814118590306,0.22519514745419023,0.302816701470481,0.07485260551603239,0.0010047326432708744,0.20000000000000007
2008-07-18,0.04611267173012241,0.15001814118590306,0.22519514745419023,0.302816701470481,0.07485260551603239,0.0010047326432708744,0.20000000000000007
2008-07-25,0.0454315273533356,0.14476584502791867,0.22223213658096197,0.312648797932225,0.07431885351959634,0.0006028395859625247,0.19999999999999984
2008-08-01,0.0454315273533356,0.14476584502791867,0.22223213658096197,0.312648797932225,0.07431885351959634,0.0006028395859625247,0.19999999999999984
2008-08-08,0.0454315273533356,0.14476584502791867,0.22223213658096197,0.312648797932225,0.07431885351959634,0.0006028395859625247,0.19999999999999984
2008-08-15,0.0454315273533356,0.14476584502791867,0.22223213658096197,0.312648797932225,0.07431885351959634,0.0006028395859625247,0.19999999999999984
2008-08-22,0.0454315273533356,0.14476584502791867,0.22223213658096197,0.312648797932225,0.07431885351959634,0.0006028395859625247,0.19999999999999984
2008-08-29,0.04715296613326663,0.14447469536840957,0.2299715039848801,0.3102901158391327,0.06774901492273358,0.00036170375157751474,0.19999999999999996
2008-09-05,0.04715296613326663,0.14447469536840957,0.2299715039848801,0.3102901158391327,0.06774901492273358,0.00036170375157751474,0.19999999999999996
2008-09-12,0.04715296613326663,0.14447469536840957,0.2299715039848801,0.3102901158391327,0.06774901492273358,0.00036170375157751474,0.19999999999999996
2008-09-19,0.04715296613326663,0.14447469536840957,0.2299715039848801,0.3102901158391327,0.06774901492273358,0.00036170375157751474,0.19999999999999996
2008-09-26,0.023608142842304915,0.07008371500910647,0.11405090515801614,0.15943919357439595,0.0327095322907033,0.00010851112547325443,0.6
2008-10-03,0.023608142842304915,0.07008371500910647,0.11405090515801614,0.15943919357439595,0.0327095322907033,0.00010851112547325443,0.6
2008-10-10,0.023608142842304915,0.07008371500910647,0.11405090515801614,0.15943919357439595,0.0327095322907033,0.00010851112547325443,0.6
2008-10-17,0.023608142842304915,0.07008371500910647,0.11405090515801614,0.15943919357439595,0.0327095322907033,0.00010851112547325443,0.6
2008-10-24,0.023608142842304915,0.07008371500910647,0.11405090515801614,0.15943919357439595,0.0327095322907033,0.00010851112547325443,0.6
2008-10-31,0.025556398215913448,0.0587197534678533,0.1092481587643398,0.16604055550577934,0.04037002737083019,6.510667528395265e-05,0.6
2008-11-07,0.025556398215913448,0.0587197534678533,0.1092481587643398,0.16604055550577934,0.04037002737083019,6.510667528395265e-05,0.6
2008-11-14,0.025556398215913448,0.0587197534678533,0.1092481587643398,0.16604055550577934,0.04037002737083019,6.510667528395265e-05,0.6
2008-11-21,0.025556398215913448,0.0587197534678533,0.1092481587643398,0.16604055550577934,0.04037002737083019,6.510667528395265e-05,0.6
2008-11-28,0.026436028727944656,0.05118660806500436,0.10757018151167382,0.1716243333034676,0.043143784386739215,3.906400517037158e-05,0.6
2008-12-05,0.026436028727944656,0.05118660806500436,0.10757018151167382,0.1716243333034676,0.043143784386739215,3.906400517037158e-05,0.6
2008-12-12,0.026436028727944656,0.05118660806500436,0.10757018151167382,0.1716243333034676,0.043143784386739215,3.906400517037158e-05,0.6
2008-12-19,0.026436028727944656,0.05118660806500436,0.10757018151167382,0.1716243333034676,0.043143784386739215,3.906400517037158e-05,0.6
2008-12-26,0.03730146481464052,0.046664602453469275,0.1043012357064931,0.17497459998208056,0.03673465864021435,2.343840310222295e-05,0.6
2009-01-02,0.03730146481464052,0.046664602453469275,0.1043012357064931,0.17497459998208056,0.03673465864021435,2.343840310222295e-05,0.6
2009-01-09,0.03730146481464052,0.046664602453469275,0.1043012357064931,0.17497459998208056,0.03673465864021435,2.343840310222295e-05,0.6
2009-01-16,0.03730146481464052,0.046664602453469275,0.1043012357064931,0.17497459998208056,0.03673465864021435,2.343840310222295e-05,0.6
2009-01-23,0.03730146481464052,0.046664602453469275,0.1043012357064931,0.17497459998208056,0.03673465864021435,2.343840310222295e-05,0.6
2009-01-30,0.04417697153400052,0.04383422175235923,0.10251074235808773,0.17698475998924834,0.03247924132444287,1.406304186133377e-05,0.6
2009-02-06,0.04417697153400052,0.04383422175235923,0.10251074235808773,0.17698475998924834,0.03247924132444287,1.406304186133377e-05,0.6
2009-02-13,0.04417697153400052,0.04383422175235923,0.10251074235808773,0.17698475998924834,0.03247924132444287,1.406304186133377e-05,0.6
