,dual_momentum_topn,cta_trend_long_only,composite_equal_weight,composite_regime_conditioned,taa_10m_sma,composite_breadth_filtered,cash::BIL
2019-02-08,0.046042129845616515,0.031115083163005028,0.0520874614714437,0.05959157918573244,0.05055346122317958,0.060610285111022726,0.7
2019-02-15,0.046042129845616515,0.031115083163005028,0.0520874614714437,0.05959157918573244,0.05055346122317958,0.060610285111022726,0.7
2019-02-22,0.0738727037338367,0.050103170795362466,0.0836673840086262,0.09577490395824317,0.08121473321154313,0.09735189376083458,0.5180152105315536
2019-03-01,0.0738727037338367,0.050103170795362466,0.0836673840086262,0.09577490395824317,0.08121473321154313,0.09735189376083458,0.5180152105315536
2019-03-08,0.0738727037338367,0.050103170795362466,0.0836673840086262,0.09577490395824317,0.08121473321154313,0.09735189376083458,0.5180152105315536
2019-03-15,0.0738727037338367,0.050103170795362466,0.0836673840086262,0.09577490395824317,0.08121473321154313,0.09735189376083458,0.5180152105315536
2019-03-22,0.0738727037338367,0.050103170795362466,0.0836673840086262,0.09577490395824317,0.08121473321154313,0.09735189376083458,0.5180152105315536
2019-03-29,0.09948581035995754,0.0677228478357818,0.1128150337243213,0.1292046190218876,0.10951993930290524,0.13125174975514659,0.34999999999999987
2019-04-05,0.09948581035995754,0.0677228478357818,0.1128150337243213,0.1292046190218876,0.10951993930290524,0.13125174975514659,0.34999999999999987
2019-04-12,0.09948581035995754,0.0677228478357818,0.1128150337243213,0.1292046190218876,0.10951993930290524,0.13125174975514659,0.34999999999999987
2019-04-19,0.09948581035995754,0.0677228478357818,0.1128150337243213,0.1292046190218876,0.10951993930290524,0.13125174975514659,0.34999999999999987
2019-04-26,0.09935286782704131,0.06787212057312311,0.11279536832463291,0.1292558569553422,0.10951365981603554,0.13121012650382496,0.3500000000000001
2019-05-03,0.09935286782704131,0.06787212057312311,0.11279536832463291,0.1292558569553422,0.10951365981603554,0.13121012650382496,0.3500000000000001
2019-05-10,0.09935286782704131,0.06787212057312311,0.11279536832463291,0.1292558569553422,0.10951365981603554,0.13121012650382496,0.3500000000000001
2019-05-17,0.09935286782704131,0.06787212057312311,0.11279536832463291,0.1292558569553422,0.10951365981603554,0.13121012650382496,0.3500000000000001
2019-05-24,0.09935286782704131,0.06787212057312311,0.11279536832463291,0.1292558569553422,0.10951365981603554,0.13121012650382496,0.3500000000000001
2019-05-31,0.0992223750101412,0.06801723966686593,0.11278099043244698,0.12931410369908058,0.10950096402111643,0.13116432717034887,0.35
2019-06-07,0.0992223750101412,0.06801723966686593,0.11278099043244698,0.12931410369908058,0.10950096402111643,0.13116432717034887,0.35
2019-06-14,0.0992223750101412,0.06801723966686593,0.11278099043244698,0.12931410369908058,0.10950096402111643,0.13116432717034887,0.35
2019-06-21,0.0992223750101412,0.06801723966686593,0.11278099043244698,0.12931410369908058,0.10950096402111643,0.13116432717034887,0.35
2019-06-28,0.09909873619528364,0.06815250435753345,0.11277540517914558,0.12937532705331514,0.10949301499918275,0.13110501221553944,0.3500000000000001
2019-07-05,0.09909873619528364,0.06815250435753345,0.11277540517914558,0.12937532705331514,0.10949301499918275,0.13110501221553944,0.3500000000000001
