,dual_momentum_topn,cta_trend_long_only,composite_equal_weight,composite_regime_conditioned,taa_10m_sma,composite_breadth_filtered,cash::BIL
2013-01-04,0.20113132689543914,0.020699534379442754,0.3661067889631923,0.23333265895767838,0.00015938421620125844,0.17334612524877419,0.005224181339271938
2013-01-11,0.20113132689543914,0.020699534379442754,0.3661067889631923,0.23333265895767838,0.00015938421620125844,0.17334612524877419,0.005224181339271938
2013-01-18,0.20113132689543914,0.020699534379442754,0.3661067889631923,0.23333265895767838,0.00015938421620125844,0.17334612524877419,0.005224181339271938
2013-01-25,0.1341366710376475,0.010395476176088506,0.3173053038652252,0.20872742501778474,7.964366012299817e-05,0.15783135956047234,0.17152412068265865
2013-02-01,0.1341366710376475,0.010395476176088506,0.3173053038652252,0.20872742501778474,7.964366012299817e-05,0.15783135956047234,0.17152412068265865
2013-02-08,0.1341366710376475,0.010395476176088506,0.3173053038652252,0.20872742501778474,7.964366012299817e-05,0.15783135956047234,0.17152412068265865
2013-02-15,0.1341366710376475,0.010395476176088506,0.3173053038652252,0.20872742501778474,7.964366012299817e-05,0.15783135956047234,0.17152412068265865
2013-02-22,0.12687873814409684,0.00951840722216023,0.4097993062586319,0.22354020712718448,0.0022076023236644064,0.22805573892426212,0.0
2013-03-01,0.12687873814409684,0.00951840722216023,0.4097993062586319,0.22354020712718448,0.0022076023236644064,0.22805573892426212,0.0
2013-03-08,0.12687873814409684,0.00951840722216023,0.4097993062586319,0.22354020712718448,0.0022076023236644064,0.22805573892426212,0.0
2013-03-15,0.12687873814409684,0.00951840722216023,0.4097993062586319,0.22354020712718448,0.0022076023236644064,0.22805573892426212,0.0
2013-03-22,0.12687873814409684,0.00951840722216023,0.4097993062586319,0.22354020712718448,0.0022076023236644064,0.22805573892426212,0.0
2013-03-29,0.12828616164912188,0.005711044333296139,0.4258795837551792,0.1738196681390341,0.01241627291312603,0.2538872692102426,0.0
2013-04-05,0.12828616164912188,0.005711044333296139,0.4258795837551792,0.1738196681390341,0.01241627291312603,0.2538872692102426,0.0
2013-04-12,0.12828616164912188,0.005711044333296139,0.4258795837551792,0.1738196681390341,0.01241627291312603,0.2538872692102426,0.0
2013-04-19,0.12828616164912188,0.005711044333296139,0.4258795837551792,0.1738196681390341,0.01241627291312603,0.2538872692102426,0.0
2013-04-26,0.0725533971604263,0.01720883684294631,0.2830930376645199,0.09680512867425166,0.004842346436119153,0.1754972532217367,0.35
2013-05-03,0.0725533971604263,0.01720883684294631,0.2830930376645199,0.09680512867425166,0.004842346436119153,0.1754972532217367,0.35
2013-05-10,0.0725533971604263,0.01720883684294631,0.2830930376645199,0.09680512867425166,0.004842346436119153,0.1754972532217367,0.35
2013-05-17,0.0725533971604263,0.01720883684294631,0.2830930376645199,0.09680512867425166,0.004842346436119153,0.1754972532217367,0.35
2013-05-24,0.0725533971604263,0.01720883684294631,0.2830930376645199,0.09680512867425166,0.004842346436119153,0.1754972532217367,0.35
2013-05-31,0.09815226222452557,0.05357978964154128,0.4413166501518645,0.10886764481281072,0.004469858248725372,0.2936137949205325,0.0
2013-06-07,0.09815226222452557,0.05357978964154128,0.4413166501518645,0.10886764481281072,0.004469858248725372,0.2936137949205325,0.0
2013-06-14,0.09815226222452557,0.05357978964154128,0.4413166501518645,0.10886764481281072,0.004469858248725372,0.2936137949205325,0.0
2013-06-21,0.09815226222452557,0.05357978964154128,0.4413166501518645,0.10886764481281072,0.004469858248725372,0.2936137949205325,0.0
2013-06-28,0.06395767720984169,0.033467593657450424,0.2891134935592272,0.042458381476996175,0.01547047261342025,0.2055323814830643,0.34999999999999987
2013-07-05,0.06395767720984169,0.033467593657450424,0.2891134935592272,0.042458381476996175,0.01547047261342025,0.2055323814830643,0.34999999999999987
2013-07-12,0.06395767720984169,0.033467593657450424,0.2891134935592272,0.042458381476996175,0.01547047261342025,0.2055323814830643,0.34999999999999987
2013-07-19,0.06395767720984169,0.033467593657450424,0.2891134935592272,0.042458381476996175,0.01547047261342025,0.2055323814830643,0.34999999999999987
2013-07-26,0.07139921794781717,0.056129663283948354,0.2681675632008663,0.05964409181272339,0.009282283568052153,0.18537718018659263,0.35
2013-08-02,0.07139921794781717,0.056129663283948354,0.2681675632008663,0.05964409181272339,0.009282283568052153,0.18537718018659263,0.35
2013-08-09,0.07139921794781717,0.056129663283948354,0.2681675632008663,0.05964409181272339,0.009282283568052153,0.18537718018659263,0.35
2013-08-16,0.07139921794781717,0.056129663283948354,0.2681675632008663,0.05964409181272339,0.009282283568052153,0.18537718018659263,0.35
2013-08-23,0.07139921794781717,0.056129663283948354,0.2681675632008663,0.05964409181272339,0.009282283568052153,0.18537718018659263,0.35
2013-08-30,0.059343523976520644,0.08121632952266947,0.24722464671933325,0.08395777835602437,0.013038651458600043,0.16521906996685226,0.34999999999999987
2013-09-06,0.059343523976520644,0.08121632952266947,0.24722464671933325,0.08395777835602437,0.013038651458600043,0.16521906996685226,0.34999999999999987
2013-09-13,0.059343523976520644,0.08121632952266947,0.24722464671933325,0.08395777835602437,0.013038651458600043,0.16521906996685226,0.34999999999999987
2013-09-20,0.059343523976520644,0.08121632952266947,0.24722464671933325,0.08395777835602437,0.013038651458600043,0.16521906996685226,0.34999999999999987
2013-09-27,0.05036607697044917,0.08309445020002178,0.24427670615279354,0.10139829252873186,0.007823190875160027,0.1630412832728437,0.34999999999999987
2013-10-04,0.05036607697044917,0.08309445020002178,0.24427670615279354,0.10139829252873186,0.007823190875160027,0.1630412832728437,0.34999999999999987
