,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2012-02-24,0.07651824688452387,0.11461723822594735,0.19195916918218064,0.2426936486094248,0.10156291913068244,0.22722276468665675,0.045426013280584154
2012-03-02,0.07651824688452387,0.11461723822594735,0.19195916918218064,0.2426936486094248,0.10156291913068244,0.22722276468665675,0.045426013280584154
2012-03-09,0.07651824688452387,0.11461723822594735,0.19195916918218064,0.2426936486094248,0.10156291913068244,0.22722276468665675,0.045426013280584154
2012-03-16,0.07651824688452387,0.11461723822594735,0.19195916918218064,0.2426936486094248,0.10156291913068244,0.22722276468665675,0.045426013280584154
2012-03-23,0.07651824688452387,0.11461723822594735,0.19195916918218064,0.2426936486094248,0.10156291913068244,0.22722276468665675,0.045426013280584154
2012-03-30,0.0796738699254515,0.11848047255683267,0.24471668112361714,0.19713289300888906,0.10647226576803963,0.22933815737751773,0.024185660239652296
2012-04-06,0.0796738699254515,0.11848047255683267,0.24471668112361714,0.19713289300888906,0.10647226576803963,0.22933815737751773,0.024185660239652296
2012-04-13,0.0796738699254515,0.11848047255683267,0.24471668112361714,0.19713289300888906,0.10647226576803963,0.22933815737751773,0.024185660239652296
2012-04-20,0.0796738699254515,0.11848047255683267,0.24471668112361714,0.19713289300888906,0.10647226576803963,0.22933815737751773,0.024185660239652296
2012-04-27,0.07675594187045363,0.12493354270799874,0.22453224268242533,0.21780667065899836,0.10987547455381462,0.22272879570039425,0.023367331825914994
2012-05-04,0.07675594187045363,0.12493354270799874,0.22453224268242533,0.21780667065899836,0.10987547455381462,0.22272879570039425,0.023367331825914994
2012-05-11,0.07675594187045363,0.12493354270799874,0.22453224268242533,0.21780667065899836,0.10987547455381462,0.22272879570039425,0.023367331825914994
2012-05-18,0.07675594187045363,0.12493354270799874,0.22453224268242533,0.21780667065899836,0.10987547455381462,0.22272879570039425,0.023367331825914994
2012-05-25,0.06499285015832411,0.09764233744636934,0.17405616397767415,0.1946847659409399,0.0946039105647703,0.18716225598962347,0.18685771592229872
2012-06-01,0.06499285015832411,0.09764233744636934,0.17405616397767415,0.1946847659409399,0.0946039105647703,0.18716225598962347,0.18685771592229872
2012-06-08,0.06499285015832411,0.09764233744636934,0.17405616397767415,0.1946847659409399,0.0946039105647703,0.18716225598962347,0.18685771592229872
2012-06-15,0.06499285015832411,0.09764233744636934,0.17405616397767415,0.1946847659409399,0.0946039105647703,0.18716225598962347,0.18685771592229872
2012-06-22,0.06499285015832411,0.09764233744636934,0.17405616397767415,0.1946847659409399,0.0946039105647703,0.18716225598962347,0.18685771592229872
2012-06-29,0.08174845479466353,0.10660791830151982,0.20691326628385176,0.2473927270672848,0.10884022818593851,0.20328072421329627,0.04521668115344535
2012-07-06,0.08174845479466353,0.10660791830151982,0.20691326628385176,0.2473927270672848,0.10884022818593851,0.20328072421329627,0.04521668115344535
2012-07-13,0.08174845479466353,0.10660791830151982,0.20691326628385176,0.2473927270672848,0.10884022818593851,0.20328072421329627,0.04521668115344535
2012-07-20,0.08174845479466353,0.10660791830151982,0.20691326628385176,0.2473927270672848,0.10884022818593851,0.20328072421329627,0.04521668115344535
