,dual_momentum_topn,cta_trend_long_only,composite_trend_quality_module,composite_regime_conditioned,taa_10m_sma,cash::BIL
2009-08-28,0.11601397599848202,0.12389751844956065,0.17309258277990214,0.41498041508261924,0.12745599405418104,0.0445595136352549
2009-09-04,0.11601397599848202,0.12389751844956065,0.17309258277990214,0.41498041508261924,0.12745599405418104,0.0445595136352549
2009-09-11,0.11601397599848202,0.12389751844956065,0.17309258277990214,0.41498041508261924,0.12745599405418104,0.0445595136352549
2009-09-18,0.11601397599848202,0.12389751844956065,0.17309258277990214,0.41498041508261924,0.12745599405418104,0.0445595136352549
2009-09-25,0.11642621056588444,0.11632251104178128,0.18494182867131748,0.45,0.13230944972101683,0.0
2009-10-02,0.11642621056588444,0.11632251104178128,0.18494182867131748,0.45,0.13230944972101683,0.0
2009-10-09,0.11642621056588444,0.11632251104178128,0.18494182867131748,0.45,0.13230944972101683,0.0
2009-10-16,0.11642621056588444,0.11632251104178128,0.18494182867131748,0.45,0.13230944972101683,0.0
2009-10-23,0.11642621056588444,0.11632251104178128,0.18494182867131748,0.45,0.13230944972101683,0.0
2009-10-30,0.2146891418801537,0.09174932781360114,0.18397559686554057,0.45,0.0595859334407046,0.0
2009-11-06,0.2146891418801537,0.09174932781360114,0.18397559686554057,0.45,0.0595859334407046,0.0
2009-11-13,0.2146891418801537,0.09174932781360114,0.18397559686554057,0.45,0.0595859334407046,0.0
2009-11-20,0.2146891418801537,0.09174932781360114,0.18397559686554057,0.45,0.0595859334407046,0.0
2009-11-27,0.23502610466877524,0.09035878303648712,0.16532907740243952,0.44999999999999996,0.05928603489229822,0.0
2009-12-04,0.23502610466877524,0.09035878303648712,0.16532907740243952,0.44999999999999996,0.05928603489229822,0.0
2009-12-11,0.23502610466877524,0.09035878303648712,0.16532907740243952,0.44999999999999996,0.05928603489229822,0.0
2009-12-18,0.23502610466877524,0.09035878303648712,0.16532907740243952,0.44999999999999996,0.05928603489229822,0.0
2009-12-25,0.23498741866095793,0.0903529856480553,0.16567647655801981,0.45,0.058983119132966944,0.0
2010-01-01,0.23498741866095793,0.0903529856480553,0.16567647655801981,0.45,0.058983119132966944,0.0
2010-01-08,0.23498741866095793,0.0903529856480553,0.16567647655801981,0.45,0.058983119132966944,0.0
2010-01-15,0.23498741866095793,0.0903529856480553,0.16567647655801981,0.45,0.058983119132966944,0.0
2010-01-22,0.23498741866095793,0.0903529856480553,0.16567647655801981,0.45,0.058983119132966944,0.0
2010-01-29,0.23720873382458835,0.09001987834383741,0.15901986255939218,0.45,0.06375152527218203,0.0
2010-02-05,0.23720873382458835,0.09001987834383741,0.15901986255939218,0.45,0.06375152527218203,0.0
2010-02-12,0.23720873382458835,0.09001987834383741,0.15901986255939218,0.45,0.06375152527218203,0.0
2010-02-19,0.23720873382458835,0.09001987834383741,0.15901986255939218,0.45,0.06375152527218203,0.0
2010-02-26,0.23554841656014291,0.08851047729718782,0.16811903724330532,0.44999999999999996,0.057822068899364,0.0
2010-03-05,0.23554841656014291,0.08851047729718782,0.16811903724330532,0.44999999999999996,0.057822068899364,0.0
2010-03-12,0.23554841656014291,0.08851047729718782,0.16811903724330532,0.44999999999999996,0.057822068899364,0.0
2010-03-19,0.23554841656014291,0.08851047729718782,0.16811903724330532,0.44999999999999996,0.057822068899364,0.0
2010-03-26,0.24095548858831145,0.09034281661331638,0.18212958062844523,0.4250738293824913,0.06149828478743571,0.0
2010-04-02,0.24095548858831145,0.09034281661331638,0.18212958062844523,0.4250738293824913,0.06149828478743571,0.0
2010-04-09,0.24095548858831145,0.09034281661331638,0.18212958062844523,0.4250738293824913,0.06149828478743571,0.0
2010-04-16,0.24095548858831145,0.09034281661331638,0.18212958062844523,0.4250738293824913,0.06149828478743571,0.0
2010-04-23,0.24095548858831145,0.09034281661331638,0.18212958062844523,0.4250738293824913,0.06149828478743571,0.0
2010-04-30,0.20755467620367682,0.11453115651922266,0.1579519157520056,0.45,0.06996225152509494,0.0
