version_name,market_state,strong_neutral,bil_weight,overlay_cash_weight,sleeve_bil_weight,sleeve_internal_bil_weight,self_gated_internal_bil_weight,self_gated_overlay_cut_total,self_gated_overlay_cut_risky,non_self_gated_overlay_cut_total,non_self_gated_overlay_cut_risky,regime_multiplier,target_vol_multiplier,gross_multiplier
improved_phasefff_robust_composite_offense,recovery_fragile,0.0,0.1826170219583442,0.12797271912250258,0.05464430283584162,0.053762695310365274,0.02826274791232621,0.0027019758551342496,0.0023852851110356755,0.0053266117909124755,0.005151412031307613,0.9694264302424679,0.9922945263167914,0.9718999432388366
improved_phasefff_robust_composite_offense,stressed_panic,0.0,0.5493610787821309,0.5092306855126216,0.04013039326950931,0.037938975297390994,0.01290684821927676,0.047651869472655026,0.04264246831864995,0.07636559777625328,0.06951236478791614,0.43200000000000005,0.9919539576283224,0.43200000000000005
improved_phaseggg_confirmed_only_robust_offense,calm_trend,0.0,0.11033000592010064,0.036323917899759764,0.0740060880203409,0.05917352815677927,0.0004932914502355006,0.00014758869678630615,0.00014758869678630615,0.00017546744290730613,9.110942833559373e-05,1.0,0.9985560369513695,0.9985560369513695
improved_phaseggg_confirmed_only_robust_offense,neutral_mixed,0.0,0.36207936697286736,0.33245470225017676,0.029624664722690593,0.02422993901029699,0.005326649152797314,0.013695806647854525,0.01351799465175365,0.021744100960115448,0.020641039677621417,0.8228004619601501,0.9971013716602369,0.8228004619601501
improved_phaseggg_confirmed_only_robust_offense,neutral_mixed,1.0,0.1909197017983577,0.1577873121472052,0.033132389651152526,0.029399602909092798,0.0009261823544031308,0.0033943932057678814,0.003386701129914931,0.005964343002704928,0.005620665788127663,0.9494468340601415,0.9909757377846896,0.951892812121359
improved_phaseggg_confirmed_only_robust_offense,recovery_confirmed,0.0,0.11360749736642434,0.08427027380857778,0.029337223557846574,0.01851978911022556,0.0,0.007117288042806333,0.007117288042806333,0.015608436752124212,0.015274615042847661,0.9238966069851,0.9603312361178978,0.916672342418588
improved_phaseggg_confirmed_only_robust_offense,recovery_fragile,0.0,0.1699294317246959,0.1302004674878693,0.03972896423682662,0.03827591742145282,0.023184700908513545,0.003151519952529637,0.002830915279147885,0.005640704187745498,0.005520056617441919,0.9694264302424679,0.9893058801877855,0.9692272155090371
improved_phaseggg_confirmed_only_robust_offense,stressed_panic,0.0,0.531336116492115,0.509234856569476,0.022101259922638897,0.02019073698696088,0.01312728910165582,0.048434621871283445,0.04328181928231034,0.07558284537762486,0.07411484493109687,0.43200000000000005,0.9897144064530758,0.43200000000000005
improved_phasehhh_confirmed_quality_stressed_robust_offense,calm_trend,0.0,0.10862909009602129,0.03589931245434554,0.07272977764167572,0.05917055487094317,0.0005538281448688879,0.00011256023836551585,0.00011256023836551585,0.0001360195082558862,7.175538393696197e-05,1.0,0.9988889238597983,0.9988889238597983
improved_phasehhh_confirmed_quality_stressed_robust_offense,neutral_mixed,0.0,0.3627028543862923,0.33228424010116975,0.030418614285122592,0.025351415864569685,0.005697097256583218,0.01330366385509283,0.013112285939372281,0.02213624375287714,0.020956593520798403,0.8228004619601501,0.9971832561332503,0.8228004619601501
improved_phasehhh_confirmed_quality_stressed_robust_offense,neutral_mixed,1.0,0.1912270831955221,0.15716975320415938,0.034057329991362725,0.03096766708798969,0.001213824204377349,0.003349521554482974,0.003340885507582513,0.005869136601227646,0.005518061784215742,0.9494468340601415,0.9916652122068786,0.9526128624627507
improved_phasehhh_confirmed_quality_stressed_robust_offense,recovery_confirmed,0.0,0.10871008177253821,0.08137527841810278,0.027334803354435434,0.018424013945544316,0.0,0.006798132080297025,0.006798132080297025,0.015083947176379332,0.014750029927273412,0.9238966069851,0.9634261067951889,0.9197657093921867
improved_phasehhh_confirmed_quality_stressed_robust_offense,recovery_fragile,0.0,0.18038760472792878,0.12834795966250145,0.052039645065427347,0.050679118959537535,0.029547344248521866,0.002794724896771391,0.0024501894908588733,0.005351483740762112,0.005193018457125303,0.9694264302424679,0.991875193610105,0.9714882697686328
improved_phasehhh_confirmed_quality_stressed_robust_offense,stressed_panic,0.0,0.5501789413860699,0.5092303718370387,0.04094856954903124,0.03932141815742334,0.013399724479775015,0.048304879772605676,0.043132085492768,0.07571258747630262,0.06872829471690298,0.43200000000000005,0.9913534323384252,0.43200000000000005
improved_phasehhh_confirmed_robust_stressed_blended_offense,calm_trend,0.0,0.10986514089344215,0.03631943835198654,0.0735457025414556,0.05913473392971937,0.0004594723658966297,0.0001472004593636905,0.0001472004593636905,0.0001750961023308503,9.098345838288903e-05,1.0,0.9985594320348502,0.9985594320348502
improved_phasehhh_confirmed_robust_stressed_blended_offense,neutral_mixed,0.0,0.3615057193834171,0.3324710123454465,0.02903470703797054,0.023739525008194543,0.0048680949050111735,0.01365666946718223,0.013480873300089024,0.021783238140787742,0.020681919073918937,0.8228004619601501,0.9970215785955681,0.8228004619601501
improved_phasehhh_confirmed_robust_stressed_blended_offense,neutral_mixed,1.0,0.19055280589743337,0.15775182384906228,0.03280098204837109,0.02931746600395234,0.0008718738413561435,0.0034168544744277124,0.0034096897520528887,0.005932899998993804,0.005589532553076816,0.9494468340601415,0.9909930737559866,0.9519389813910087
improved_phasehhh_confirmed_robust_stressed_blended_offense,recovery_confirmed,0.0,0.11349853278547473,0.08420089844131927,0.029297634344155464,0.018511881718848003,0.0,0.007114682755497273,0.007114682755497273,0.015593752873612293,0.015259959841299997,0.9238966069851,0.9603890604863184,0.9167357360265983
improved_phasehhh_confirmed_robust_stressed_blended_offense,recovery_fragile,0.0,0.1696389482541826,0.13044680909095338,0.03919213916322922,0.03663731089932694,0.02219480236462429,0.003039981886474805,0.002734241496260737,0.005831080971040008,0.005710457859060189,0.9694264302424679,0.989050836049944,0.9689512799986982
improved_phasehhh_confirmed_robust_stressed_blended_offense,stressed_panic,0.0,0.5302649608972608,0.5092324179775604,0.02103254291970038,0.01912807413779784,0.012108868185832088,0.04831140936929959,0.04363036528019817,0.07570605787960871,0.0743055111421382,0.43200000000000005,0.988591594523688,0.43200000000000005
improved_phasehhh_confirmed_stressed_robust_offense,calm_trend,0.0,0.10862161256457888,0.03590839074708361,0.07271322181749526,0.05916281032602038,0.0005537762985080638,0.00011352812908818075,0.00011352812908818075,0.00013714223021612758,7.234284285769062e-05,1.0,0.9988795794546248,0.9988795794546248
improved_phasehhh_confirmed_stressed_robust_offense,neutral_mixed,0.0,0.36269983817817847,0.3322846105668038,0.030415227611374607,0.025351656085211827,0.005697577787706954,0.013303790818192796,0.013112402834617558,0.02213611678977718,0.02095646655769844,0.8228004619601501,0.9971768082698789,0.8228004619601501
improved_phasehhh_confirmed_stressed_robust_offense,neutral_mixed,1.0,0.1912245722743311,0.15716947233720022,0.034055099937130864,0.0309667589746841,0.0012140010411176973,0.0033496240092450655,0.003340988770804066,0.005869167462941506,0.0055180881638263995,0.9494468340601415,0.9916629996707013,0.9526121771692866
improved_phasehhh_confirmed_stressed_robust_offense,recovery_confirmed,0.0,0.10870842630142734,0.0813736229469919,0.02733480335443543,0.018424013945544316,0.0,0.006797661965448123,0.006797661965448123,0.015082761820116902,0.014748844571010982,0.9238966069851,0.9634321768559307,0.9197717794529283
improved_phasehhh_confirmed_stressed_robust_offense,recovery_fragile,0.0,0.18039188869169925,0.1283524922203289,0.05203939647137033,0.05068286704868419,0.029551092337610285,0.0027954785600573595,0.002450678451545778,0.005352240930085385,0.005193775646448576,0.9694264302424679,0.9918698517510035,0.9714829817845005
