,dual_momentum_topn,cta_trend_long_only,composite_trend_quality_refined,composite_regime_conditioned,taa_10m_sma,cash::BIL
2024-03-29,0.22276257513294737,0.07343379346188633,0.08205257763707459,0.44706555764760764,0.17468549612048412,0.0
2024-04-05,0.22276257513294737,0.07343379346188633,0.08205257763707459,0.44706555764760764,0.17468549612048412,0.0
2024-04-12,0.22276257513294737,0.07343379346188633,0.08205257763707459,0.44706555764760764,0.17468549612048412,0.0
2024-04-19,0.22276257513294737,0.07343379346188633,0.08205257763707459,0.44706555764760764,0.17468549612048412,0.0
2024-04-26,0.20893826601799656,0.0723804160298657,0.0830842338267835,0.4305262255577741,0.16900108763105115,0.03606977093652908
2024-05-03,0.20893826601799656,0.0723804160298657,0.0830842338267835,0.4305262255577741,0.16900108763105115,0.03606977093652908
2024-05-10,0.20893826601799656,0.0723804160298657,0.0830842338267835,0.4305262255577741,0.16900108763105115,0.03606977093652908
2024-05-17,0.20893826601799656,0.0723804160298657,0.0830842338267835,0.4305262255577741,0.16900108763105115,0.03606977093652908
2024-05-24,0.20893826601799656,0.0723804160298657,0.0830842338267835,0.4305262255577741,0.16900108763105115,0.03606977093652908
2024-05-31,0.20693382312123593,0.07700535454518925,0.09382255593817847,0.45,0.17223826639539627,0.0
2024-06-07,0.20693382312123593,0.07700535454518925,0.09382255593817847,0.45,0.17223826639539627,0.0
2024-06-14,0.20693382312123593,0.07700535454518925,0.09382255593817847,0.45,0.17223826639539627,0.0
2024-06-21,0.20693382312123593,0.07700535454518925,0.09382255593817847,0.45,0.17223826639539627,0.0
2024-06-28,0.18620519950112627,0.08369203932448713,0.09507580034193729,0.45,0.18502696083244924,0.0
2024-07-05,0.18620519950112627,0.08369203932448713,0.09507580034193729,0.45,0.18502696083244924,0.0
2024-07-12,0.18620519950112627,0.08369203932448713,0.09507580034193729,0.45,0.18502696083244924,0.0
2024-07-19,0.18620519950112627,0.08369203932448713,0.09507580034193729,0.45,0.18502696083244924,0.0
2024-07-26,0.20966073460437976,0.07327602905752027,0.07939782584957066,0.4421858176625861,0.19547959282594324,0.0
2024-08-02,0.20966073460437976,0.07327602905752027,0.07939782584957066,0.4421858176625861,0.19547959282594324,0.0
2024-08-09,0.20966073460437976,0.07327602905752027,0.07939782584957066,0.4421858176625861,0.19547959282594324,0.0
2024-08-16,0.20966073460437976,0.07327602905752027,0.07939782584957066,0.4421858176625861,0.19547959282594324,0.0
2024-08-23,0.20966073460437976,0.07327602905752027,0.07939782584957066,0.4421858176625861,0.19547959282594324,0.0
2024-08-30,0.19898771044296917,0.07029431942856883,0.0767657806938528,0.42625547801454,0.18871129118978358,0.03898542023028562
2024-09-06,0.19898771044296917,0.07029431942856883,0.0767657806938528,0.42625547801454,0.18871129118978358,0.03898542023028562
2024-09-13,0.19898771044296917,0.07029431942856883,0.0767657806938528,0.42625547801454,0.18871129118978358,0.03898542023028562
2024-09-20,0.19898771044296917,0.07029431942856883,0.0767657806938528,0.42625547801454,0.18871129118978358,0.03898542023028562
2024-09-27,0.1972955529449322,0.07037896464080813,0.0766206092971824,0.42733284647283637,0.18998502571523973,0.03838700092900105
2024-10-04,0.1972955529449322,0.07037896464080813,0.0766206092971824,0.42733284647283637,0.18998502571523973,0.03838700092900105
2024-10-11,0.1972955529449322,0.07037896464080813,0.0766206092971824,0.42733284647283637,0.18998502571523973,0.03838700092900105
2024-10-18,0.1972955529449322,0.07037896464080813,0.0766206092971824,0.42733284647283637,0.18998502571523973,0.03838700092900105
2024-10-25,0.20437421374207415,0.07021920381413463,0.0762880809988985,0.4244513240202654,0.18607839768893908,0.038588779735688195
2024-11-01,0.20437421374207415,0.07021920381413463,0.0762880809988985,0.4244513240202654,0.18607839768893908,0.038588779735688195
2024-11-08,0.20437421374207415,0.07021920381413463,0.0762880809988985,0.4244513240202654,0.18607839768893908,0.038588779735688195
2024-11-15,0.20437421374207415,0.07021920381413463,0.0762880809988985,0.4244513240202654,0.18607839768893908,0.038588779735688195
2024-11-22,0.20437421374207415,0.07021920381413463,0.0762880809988985,0.4244513240202654,0.18607839768893908,0.038588779735688195
2024-11-29,0.1969576893783315,0.07080851733071704,0.07880094619297948,0.4253191916136733,0.1880169311749329,0.04009672430936573
2024-12-06,0.1969576893783315,0.07080851733071704,0.07880094619297948,0.4253191916136733,0.1880169311749329,0.04009672430936573
2024-12-13,0.1969576893783315,0.07080851733071704,0.07880094619297948,0.4253191916136733,0.1880169311749329,0.04009672430936573
2024-12-20,0.1969576893783315,0.07080851733071704,0.07880094619297948,0.4253191916136733,0.1880169311749329,0.04009672430936573
2024-12-27,0.19539079842896712,0.07244451002845494,0.08400421145529349,0.4279173148934951,0.18353835328015078,0.0367048119136385
2025-01-03,0.19539079842896712,0.07244451002845494,0.08400421145529349,0.4279173148934951,0.18353835328015078,0.0367048119136385
2025-01-10,0.19539079842896712,0.07244451002845494,0.08400421145529349,0.4279173148934951,0.18353835328015078,0.0367048119136385
2025-01-17,0.19539079842896712,0.07244451002845494,0.08400421145529349,0.4279173148934951,0.18353835328015078,0.0367048119136385
2025-01-24,0.19539079842896712,0.07244451002845494,0.08400421145529349,0.4279173148934951,0.18353835328015078,0.0367048119136385
2025-01-31,0.19537732580501635,0.07783304630936115,0.08810334261840123,0.4270509258805117,0.17177889045158787,0.039856468935121625
2025-02-07,0.19537732580501635,0.07783304630936115,0.08810334261840123,0.4270509258805117,0.17177889045158787,0.039856468935121625
2025-02-14,0.19537732580501635,0.07783304630936115,0.08810334261840123,0.4270509258805117,0.17177889045158787,0.039856468935121625
2025-02-21,0.19537732580501635,0.07783304630936115,0.08810334261840123,0.4270509258805117,0.17177889045158787,0.039856468935121625
2025-02-28,0.19635093810628174,0.07461258870607011,0.08768296067926222,0.4260308032763102,0.17280039444863393,0.04252231478344182
2025-03-07,0.19635093810628174,0.07461258870607011,0.08768296067926222,0.4260308032763102,0.17280039444863393,0.04252231478344182
2025-03-14,0.19635093810628174,0.07461258870607011,0.08768296067926222,0.4260308032763102,0.17280039444863393,0.04252231478344182
2025-03-21,0.19635093810628174,0.07461258870607011,0.08768296067926222,0.4260308032763102,0.17280039444863393,0.04252231478344182
2025-03-28,0.07781346875852975,0.031225178634322337,0.035377677417507095,0.17878827753900978,0.07679539765063106,0.6
2025-04-04,0.07781346875852975,0.031225178634322337,0.035377677417507095,0.17878827753900978,0.07679539765063106,0.6
2025-04-11,0.07781346875852975,0.031225178634322337,0.035377677417507095,0.17878827753900978,0.07679539765063106,0.6
2025-04-18,0.07781346875852975,0.031225178634322337,0.035377677417507095,0.17878827753900978,0.07679539765063106,0.6
2025-04-25,0.07472310801513411,0.031495910025656625,0.034381142786715044,0.17927296652340588,0.08012687264908841,0.5999999999999999
2025-05-02,0.07472310801513411,0.031495910025656625,0.034381142786715044,0.17927296652340588,0.08012687264908841,0.5999999999999999
2025-05-09,0.07472310801513411,0.031495910025656625,0.034381142786715044,0.17927296652340588,0.08012687264908841,0.5999999999999999
2025-05-16,0.07472310801513411,0.031495910025656625,0.034381142786715044,0.17927296652340588,0.08012687264908841,0.5999999999999999
2025-05-23,0.07472310801513411,0.031495910025656625,0.034381142786715044,0.17927296652340588,0.08012687264908841,0.5999999999999999
2025-05-30,0.07427470760059114,0.030973819300393102,0.033180668956883395,0.17956377991404354,0.08200702422808888,0.5999999999999999
2025-06-06,0.07427470760059114,0.030973819300393102,0.033180668956883395,0.17956377991404354,0.08200702422808888,0.5999999999999999
2025-06-13,0.07427470760059114,0.030973819300393102,0.033180668956883395,0.17956377991404354,0.08200702422808888,0.5999999999999999
2025-06-20,0.07427470760059114,0.030973819300393102,0.033180668956883395,0.17956377991404354,0.08200702422808888,0.5999999999999999
2025-06-27,0.19608849418701377,0.07339541669787814,0.06682507933420855,0.4352833042175956,0.19929546351649527,0.029112242046808734
2025-07-04,0.19608849418701377,0.07339541669787814,0.06682507933420855,0.4352833042175956,0.19929546351649527,0.029112242046808734
2025-07-11,0.19608849418701377,0.07339541669787814,0.06682507933420855,0.4352833042175956,0.19929546351649527,0.029112242046808734
2025-07-18,0.19608849418701377,0.07339541669787814,0.06682507933420855,0.4352833042175956,0.19929546351649527,0.029112242046808734
2025-07-25,0.175217612172847,0.060085372463822395,0.059027682950004046,0.41886005112805347,0.22660520001354692,0.06020408127172616
2025-08-01,0.175217612172847,0.060085372463822395,0.059027682950004046,0.41886005112805347,0.22660520001354692,0.06020408127172616
2025-08-08,0.175217612172847,0.060085372463822395,0.059027682950004046,0.41886005112805347,0.22660520001354692,0.06020408127172616
