,dual_momentum_topn,cta_trend_long_only,composite_selective_concentrated,composite_regime_conditioned,taa_10m_sma,cash::BIL
2012-03-23,0.0869219208620394,0.21911976362124805,0.31348465164333356,0.11497385074801424,0.18549981312536482,0.07999999999999996
2012-03-30,0.07723791642804982,0.19756093021252688,0.27738366761319,0.11138991792195617,0.18642756782427714,0.15000000000000002
2012-04-06,0.07723791642804982,0.19756093021252688,0.27738366761319,0.11138991792195617,0.18642756782427714,0.15000000000000002
2012-04-13,0.07723791642804982,0.19756093021252688,0.27738366761319,0.11138991792195617,0.18642756782427714,0.15000000000000002
2012-04-20,0.07723791642804982,0.19756093021252688,0.27738366761319,0.11138991792195617,0.18642756782427714,0.15000000000000002
2012-04-27,0.07550769681793891,0.1936880172348665,0.2702945434220474,0.11432653636335964,0.1961832061617875,0.15000000000000002
2012-05-04,0.07550769681793891,0.1936880172348665,0.2702945434220474,0.11432653636335964,0.1961832061617875,0.15000000000000002
2012-05-11,0.07550769681793891,0.1936880172348665,0.2702945434220474,0.11432653636335964,0.1961832061617875,0.15000000000000002
2012-05-18,0.07550769681793891,0.1936880172348665,0.2702945434220474,0.11432653636335964,0.1961832061617875,0.15000000000000002
2012-05-25,0.07080796220174605,0.17846678920102999,0.2517868852102208,0.11026914105871709,0.18866922232828612,0.19999999999999996
2012-06-01,0.07080796220174605,0.17846678920102999,0.2517868852102208,0.11026914105871709,0.18866922232828612,0.19999999999999996
2012-06-08,0.07080796220174605,0.17846678920102999,0.2517868852102208,0.11026914105871709,0.18866922232828612,0.19999999999999996
2012-06-15,0.07080796220174605,0.17846678920102999,0.2517868852102208,0.11026914105871709,0.18866922232828612,0.19999999999999996
2012-06-22,0.07080796220174605,0.17846678920102999,0.2517868852102208,0.11026914105871709,0.18866922232828612,0.19999999999999996
2012-06-29,0.07477397738293809,0.186689075004622,0.26546979452841774,0.11850475702861461,0.20456239605540757,0.15000000000000002
2012-07-06,0.07477397738293809,0.186689075004622,0.26546979452841774,0.11850475702861461,0.20456239605540757,0.15000000000000002
2012-07-13,0.07477397738293809,0.186689075004622,0.26546979452841774,0.11850475702861461,0.20456239605540757,0.15000000000000002
2012-07-20,0.07477397738293809,0.186689075004622,0.26546979452841774,0.11850475702861461,0.20456239605540757,0.15000000000000002
2012-07-27,0.08682240675450975,0.21489647593043898,0.3138942666636237,0.12321348948918262,0.24117336116224491,0.020000000000000018
2012-08-03,0.08682240675450975,0.21489647593043898,0.3138942666636237,0.12321348948918262,0.24117336116224491,0.020000000000000018
