permutation,holdout_cagr,holdout_sharpe,holdout_sortino,holdout_drawdown,holdout_turnover,full_cagr,full_sharpe,full_drawdown
37,0.27328065690699965,1.2383319163087436,1.840394444695541,-0.16506489096724442,2.962025316455696,0.18278715211144347,0.8407667689350403,-0.40296705237125563
38,0.3268647151145663,1.546681412784674,2.3191436789196964,-0.16035635845579999,2.830379746835443,0.1588068568828056,0.7445407944074212,-0.4450733001706052
39,0.25694476305941705,1.1858221308907706,1.7848333448787392,-0.18229831293309984,2.89620253164557,0.17536057721684495,0.8090502635150172,-0.44347441754358896
40,0.20508006175557902,1.0355037100875095,1.450862242939182,-0.17124628684809684,2.7645569620253165,0.21574246866818614,1.0072261394020223,-0.3884817077955798
41,0.19078879309680552,0.9125711127624774,1.2546413418438782,-0.22250017201259398,3.1594936708860764,0.1462331841766611,0.7060233457392271,-0.488047630465274
42,0.23046129106970836,1.1037920952570834,1.6106531195200484,-0.1925435535039468,2.8303797468354435,0.2048469974290934,0.9210358831728405,-0.4513475935189276
43,0.3531890206004986,1.5047646842586173,2.29797004181307,-0.20694580958866093,2.7645569620253165,0.20350628146229033,0.9344205535286649,-0.3992774075112243
44,0.27711377249338276,1.2424281459507494,1.9270575332295663,-0.1866744476633435,2.830379746835443,0.1621337835182881,0.7533667304258015,-0.46316128335992335
45,0.22452857832677098,1.192347226485831,1.734813316152373,-0.16486292439784622,2.962025316455696,0.20395012813715385,0.9701339146135243,-0.40222942430168207
46,0.3088690444235569,1.3520525615209136,2.069863477500309,-0.21908918654496068,3.0936708860759494,0.17976455951353842,0.8443528775643455,-0.4510352443813809
47,0.22803984483052497,1.1788874507200573,1.7549941242649476,-0.17340572627426765,3.0278481012658225,0.12293004539354846,0.6353894004986542,-0.45265554986205747
48,0.25772516861213646,1.2504941196026258,1.8975919807245811,-0.21377785433568286,2.962025316455696,0.19045526455234563,0.873925884811365,-0.45190271966488815
49,0.22741082873673335,1.1422225918485995,1.6567300057453604,-0.23797961614817453,2.6987341772151896,0.22046154052555145,1.0148823037104728,-0.3415033648221939
50,0.2310674637898571,1.173792977210527,1.7056784072981088,-0.19523166952628657,2.69873417721519,0.1934404265833356,0.9065167021667693,-0.43396825931632377
51,0.3773507283010358,1.6812971339453846,2.538389254877973,-0.1807825424710814,2.567088607594937,0.22917045821121684,1.0378422868810688,-0.3986101784669773
52,0.28047893216064845,1.2770531512159973,1.959749721256275,-0.2035281250072447,2.89620253164557,0.15181516902056535,0.7418403802558555,-0.4401818392224853
53,0.24648331853262517,1.201708916694677,1.8940276525431026,-0.17684340128723652,2.7645569620253165,0.1495169613608105,0.7180053868512773,-0.5796530397846165
54,0.2503644968165304,1.211125406627689,1.7497022947230132,-0.21407759435961915,2.830379746835443,0.15343701037028445,0.7217053683054334,-0.43199920547393966
55,0.29871305821014515,1.3753307622723348,1.9579677776521127,-0.19286943408520663,3.0936708860759494,0.23658919063105555,1.063620679003919,-0.3950384777296094
56,0.29252337604620404,1.3880283538439167,2.120337822834643,-0.18289251120594596,2.632911392405063,0.12815848572952593,0.6427378391348878,-0.4723938496551471
57,0.31956814196774896,1.5127357284299,2.4699896175772706,-0.15428070936294336,2.6987341772151896,0.18597983217104397,0.8531693676485036,-0.4254720124343436
58,0.2557284665506674,1.1769693801593952,1.7906258828379218,-0.1647128657993142,2.8303797468354435,0.18814540639334942,0.8966475270266994,-0.3759799793126546
59,0.18820220017899314,0.9545064892929471,1.3759760940985415,-0.23367366615399843,2.8303797468354435,0.15706326273571025,0.7761369869108946,-0.46575601758960916
60,0.3819997004267972,1.6656925674704697,2.654233855969525,-0.17340572627426765,2.8303797468354435,0.22843902024099938,1.0375710669902767,-0.4526779454561842
61,0.2303784766067185,1.1759839520350635,1.7499644300498653,-0.18332263245515323,2.8303797468354435,0.18426113509783182,0.8972470211549738,-0.39601679495973363
