,dual_momentum_topn,composite_calm_trend_specialist,composite_healthier_recovery_specialist,composite_anti_chop_clarity,composite_regime_conditioned,taa_10m_sma,composite_structural_defense_sleeve,cash::BIL
2023-01-06,0.030488515707317223,0.06242364195990462,0.0431330302047909,0.04423097712431466,0.11877866568655455,0.025988112692981038,0.47495705662413706,0.19999999999999996
2023-01-13,0.030488515707317223,0.06242364195990462,0.0431330302047909,0.04423097712431466,0.11877866568655455,0.025988112692981038,0.47495705662413706,0.19999999999999996
2023-01-20,0.030488515707317223,0.06242364195990462,0.0431330302047909,0.04423097712431466,0.11877866568655455,0.025988112692981038,0.47495705662413706,0.19999999999999996
2023-01-27,0.04827417337201925,0.0605180229480141,0.04475087702669156,0.05662712863716733,0.14886753403408584,0.031678632636483066,0.5808177500047662,0.02846588134077266
2023-02-03,0.04827417337201925,0.0605180229480141,0.04475087702669156,0.05662712863716733,0.14886753403408584,0.031678632636483066,0.5808177500047662,0.02846588134077266
2023-02-10,0.04827417337201925,0.0605180229480141,0.04475087702669156,0.05662712863716733,0.14886753403408584,0.031678632636483066,0.5808177500047662,0.02846588134077266
2023-02-17,0.04827417337201925,0.0605180229480141,0.04475087702669156,0.05662712863716733,0.14886753403408584,0.031678632636483066,0.5808177500047662,0.02846588134077266
2023-02-24,0.0386341106105484,0.06015539183686016,0.044582862466503545,0.04774770148076284,0.1090900580766168,0.02648693937471664,0.48145932479238635,0.19184361136160533
2023-03-03,0.0386341106105484,0.06015539183686016,0.044582862466503545,0.04774770148076284,0.1090900580766168,0.02648693937471664,0.48145932479238635,0.19184361136160533
2023-03-10,0.0386341106105484,0.06015539183686016,0.044582862466503545,0.04774770148076284,0.1090900580766168,0.02648693937471664,0.48145932479238635,0.19184361136160533
2023-03-17,0.0386341106105484,0.06015539183686016,0.044582862466503545,0.04774770148076284,0.1090900580766168,0.02648693937471664,0.48145932479238635,0.19184361136160533
2023-03-24,0.0386341106105484,0.06015539183686016,0.044582862466503545,0.04774770148076284,0.1090900580766168,0.02648693937471664,0.48145932479238635,0.19184361136160533
2023-03-31,0.043729919891754364,0.0854693283082555,0.04983516024353534,0.0677163877201786,0.11118572268991318,0.03306756861214675,0.5774689976790042,0.031526914855212085
2023-04-07,0.043729919891754364,0.0854693283082555,0.04983516024353534,0.0677163877201786,0.11118572268991318,0.03306756861214675,0.5774689976790042,0.031526914855212085
2023-04-14,0.043729919891754364,0.0854693283082555,0.04983516024353534,0.0677163877201786,0.11118572268991318,0.03306756861214675,0.5774689976790042,0.031526914855212085
2023-04-21,0.043729919891754364,0.0854693283082555,0.04983516024353534,0.0677163877201786,0.11118572268991318,0.03306756861214675,0.5774689976790042,0.031526914855212085
2023-04-28,0.04287340445473168,0.08551809992138876,0.048324360727108336,0.06827171980935354,0.10528407101554056,0.033374444107766035,0.5690679797113145,0.047285920252796654
2023-05-05,0.04287340445473168,0.08551809992138876,0.048324360727108336,0.06827171980935354,0.10528407101554056,0.033374444107766035,0.5690679797113145,0.047285920252796654
2023-05-12,0.04287340445473168,0.08551809992138876,0.048324360727108336,0.06827171980935354,0.10528407101554056,0.033374444107766035,0.5690679797113145,0.047285920252796654
2023-05-19,0.04287340445473168,0.08551809992138876,0.048324360727108336,0.06827171980935354,0.10528407101554056,0.033374444107766035,0.5690679797113145,0.047285920252796654
2023-05-26,0.04189055520084731,0.08625413202838166,0.05555169244486822,0.0690567602171071,0.1080826822591125,0.039164177849683304,0.6,0.0
2023-06-02,0.04189055520084731,0.08625413202838166,0.05555169244486822,0.0690567602171071,0.1080826822591125,0.039164177849683304,0.6,0.0
2023-06-09,0.04189055520084731,0.08625413202838166,0.05555169244486822,0.0690567602171071,0.1080826822591125,0.039164177849683304,0.6,0.0
2023-06-16,0.04189055520084731,0.08625413202838166,0.05555169244486822,0.0690567602171071,0.1080826822591125,0.039164177849683304,0.6,0.0
2023-06-23,0.04189055520084731,0.08625413202838166,0.05555169244486822,0.0690567602171071,0.1080826822591125,0.039164177849683304,0.6,0.0
2023-06-30,0.0399091944714539,0.09157696595335144,0.05948212193643789,0.06949974128967171,0.09603429605665675,0.0434976802924284,0.6,0.0
2023-07-07,0.0399091944714539,0.09157696595335144,0.05948212193643789,0.06949974128967171,0.09603429605665675,0.0434976802924284,0.6,0.0
2023-07-14,0.0399091944714539,0.09157696595335144,0.05948212193643789,0.06949974128967171,0.09603429605665675,0.0434976802924284,0.6,0.0
2023-07-21,0.0399091944714539,0.09157696595335144,0.05948212193643789,0.06949974128967171,0.09603429605665675,0.0434976802924284,0.6,0.0
2023-07-28,0.04808752628650659,0.10489116834516786,0.05846854157525188,0.07142148027738306,0.09145481256774406,0.03865149876713659,0.58702497218081,0.0
2023-08-04,0.04808752628650659,0.10489116834516786,0.05846854157525188,0.07142148027738306,0.09145481256774406,0.03865149876713659,0.58702497218081,0.0
