,dual_momentum_topn,composite_calm_trend_specialist,composite_healthier_recovery_specialist,composite_anti_chop_clarity,composite_regime_conditioned,taa_10m_sma,cash::BIL
2010-04-09,0.22768129441855983,0.21000000000000002,0.04,0.08131737712363866,0.1336862661905445,0.307315062267257,0.0
2010-04-16,0.24442402622686688,0.21000000000000002,0.06652475846694299,0.04,0.12740539861491593,0.3116458166912742,0.0
2010-04-23,0.1705347383821097,0.23761178375283115,0.19949591234079134,0.0809102480799599,0.04,0.27144731744430783,0.0
2010-04-30,0.096340012813896,0.26025980314006114,0.2612762264916213,0.13212194780917733,0.04,0.21000200974524424,0.0
2010-05-07,0.05755200881972531,0.2890222559784844,0.09406340441834188,0.04000000000000001,0.12487853112581396,0.3944837996576345,0.0
2010-05-14,0.10400174133523793,0.29869835817443335,0.04,0.04,0.12111984177702005,0.39618005871330875,0.0
2010-05-21,0.04540987428457962,0.30039075165549955,0.04,0.13508894362551738,0.09417288901385261,0.3849375414205509,0.0
2010-05-28,0.04304922130999917,0.3411562511405524,0.04,0.13587468326715627,0.10028348769786948,0.33963635658442265,0.0
2010-06-04,0.05881073249788583,0.2356020563042386,0.10365190864493236,0.14,0.14,0.3219353025529431,0.0
2010-06-11,0.05674841693830263,0.22753424527708596,0.05674841693830263,0.18,0.19999999999999998,0.27896892084630875,0.0
2010-06-18,0.04,0.20166666666666666,0.12393948046808563,0.1565321933317584,0.1883552288919696,0.2895064306415198,0.0
2010-06-25,0.04,0.19333333333333333,0.12431309370471112,0.17942159951168343,0.19933897087049537,0.26359300257977675,0.0
2010-07-02,0.04509409840568381,0.19757841533806983,0.12247958577489108,0.18,0.1957882212715538,0.2590596792098015,0.0
2010-07-09,0.05833425946997944,0.21112456020782086,0.11660797445367022,0.18,0.18650405559745373,0.24742915027107565,0.0
2010-07-16,0.0457853851529391,0.19815448762744925,0.11877627460930694,0.18,0.2,0.2572838526103048,0.0
2010-07-23,0.04,0.20166666666666666,0.13130688640559846,0.17578305781552034,0.16166522819797946,0.28957816091423516,0.0
2010-07-30,0.07174982726232296,0.22339689635084464,0.14336642711628406,0.14,0.14,0.2814868492705483,0.0
2010-08-06,0.04,0.25329053257579404,0.18486504391630507,0.114309110592717,0.0462881452777772,0.3612471676374068,0.0
2010-08-13,0.052353433370562176,0.2494313636686026,0.1788103933592815,0.14000000000000004,0.04386044792830068,0.335544361673253,0.0
2010-08-20,0.05626241860089447,0.3134707251297171,0.14288306072898874,0.14,0.04508200581277952,0.3023017897276202,0.0
2010-08-27,0.04,0.36144481694182756,0.17365576007862776,0.13688167558291053,0.04,0.24801774739663415,0.0
2010-09-03,0.04,0.3706901424470056,0.13851950970720653,0.11418588891916964,0.04,0.2966044589266182,0.0
2010-09-10,0.04000000000000001,0.3652517210015072,0.1394315542737407,0.10359574250038378,0.04000000000000001,0.31172098222436834,0.0
2010-09-17,0.04,0.35623468891235555,0.14011497238938642,0.10935378774301799,0.04,0.3142965509552401,0.0
2010-09-24,0.04,0.31562208517889956,0.20419448455175845,0.12137440638679016,0.04,0.27880902388255174,0.0
2010-10-01,0.04,0.3056248114204003,0.13839731371884928,0.13860524333906127,0.04324834918532609,0.33412428233636304,0.0
2010-10-08,0.04002375977064965,0.35664742528254106,0.09821156284892912,0.1316956141267983,0.04,0.3334216379710819,0.0
2010-10-15,0.04,0.391436126314317,0.04,0.13340674176368145,0.04,0.3551571319220015,0.0
2010-10-22,0.04819739527980267,0.30302676018261115,0.04819739527980267,0.14,0.10941592517824737,0.35116252407953624,0.0
2010-10-29,0.06256760297265636,0.322327260572497,0.06256760297265636,0.14,0.08540490892043659,0.3271326245617538,0.0
2010-11-05,0.04224351827652566,0.3397834452763577,0.04224351827652566,0.18,0.08767513209611048,0.3080543860744806,0.0
2010-11-12,0.053937411967954416,0.4062881722481042,0.07762485780688023,0.06906848957141652,0.04,0.3530810684056446,0.0
2010-11-19,0.039999999999999994,0.3468750653015916,0.039999999999999994,0.06478234037478764,0.12797850759765056,0.3803640867259702,0.0
2010-11-26,0.050156486957922124,0.27852979346305,0.039999999999999994,0.14262879833902825,0.14418334056280832,0.3445015806771913,0.0
2010-12-03,0.039999999999999994,0.2687744556508295,0.039999999999999994,0.16947045785747508,0.11820851777485325,0.3635465687168422,0.0
2010-12-10,0.04297962475593739,0.2570112996424038,0.04297962475593739,0.16430149934352264,0.09272795150219887,0.4,0.0
2010-12-17,0.04000000000000001,0.22884970681644834,0.11094666145717988,0.148800251819915,0.08443399849215079,0.386969381414306,0.0
2010-12-24,0.04000000000000001,0.2716038921267903,0.11899862444115945,0.08341887947400356,0.09822643659350068,0.38775216736454604,0.0
2010-12-31,0.07953678494386675,0.24485775171050955,0.14080654757092248,0.048669877310159024,0.08612903846454223,0.4,0.0
2011-01-07,0.04649911170324047,0.24920986117157382,0.1777264490569518,0.0652766916492256,0.061287886419008314,0.4000000000000001,0.0
2011-01-14,0.04,0.2753785604335282,0.15694772191611192,0.0425962123344972,0.0892764648149195,0.39580104050094317,0.0
2011-01-21,0.04000000000000001,0.28434455518137447,0.14322189379062278,0.04000000000000001,0.10307866130561263,0.38935488972239013,0.0
2011-01-28,0.04,0.2043068865685629,0.16727681474380363,0.08417612697728931,0.18530168716416348,0.3189384845461806,0.0
2011-02-04,0.05279976088434546,0.2119998069639247,0.1242437401072959,0.10676684057120385,0.2,0.3041898514732301,0.0
2011-02-11,0.049988979589120366,0.21699656993834696,0.21181471724840562,0.07119408809723296,0.14,0.31000564512689405,0.0
2011-02-18,0.04000000000000001,0.23540383917385282,0.09632084320160246,0.08520806533161007,0.19464792800781974,0.34841932428511496,0.0
2011-02-25,0.05337104026535602,0.21246099604755303,0.05967706396195047,0.07449089972514047,0.2,0.4,0.0
2011-03-04,0.07489288741456838,0.24054913613772072,0.07489288741456838,0.06966508903314246,0.14,0.4,0.0
2011-03-11,0.09447657875182827,0.2507959440201639,0.0664590302689584,0.0482684469590495,0.14,0.4,0.0
2011-03-18,0.10428318487419645,0.19947620782763542,0.04,0.07364105111271513,0.19746291955175627,0.3851366366336966,0.0
2011-03-25,0.0867056386827684,0.23701506855649682,0.08287946115103603,0.053399831609698765,0.14,0.4,0.0
2011-04-01,0.11627950808865573,0.26098597116097344,0.04208344438123488,0.040651076369135904,0.14,0.4,0.0
2011-04-08,0.07837374666015674,0.30995574391209235,0.04,0.04,0.13734754688261702,0.3943229625451337,0.0
2011-04-15,0.12131517931794625,0.2407843346713789,0.04000000000000001,0.09055804643417857,0.13714271649934245,0.3701997230771538,0.0
2011-04-22,0.09370084122799019,0.20916666666666667,0.04,0.13793147679052184,0.13793147679052184,0.3812695385242994,0.0
2011-04-29,0.09248306630174465,0.22885341557939373,0.054743413373261954,0.14,0.08392010474559963,0.4,0.0
2011-05-06,0.12216026210176341,0.16353947262605525,0.2043205242035268,0.13930636582050662,0.08542354595459677,0.28524982929355114,0.0
2011-05-13,0.06973228346456692,0.22566929133858266,0.06973228346456692,0.18,0.054866141732283456,0.4,0.0
2011-05-20,0.1530015533960346,0.21000000000000002,0.14961350522689382,0.07611891511802019,0.04,0.3712660262590514,0.0
2011-05-27,0.18797280347319684,0.23506978581527532,0.14827727815857425,0.04,0.04,0.3486801325529535,0.0
2011-06-03,0.16002173906903944,0.25554914719922656,0.13499212039593264,0.039999999999999994,0.039999999999999994,0.36943699333580127,0.0
2011-06-10,0.17553515471384745,0.22970724072686938,0.16449534657535955,0.04,0.04,0.3502622579839236,0.0
2011-06-17,0.1822933122735751,0.25511159051924914,0.1399000933151412,0.04,0.04,0.34269500389203456,0.0
2011-06-24,0.15834448481047866,0.27863478237390327,0.07197597116730736,0.06225070685010148,0.04,0.3887940547982092,0.0
2011-07-01,0.18479518764202604,0.30052405857444503,0.08248596548095004,0.05300092096595753,0.04,0.3391938673366213,0.0
2011-07-08,0.19757639222647633,0.24016237823481087,0.14943456140658015,0.04,0.04,0.3328266681321325,0.0
2011-07-15,0.11317244108177203,0.28088938954893505,0.18836161441426108,0.13349457964834543,0.04000000000000001,0.24408197530668646,0.0
2011-07-22,0.17248674399658354,0.23575333766733125,0.2143212861491662,0.13634976254271722,0.04,0.20108886964420175,0.0
2011-07-29,0.17044945336360465,0.21072865247037342,0.18622983007158753,0.14,0.040291460988149355,0.25230060310628505,0.0
2011-08-05,0.13500842425118784,0.2696497343632458,0.12248318030356994,0.0871208119267497,0.04,0.34573784915524663,0.0
2011-08-12,0.08130170762952088,0.21484463939037543,0.08130170762952088,0.18,0.19999999999999998,0.24255194535058275,0.0
2011-08-19,0.04,0.14435537495361128,0.04986258714306998,0.29583434252119234,0.3499476953821264,0.11999999999999998,0.0
2011-08-26,0.04,0.0737881797770428,0.05200296517612556,0.3269347586908992,0.3584629237625726,0.14881117259335974,0.0
2011-09-02,0.04,0.07937068609337301,0.05855838042003176,0.3084840911651014,0.3335150722058796,0.18007177011561434,0.0
2011-09-09,0.04,0.08083281937126538,0.058875396395549826,0.3189500259940883,0.3292748375150779,0.17206692072401858,0.0
2011-09-16,0.09892815497966992,0.24923887511379603,0.14724061577956823,0.14,0.14,0.22459235412696574,0.0
2011-09-23,0.05443138605780785,0.19453594883815065,0.10234101642193892,0.18,0.249,0.2196916486821026,0.0
2011-09-30,0.05607463036369992,0.19467288586364165,0.09983289679178405,0.18,0.249,0.2204195869808745,0.0
