,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_offense_component,composite_regime_defense_component,taa_10m_sma,cash::BIL
2023-02-24,0.17974892160177633,0.07739687918756057,0.10355949342731258,0.12421292830956422,0.24945795726569997,0.07378020884648114,0.1918436113616051
2023-03-03,0.17974892160177633,0.07739687918756057,0.10355949342731258,0.12421292830956422,0.24945795726569997,0.07378020884648114,0.1918436113616051
2023-03-10,0.17974892160177633,0.07739687918756057,0.10355949342731258,0.12421292830956422,0.24945795726569997,0.07378020884648114,0.1918436113616051
2023-03-17,0.17974892160177633,0.07739687918756057,0.10355949342731258,0.12421292830956422,0.24945795726569997,0.07378020884648114,0.1918436113616051
2023-03-24,0.17974892160177633,0.07739687918756057,0.10355949342731258,0.12421292830956422,0.24945795726569997,0.07378020884648114,0.1918436113616051
2023-03-31,0.1717906212477822,0.09190634576668903,0.14922838186547713,0.16834975435867444,0.3152291927143906,0.07132382957076448,0.03217187447622216
2023-04-07,0.1717906212477822,0.09190634576668903,0.14922838186547713,0.16834975435867444,0.3152291927143906,0.07132382957076448,0.03217187447622216
2023-04-14,0.1717906212477822,0.09190634576668903,0.14922838186547713,0.16834975435867444,0.3152291927143906,0.07132382957076448,0.03217187447622216
2023-04-21,0.1717906212477822,0.09190634576668903,0.14922838186547713,0.16834975435867444,0.3152291927143906,0.07132382957076448,0.03217187447622216
2023-04-28,0.16212755861225195,0.09007043367602706,0.1594036222922812,0.17757722411199686,0.29480435868749294,0.06480041898134614,0.05121638363860381
2023-05-05,0.16212755861225195,0.09007043367602706,0.1594036222922812,0.17757722411199686,0.29480435868749294,0.06480041898134614,0.05121638363860381
2023-05-12,0.16212755861225195,0.09007043367602706,0.1594036222922812,0.17757722411199686,0.29480435868749294,0.06480041898134614,0.05121638363860381
2023-05-19,0.16212755861225195,0.09007043367602706,0.1594036222922812,0.17757722411199686,0.29480435868749294,0.06480041898134614,0.05121638363860381
2023-05-26,0.14851715867282023,0.06592143868899739,0.23341348775267112,0.11388603005551928,0.373729528129462,0.06453235670052995,1.1102230246251565e-16
2023-06-02,0.14851715867282023,0.06592143868899739,0.23341348775267112,0.11388603005551928,0.373729528129462,0.06453235670052995,1.1102230246251565e-16
2023-06-09,0.14851715867282023,0.06592143868899739,0.23341348775267112,0.11388603005551928,0.373729528129462,0.06453235670052995,1.1102230246251565e-16
2023-06-16,0.14851715867282023,0.06592143868899739,0.23341348775267112,0.11388603005551928,0.373729528129462,0.06453235670052995,1.1102230246251565e-16
2023-06-23,0.14851715867282023,0.06592143868899739,0.23341348775267112,0.11388603005551928,0.373729528129462,0.06453235670052995,1.1102230246251565e-16
2023-06-30,0.14114906380809264,0.059698628942937065,0.24465621913568997,0.09980624514314314,0.39068982940119895,0.06400001356893825,0.0
2023-07-07,0.14114906380809264,0.059698628942937065,0.24465621913568997,0.09980624514314314,0.39068982940119895,0.06400001356893825,0.0
2023-07-14,0.14114906380809264,0.059698628942937065,0.24465621913568997,0.09980624514314314,0.39068982940119895,0.06400001356893825,0.0
2023-07-21,0.14114906380809264,0.059698628942937065,0.24465621913568997,0.09980624514314314,0.39068982940119895,0.06400001356893825,0.0
2023-07-28,0.1355052558413478,0.05774852665117882,0.2472503717058324,0.09442318960771162,0.4014617014244949,0.06361095476943454,0.0
2023-08-04,0.1355052558413478,0.05774852665117882,0.2472503717058324,0.09442318960771162,0.4014617014244949,0.06361095476943454,0.0
2023-08-11,0.1355052558413478,0.05774852665117882,0.2472503717058324,0.09442318960771162,0.4014617014244949,0.06361095476943454,0.0
2023-08-18,0.1355052558413478,0.05774852665117882,0.2472503717058324,0.09442318960771162,0.4014617014244949,0.06361095476943454,0.0
2023-08-25,0.1312130024967621,0.056142167801524624,0.2473627606384517,0.09226206057511951,0.41100368104738294,0.06201632744075908,0.0
2023-09-01,0.1312130024967621,0.056142167801524624,0.2473627606384517,0.09226206057511951,0.41100368104738294,0.06201632744075908,0.0
2023-09-08,0.1312130024967621,0.056142167801524624,0.2473627606384517,0.09226206057511951,0.41100368104738294,0.06201632744075908,0.0
2023-09-15,0.1312130024967621,0.056142167801524624,0.2473627606384517,0.09226206057511951,0.41100368104738294,0.06201632744075908,0.0
2023-09-22,0.1312130024967621,0.056142167801524624,0.2473627606384517,0.09226206057511951,0.41100368104738294,0.06201632744075908,0.0
2023-09-29,0.1212237766947642,0.052335639136683466,0.23026922664311555,0.08666597355472527,0.3749853442299455,0.05785682989305807,0.07666320984770791
2023-10-06,0.1212237766947642,0.052335639136683466,0.23026922664311555,0.08666597355472527,0.3749853442299455,0.05785682989305807,0.07666320984770791
2023-10-13,0.1212237766947642,0.052335639136683466,0.23026922664311555,0.08666597355472527,0.3749853442299455,0.05785682989305807,0.07666320984770791
2023-10-20,0.1212237766947642,0.052335639136683466,0.23026922664311555,0.08666597355472527,0.3749853442299455,0.05785682989305807,0.07666320984770791
2023-10-27,0.10902110795988587,0.046161621963125066,0.19806497734326134,0.08193396691049899,0.3131782699873693,0.05164005583585947,0.19999999999999984
2023-11-03,0.10902110795988587,0.046161621963125066,0.19806497734326134,0.08193396691049899,0.3131782699873693,0.05164005583585947,0.19999999999999984
2023-11-10,0.10902110795988587,0.046161621963125066,0.19806497734326134,0.08193396691049899,0.3131782699873693,0.05164005583585947,0.19999999999999984
