,model_confidence,model_uncertainty,spread_score,margin_confidence,agreement,signal_top_gap,risk_guard,cash_weight,mu_scale,lambda_turn,lambda_tail,gate_top_expert,gate_top_prob,gate_entropy,gate_prob_calm,gate_prob_recovery,gate_prob_defense
2016-02-26,0.28071001520944217,0.46507085776051177,0.6333781312283465,0.5126436781609195,0.3333333333333333,0.21333333333333337,1.0,0.16,0.33965412910255566,1.1968488946983968,1.831617005862523,defense,0.729971022193738,0.6714603600722461,0.06986916120247515,0.20015981660378684,0.729971022193738
2016-03-04,0.1835441872067181,0.4545081328948022,0.395430457127829,0.5678160919540229,0.3333333333333333,0.040000000000000036,1.0,0.16,0.2810654010585169,1.2270983304535736,1.8290819518947528,defense,0.7103331428649083,0.7050370014973344,0.08212219215266943,0.20754466498242227,0.7103331428649083
2016-03-11,0.15491127150120293,0.4882555895729287,0.41453812398352524,0.5126436781609195,0.3333333333333333,0.026666666666666616,1.0,0.16,0.2611191800834748,1.248043395479987,1.8371813414975031,defense,0.4633244619712169,0.9580477829889372,0.2168865416192966,0.31978899640948655,0.4633244619712169
2016-03-18,0.23964204142979237,0.4839028631726764,0.47679384767544364,0.5058758624692138,0.3333333333333333,0.21333333333333337,0.9548812287219619,0.16,0.31295277512892455,1.2172380345717098,1.808163048969059,defense,0.5790041268983709,0.8810364143626976,0.17975495403205832,0.2412409190695708,0.5790041268983709
2016-03-25,0.22023254476555598,0.4018418925009727,0.21798855259395492,0.3096688980708021,0.0,0.4599999999999999,0.502569311934171,0.12453226568260341,0.307860254978991,1.1971845471876226,1.5080350275994197,calm,0.6121372676011878,0.8477228396193233,0.6121372676011878,0.22594709563644907,0.16191563676236323
2016-04-01,0.2417045543256729,0.4611803804453286,0.5523623313877514,0.33940373563218385,0.0,0.3933333333333333,0.5415224558750324,0.13484595415075376,0.3161456276103216,1.209106136737212,1.546427213949399,calm,0.5624188997083315,0.8832235938463425,0.5624188997083315,0.2816594074126539,0.1559216928790146
2016-04-08,0.17963284546762553,0.44067356825811654,0.3656429180996773,0.381983486684835,0.0,0.28,0.5002662982395645,0.1301229963059694,0.27970648440750795,1.2239391818712768,1.5159267612904779,calm,0.5583186294809019,0.8955952091281577,0.5583186294809019,0.26419805462695445,0.17748331589214356
2016-04-15,0.1823037276441248,0.3945283568262548,0.1486940955756813,0.49372434318555003,0.3333333333333333,0.14,0.5257959455097415,0.12894908167178307,0.2848341317453063,1.2079511229211073,1.5206802918543412,calm,0.5586629640927847,0.8942362373601629,0.5586629640927847,0.2668607021190279,0.1744763337881874
2016-04-22,0.2271676969572772,0.44928634575620263,0.7369050273956438,0.33821839080459765,0.0,0.2466666666666667,0.524955680569058,0.13206404500742452,0.30823748168461135,1.2102653059500408,1.5333012449343049,defense,0.42136422085567865,0.9846002658474837,0.2950688452224004,0.28356693392192106,0.42136422085567865
2016-04-29,0.21154025766679063,0.4005783893938754,0.30163899516751147,0.3735940065681445,0.0,0.3533333333333333,0.577688766469846,0.13535725336182647,0.30255821996262866,1.199786624939318,1.5543058486658345,calm,0.4311694077199283,0.9524831252485664,0.4311694077199283,0.37820577663325583,0.19062481564681594
2016-05-06,0.3260080826212476,0.44867197897982103,0.37645992838718145,0.4961566091954022,0.3333333333333333,0.4533333333333332,0.5241173378984174,0.12694322107269818,0.36896804702605124,1.1757869308859652,1.532634024452176,calm,0.45399043379566634,0.9585139716792955,0.45399043379566634,0.3352923415078483,0.21071722469648538
2016-05-13,0.27896547738343064,0.390779093762955,0.2584676024742778,0.49280303891742183,0.3333333333333333,0.32666666666666655,0.5241173378984174,0.12350606281290243,0.34538338007193603,1.173205068647655,1.5187397320001281,calm,0.4137594629355533,0.9592666183357984,0.4137594629355533,0.38712439686392597,0.19911614020052065
2016-05-20,0.2216331498968664,0.40982507038289995,0.34687264996195594,0.6811557860201465,0.3333333333333333,0.040000000000000036,0.28792062048582123,0.09520973641146166,0.3080762851273616,1.1993045265887454,1.3768688015931052,calm,0.5870225611641454,0.8434983452305236,0.5870225611641454,0.2931260723680483,0.11985136646780634
2016-05-27,0.18652893264952652,0.38263231940932707,0.1172997352244966,0.48783230706075537,0.0,0.29333333333333333,0.6347356094020837,0.1427997706247481,0.28837239297081446,1.2026029552123487,1.5853678344875306,defense,0.3833750124639312,0.9945952684358103,0.3198185422917786,0.29680644524429034,0.3833750124639312
2016-06-03,0.20053889337501732,0.48308658403223803,0.32892229695452424,0.6195402298850574,0.3333333333333333,0.12,0.3715879791573719,0.11530403081650503,0.28923832563698665,1.2305325728056664,1.4463253272453076,recovery,0.44776725111269566,0.9603770164566859,0.21125993267312787,0.44776725111269566,0.34097281621417647
2016-06-10,0.2465088251218404,0.44317119329706495,0.16527563041632987,0.5057471264367815,0.3333333333333333,0.3466666666666666,0.48692042160509375,0.1251605370983276,0.3206359189844325,1.2015618169399078,1.5082517477864539,recovery,0.48823059120958845,0.9458180789404617,0.30243106445893686,0.48823059120958845,0.20933834433147475
2016-06-17,0.15770436597447055,0.4081832336812695,0.13615545656061287,0.6056894499178982,0.3333333333333333,0.020000000000000018,0.2380952380952381,0.09126643840273677,0.26853666896066464,1.2209391333536201,1.3455830237025523,calm,0.49615032430407735,0.8835806216133301,0.49615032430407735,0.382983389932647,0.12086628576327565
2016-06-24,0.07148971126852555,0.47612293082834484,0.1780942452150903,0.4612945973905821,0.0,0.09333333333333327,0.14335316376640656,0.08910725044670513,0.21114479477200468,1.2730138927544472,1.303148464933975,calm,0.77336553146439,0.6207232257932005,0.77336553146439,0.14727555927163669,0.07935890926397328
2016-07-01,0.21570375921284504,0.399118227084562,0.22818527974606842,0.5129310673501062,0.0,0.31333333333333335,0.125,0.07162663474781396,0.30526563010458385,1.1978661256253864,1.273288374500295,calm,0.8034697625419642,0.5537250969436491,0.8034697625419642,0.1452871141890948,0.05124312326894107
2016-07-08,0.11730580826637493,0.41103426923102004,0.14427730241521394,0.435919540229885,0.3333333333333333,0.02000000000000013,0.375,0.11273813650978327,0.24328060930090414,1.2358799311702262,1.4311482246154448,calm,0.6309338673522455,0.8216249096911604,0.6309338673522455,0.23060786488757382,0.13845826776018072
2016-07-15,0.25459545381422016,0.4923654244588536,0.31644393778964597,0.42988505747126426,0.3333333333333333,0.39333333333333337,0.31991755746104794,0.10629522779972109,0.321305890767896,1.2148143711605983,1.4165165874959746,calm,0.4226350660848664,0.958624926509047,0.4226350660848664,0.3781198806550087,0.19924505326012484
2016-07-22,0.5026711252700921,0.39390648425551317,0.25655651374916894,0.839080459770115,1.0,0.41999999999999993,0.125,0.05675709216204672,0.4844565743097017,1.0966447302173317,1.272037556221323,calm,0.5171670236353932,0.9302827308510477,0.5171670236353932,0.27682427420529804,0.2060087021593088
2016-07-29,0.21123719489421403,0.3748272016892643,0.14216721931435516,0.4747126436781608,0.3333333333333333,0.20666666666666667,0.125,0.06942086042421573,0.3044372565212581,1.1914865394420626,1.2674585284054234,calm,0.5978603011484166,0.8620127408569506,0.5978603011484166,0.2345294189579523,0.16761027989363111
2016-08-05,0.15929493547738383,0.43273934429129557,0.20744126142831962,0.42298850574712643,0.3333333333333333,0.1399999999999999,0.125,0.07780918765526038,0.2677628398025274,1.2284026383531224,1.281357442629911,calm,0.4935181221148178,0.9362297206556061,0.4935181221148178,0.3157222634184925,0.19075961446668965
2016-08-12,0.22053269674642526,0.365676915203733,0.20577642702481802,0.4643678160919539,0.3333333333333333,0.19333333333333325,0.125,0.06804105668305205,0.31100594756913386,1.1852762058908384,1.265262459648896,calm,0.5139479123791602,0.9221867028718415,0.5139479123791602,0.3060607711093237,0.17999131651151606
2016-08-19,0.2314839208668543,0.43295603362660234,0.2021019589489925,0.47126436781609193,0.3333333333333333,0.30000000000000004,0.125,0.07422140731931752,0.3122525538608219,1.203438225619098,1.2814094480703846,calm,0.489288077767777,0.9499539355249204,0.489288077767777,0.28428826768920235,0.2264236545430207
2016-08-26,0.3093129366770438,0.3812835641625878,0.2039982932003784,0.6057471264367815,0.3333333333333333,0.35333333333333333,0.125,0.0651627095824066,0.3652203941148985,1.15958122890307,1.269008055399021,calm,0.5539317061908896,0.900331041917233,0.5539317061908896,0.2635330836186565,0.182535210190454
2016-09-02,0.30261892679026997,0.383522772083402,0.4195568779685768,0.657471264367816,0.3333333333333333,0.19333333333333325,0.125,0.0657213308688267,0.36082278604854123,1.1626335889971569,1.2695454653000164,calm,0.5634739143761931,0.8876498868668325,0.5634739143761931,0.27016539878621876,0.16636068683758817
2016-09-09,0.3880510696920432,0.38671834365141977,0.2084214009606413,0.6402298850574712,0.3333333333333333,0.54,0.125,0.06176928088053982,0.41384005438119903,1.1340487563986228,1.2703124024763408,calm,0.4565574925291286,0.901090866334834,0.4565574925291286,0.4120568346632909,0.1313856728075806
2016-09-16,0.16818907702078106,0.3457545887084457,0.21971578062512995,0.37356321839080453,0.0,0.21999999999999986,0.0,0.05116600501980552,0.2796119784189616,1.1969263258436298,1.182981101290027,calm,0.5387169179246911,0.7461883963725919,0.5387169179246911,0.4239560024445071,0.03732707963080184
2016-09-23,0.2023053750396818,0.3529435729740993,0.2585208253907869,0.3563218390804598,0.0,0.30666666666666675,0.0,0.05017908854542584,0.3005696749666342,1.1874412781549846,1.184706457513784,calm,0.501991637225456,0.7597137832021968,0.501991637225456,0.4570710261323466,0.04093733664219729
2016-09-30,0.28027058336678556,0.3821642805395786,0.2877804148288866,0.4528735632183908,0.0,0.4666666666666666,0.0,0.04920289888561858,0.3469869406118575,1.1699405828565173,1.1917194273294989,recovery,0.47286074828084906,0.8059356298813628,0.46372340398333883,0.47286074828084906,0.06341584773581212
2016-10-07,0.1310961781294125,0.41549957188635983,0.3093913551749687,0.4045977011494253,0.0,0.14,0.0,0.059995148282165366,0.25153301257247634,1.232554905688428,1.1997198972527265,calm,0.48288374127145817,0.8270396206056635,0.48288374127145817,0.44101235906902403,0.07610389965951778
2016-10-14,0.17985570442529195,0.40393788270797026,0.4100630160657002,0.37356321839080453,0.0,0.21999999999999986,0.0,0.05640100304953243,0.2826026573503518,1.2118713666211902,1.196945091849913,calm,0.5303471636809535,0.8372309150916312,0.5303471636809535,0.3803277033083989,0.08932513301064772
2016-10-21,0.18780087219943808,0.40054367728468165,0.3266911319215568,0.3390804597701149,0.0,0.3000000000000001,0.0,0.05566432411849627,0.28779838150941134,1.208008113786955,1.1961304825483237,calm,0.5167794220429016,0.8382458593237698,0.5167794220429016,0.39588668694982054,0.08733389100727786
2016-10-28,0.21729398568723635,0.4343186879067269,0.5500115886243743,0.5367816091954022,0.3333333333333333,0.039999999999999925,0.0,0.057567169506310883,0.3033935457973384,1.2088040654964223,1.2042364850976146,calm,0.5155013757396155,0.8620875080371332,0.5155013757396155,0.37858055221597153,0.1059180720444129
2016-11-04,0.4420283048539557,0.43886142960127816,0.7074575549074623,0.5428160919540229,0.3333333333333333,0.54,0.3144817378162673,0.09081217101170747,0.44135616156757956,1.1323489544985055,1.4003054205503926,recovery,0.4755732075227906,0.933585921212549,0.3497756640109203,0.4755732075227906,0.17465112846628902
2016-11-11,0.17657350223486618,0.43000400903760905,0.5491562552023315,0.378704844006568,0.0,0.16666666666666674,0.35,0.10817172579201761,0.27861982943216346,1.2215176179748242,1.4202009621690264,recovery,0.467638881906206,0.8778106987146976,0.4207825721700712,0.467638881906206,0.11157854592372281
2016-11-18,0.23604036049395827,0.4068880921871429,0.24269776983587876,0.4462643678160919,0.3333333333333333,0.27333333333333326,0.35,0.10288679119401639,0.31726133651488314,1.193349476270579,1.4146531421249144,recovery,0.5537277489379554,0.8250397893176398,0.36005775264488654,0.5537277489379554,0.08621449841715795
2016-11-25,0.26243195862827934,0.412676477648088,0.2026744682962782,0.49454022988505736,0.3333333333333333,0.33999999999999997,0.35,0.10214604983339484,0.33313196120866856,1.1860861990520486,1.4160423546355414,recovery,0.657804995201757,0.7705508805634302,0.24515087343808334,0.657804995201757,0.09704413136015981
2016-12-02,0.11780449691328072,0.3833584211837605,0.15716590974498135,0.5278735632183909,0.0,0.07333333333333336,0.35,0.10644561727271203,0.24538491324478282,1.2266735891448537,1.4090060210841027,recovery,0.6601201626987353,0.7696882917450876,0.24134365154363724,0.6601201626987353,0.09853618575762743
2016-12-09,0.12501018384114823,0.4117638877876443,0.2647161505963501,0.3589080459770115,0.0,0.17333333333333334,0.35,0.10892587958670702,0.24801013281813714,1.2334462012177771,1.4158233330690349,recovery,0.6320957941182357,0.795363711915801,0.2671668551165225,0.6320957941182357,0.10073735076524182
2016-12-16,0.2693485863845544,0.3673267289243281,0.22529872086547512,0.6195402298850574,0.3333333333333333,0.21333333333333337,0.0,0.048265243573205094,0.34149545834914635,1.1688853545627373,1.1881584149418387,recovery,0.5309983803524482,0.8697226229748513,0.35126966485051786,0.5309983803524482,0.1177319547970339
2016-12-23,0.22090116052612868,0.3705543368649058,0.2495102391281007,0.5678160919540229,0.3333333333333333,0.11333333333333329,0.1,0.06501037566018415,0.31083782370415985,1.186740413082244,1.2509330408475776,calm,0.5129833403285866,0.9010624334935836,0.5129833403285866,0.34137406359097006,0.14564259608044344
2016-12-30,0.4983164136655586,0.36757245386679005,0.13768268155789853,0.7735632183908044,1.0,0.48000000000000004,0.0,0.03684142470340108,0.48510636367971505,1.0895595166829046,1.1882173889280296,recovery,0.5682424668676292,0.7625169053380493,0.38218535345287297,0.5682424668676292,0.049572179679497855
2017-01-06,0.23406593132601292,0.374787280106584,0.17603206579467706,0.4229885057471263,0.3333333333333333,0.2799999999999999,0.0,0.050775431444357755,0.3187338788735621,1.1835565032429278,1.1899489472255802,recovery,0.5490995365369306,0.7271895603092672,0.420786434499193,0.5490995365369306,0.030114028963876445
