name,state,n_weeks,ann_return,sharpe,avg_BIL,avg_SPY,avg_offense,avg_defense,avg_cash,bucket_offense,bucket_defense,bucket_composite,bucket_cash,ann_return_delta_vs_prod,sharpe_delta_vs_prod
improved_phasett_recovery_two_stage_bucket,neutral_mixed,200,0.12207222740050061,1.7183739038039578,0.3858152018183903,0.06584698451004758,0.38472275103335507,0.22946204714825427,0.3858152018183903,0.345117199335464,0.11666645657294561,0.20529032228722477,0.3329260218043655,-0.00020824910929391482,-0.012943657373608364
improved_phasett_recovery_two_stage_bucket,recovery_confirmed,44,0.03397898380995728,0.48516798272000905,0.10826933583882555,0.0742493837375198,0.49059268187966387,0.40113798228151026,0.10826933583882555,0.5143920408894425,0.18914010099062348,0.2311738539626152,0.06529400415731872,0.0059011401067259744,0.0673130987971714
improved_phasett_recovery_two_stage_bucket,recovery_fragile,49,0.07771413801342508,1.4541296762580584,0.21584466752502793,0.07287837184038055,0.47207824687100014,0.31207708560397146,0.21584466752502793,0.4400706321343868,0.19559568240010883,0.2368426911058889,0.12749099435961536,0.008884049108728517,0.14090975702965314
improved_phasett_recovery_two_stage_bucket,stressed_panic,229,0.03505353540753568,0.5144116964974362,0.6077673928633668,0.02791312200959811,0.21435590888596845,0.17787669825066438,0.6077673928633668,0.2392090114778897,0.07826913508380574,0.17269418503007983,0.5098276684082245,-0.0003943263249142903,-0.009328387855380593
improved_phasett_recovery_neutral_two_stage_bucket,calm_trend,295,0.039343210967982524,0.4218590329460151,0.06689768505995052,0.09712680609104837,0.6967368949650213,0.23636541997502766,0.06689768505995052,0.49265326099450163,0.17001800216606977,0.3036977487677824,0.03363098807164612,7.190012126315898e-05,-0.0029615408775462426
improved_phasett_recovery_neutral_two_stage_bucket,neutral_healthy_proxy,293,0.1011373285783719,1.240600855671172,0.19867280661650014,0.09664742964761747,0.5496537049374312,0.25167348844606835,0.19867280661650014,0.4565905746091972,0.17130848933319115,0.22355107479544334,0.148549861262168,0.003384538777692611,-0.0040345271293891205
improved_phasett_recovery_neutral_two_stage_bucket,neutral_mixed,200,0.12359142873151688,1.727950876154946,0.38313963831875847,0.0673440270646233,0.3877421823449974,0.22911817933624384,0.38313963831875847,0.348108951540709,0.12033448615392596,0.19968954013887966,0.3318670221664853,0.001310952221722353,-0.003366685022620164
improved_phasett_recovery_neutral_two_stage_bucket,recovery_confirmed,44,0.03085703975652314,0.4359964814537089,0.10195761972743106,0.07683599369424089,0.4941697437235923,0.40387263654897615,0.10195761972743106,0.5176284386745974,0.19906405863136714,0.22152659746510428,0.061780905228931225,0.002779196053291834,0.018141597530871245
improved_phasett_recovery_neutral_two_stage_bucket,recovery_fragile,49,0.07963171459367574,1.4800948401749028,0.21341140975899284,0.07418933206124,0.47551790118521237,0.31107068905579444,0.21341140975899284,0.4387309636702334,0.20052182711390146,0.2342287392008957,0.12651847001496927,0.010801625688979175,0.16687492094649747
improved_phasett_recovery_neutral_two_stage_bucket,stressed_panic,229,0.03489562230620249,0.5057084023958528,0.6051491395473017,0.02916947275171278,0.21714534715632847,0.17770551329636958,0.6051491395473017,0.24125299722778404,0.08011864384083063,0.16932330446083918,0.5093050544705459,-0.0005522394262474847,-0.01803168195696403
improved_phasett_ss1_overlay_coordinated,calm_trend,295,0.03853240787738393,0.41448416364608287,0.06936659903070704,0.0959694542038676,0.6940027397889718,0.23663066118032075,0.06936659903070704,0.48911372296027567,0.16705874329929107,0.3086790132730366,0.03514852046739657,-0.0007389029693354379,-0.010336410177478494
improved_phasett_ss1_overlay_coordinated,neutral_healthy_proxy,293,0.09885450063331463,1.2556067965772595,0.21469935273814583,0.08923169416938609,0.5310556590774765,0.25424498818437724,0.21469935273814583,0.43433097066733317,0.15730046042003995,0.2513690330027852,0.15699953590984148,0.0011017108326353414,0.010971413776698302
improved_phasett_ss1_overlay_coordinated,neutral_mixed,200,0.12195430613269698,1.7190077312520915,0.3862894775380521,0.0652116416498026,0.38371024711629104,0.2300002753456566,0.3862894775380521,0.3463388784377291,0.11336394207411299,0.2074308307400352,0.3328663487481225,-0.00032617037709754826,-0.012309829925474691
improved_phasett_ss1_overlay_coordinated,recovery_confirmed,44,0.03246771095964306,0.4682164113493435,0.1112037849873439,0.07209392210698586,0.48809609489308836,0.40070012011956746,0.1112037849873439,0.4942381848738297,0.1952981616959477,0.24497931731672215,0.06548433611350031,0.004389867256411759,0.05036152742650585
improved_phasett_ss1_overlay_coordinated,recovery_fragile,49,0.07576467357262473,1.4293084549852477,0.21885252046895567,0.06815532206122397,0.46429141192954715,0.31685606760149676,0.21885252046895567,0.45595208232639833,0.16668147679072728,0.2506235903737754,0.12674285050909886,0.006934584667928165,0.11608853575684241
improved_phasett_ss1_overlay_coordinated,stressed_panic,229,0.035302008373586956,0.5190003362859539,0.6081124210770839,0.02761202264289721,0.2139379064904089,0.1779496724325068,0.6081124210770839,0.24035749809745813,0.07620082928515771,0.17361211351593425,0.5098295591014496,-0.00014585335886301704,-0.004739748066862948
