Date,control_weight,valuation_weight,gross_return,turnover,cost,net_return,wealth,drawdown
2024-09-27,1.0,0.0,0.0134655963581293,0.5,0.0025,0.0109655963581293,1.4824678583742843,-0.03033821596342756
2024-10-04,1.0,0.0,0.0132705288376056,0.0,0.0,0.0132705288376056,1.5021409908396637,-0.017470291295646145
2024-10-11,1.0,0.0,0.0080704536880402,0.0,0.0,0.0080704536880402,1.5142639501391422,-0.009540830784423915
2024-10-18,1.0,0.0,-0.0183542298670768,0.0,0.0,-0.0183542298670768,1.4864708015188606,-0.027719946050160593
2024-10-25,1.0,0.0,-0.0218176921793079,0.0,0.0,-0.0218176921793079,1.454039439137793,-0.04893285297931893
2024-11-01,1.0,0.0,0.0553684542342047,0.0,0.0,0.0553684542342047,1.5345473552784228,0.0
2024-11-08,1.0,0.0,-0.0341649028917308,0.0,0.0,-0.0341649028917308,1.4821196939025731,-0.0341649028917308
2024-11-15,1.0,0.0,0.0365984537050152,0.0,0.0,0.0365984537050152,1.536362982905158,0.0
2024-11-22,1.0,0.0,0.0087255074340575,0.0,0.0,0.0087255074340575,1.5497685295339076,0.0
2024-11-29,1.0,0.0,0.0098062775157314,0.0,0.0,0.0098062775157314,1.5649659898196642,0.0
2024-12-06,1.0,0.0,-0.0212135439680537,0.0,0.0,-0.0212135439680537,1.531767514986116,-0.02121354396805364
2024-12-13,1.0,0.0,-0.0192339159906946,0.0,0.0,-0.0192339159906946,1.5023056272855981,-0.04003944043620178
2024-12-20,1.0,0.0,0.0098611310469951,0.0,0.0,0.0098611310469951,1.5171200599488996,-0.030573143558396354
2024-12-27,1.0,0.0,0.0082189396844221,0.0,0.0,0.0082189396844221,1.5295891782156465,-0.022605482696843926
2025-01-03,1.0,0.0,-0.0296803470403339,0.0,0.0,-0.0296803470403339,1.484190440577067,-0.051614891165721266
2025-01-10,0.5,0.5,0.03571284311921025,0.5,0.0025,0.033212843119210245,1.5334846248389846,-0.02011632532941321
2025-01-17,1.0,0.0,0.0141863720067834,0.5,0.0025,0.011686372006783399,1.5514054966315358,-0.008665040183838735
2025-01-24,1.0,0.0,-0.0202008590249882,0.0,0.0,-0.0202008590249882,1.5200657729034903,-0.028690857953627358
2025-01-31,1.0,0.0,-0.0023608551293111,0.0,0.0,-0.0023608551293111,1.516477117826641,-0.03098397812377429
2025-02-07,1.0,0.0,0.0276022801329844,0.0,0.0,0.0276022801329844,1.5583353440481529,-0.004236926434596389
2025-02-14,1.0,0.0,-0.0354150238045976,0.0,0.0,-0.0354150238045976,1.5031468607431417,-0.03950189938865445
2025-02-21,1.0,0.0,-0.0390640684073092,0.0,0.0,-0.0390640684073092,1.4444278289488395,-0.07702286289602667
2025-02-28,1.0,0.0,-0.0180863163766438,0.0,0.0,-0.0180863163766438,1.418303450251242,-0.09371611940609814
2025-03-07,1.0,0.0,0.0011182940805882,0.0,0.0,0.0011182940805882,1.419889530604136,-0.09270262750709735
2025-03-14,0.5,0.5,0.00731371318110055,0.5,0.0025,0.00481371318110055,1.4267244715533118,-0.08833515818595028
2025-03-21,0.5,0.5,-0.014711578269797451,0.0,0.0,-0.014711578269797451,1.40573510282062,-0.10174718686212014
2025-03-28,0.5,0.5,-0.13077537588170846,0.0,0.0,-0.13077537588170846,1.2218995663591412,-0.21921653613702852
2025-04-04,0.5,0.5,0.0534369306729846,0.0,0.0,0.0534369306729846,1.2871941287760245,-0.1774938643079702
2025-04-11,0.5,0.5,0.004484380799150549,0.0,0.0,0.004484380799150549,1.292966397411887,-0.1738054335858893
2025-04-18,0.5,0.5,0.0379919212022816,0.0,0.0,0.0379919212022816,1.3420886748995575,-0.1424167147209311
2025-04-25,0.5,0.5,0.02793965359285025,0.0,0.0,0.02793965359285025,1.3795861675671386,-0.11845613480321537
2025-05-02,0.5,0.5,0.02189364047312805,0.0,0.0,0.02189364047312805,1.409790331121554,-0.09915593035730541
2025-05-09,0.5,0.5,0.0741245041303714,0.0,0.0,0.0741245041303714,1.5142903403437311,-0.032381310396255025
2025-05-16,1.0,0.0,-0.02724023061287,0.5,0.0025,-0.029740230612869997,1.4692549964070671,-0.061158513370393464
2025-05-23,0.5,0.5,0.00923720145855575,0.5,0.0025,0.006737201458555749,1.4791536633118512,-0.05483334913731985
2025-05-30,0.5,0.5,0.02682591748839085,0.0,0.0,0.02682591748839085,1.518833317436506,-0.02947838654849877
2025-06-06,0.5,0.5,0.01187753716733525,0.0,0.0,0.01187753716733525,1.5368733166153452,-0.01795098001302642
2025-06-13,1.0,0.0,-0.0007127879517393,0.5,0.0025,-0.0032127879517393,1.5319356685403738,-0.021106095272457992
2025-06-20,1.0,0.0,0.0288432793739545,0.0,0.0,0.0288432793739545,1.5761217170110096,0.0
2025-06-27,1.0,0.0,0.0123277375107118,0.0,0.0,0.0123277375107118,1.5955517318232537,0.0
2025-07-04,1.0,0.0,-0.0036328235585173,0.0,0.0,-0.0036328235585173,1.589755373903053,-0.0036328235585173507
2025-07-11,1.0,0.0,0.0131683085589853,0.0,0.0,0.0131683085589853,1.6106897631999135,0.0
2025-07-18,1.0,0.0,0.0003097693884164,0.0,0.0,0.0003097693884164,1.6111887055827885,0.0
2025-07-25,1.0,0.0,-0.0224232036872713,0.0,0.0,-0.0224232036872713,1.5750606930588746,-0.022423203687271243
2025-08-01,1.0,0.0,0.0382124475688314,0.0,0.0,0.0382124475688314,1.6352476172101142,0.0
2025-08-08,1.0,0.0,-0.0029025056756042,0.0,0.0,-0.0029025056756042,1.6305013017201435,-0.002902505675604239
