decision_date,realization_date,cost_bps,gross_return,turnover,cost,net_return
2014-03-07,2014-03-14,10.0,-0.02085424200279713,0.6338152324287898,0.0006338152324287898,-0.02148805723522592
2014-03-14,2014-03-21,10.0,-0.0017151685041488897,0.0,0.0,-0.0017151685041488897
2014-03-21,2014-03-28,10.0,-0.0020382794691178804,0.0,0.0,-0.0020382794691178804
2014-03-28,2014-04-04,10.0,0.00576480806505825,0.0,0.0,0.00576480806505825
2014-04-04,2014-04-11,10.0,-0.006879889869401593,1.0,0.001,-0.007879889869401593
2014-04-11,2014-04-18,10.0,0.004335816080831279,0.0,0.0,0.004335816080831279
2014-04-18,2014-04-25,10.0,0.002353567392339698,0.0,0.0,0.002353567392339698
2014-04-25,2014-05-02,10.0,-0.001920949575398163,0.0,0.0,-0.001920949575398163
2014-05-02,2014-05-09,10.0,-0.0009789823201255508,0.865609184517938,0.0008656091845179381,-0.001844591504643489
2014-05-09,2014-05-16,10.0,0.00019136706813187797,0.0,0.0,0.00019136706813187797
2014-05-16,2014-05-23,10.0,0.0039005756981026355,0.0,0.0,0.0039005756981026355
2014-05-23,2014-05-30,10.0,0.006329922985461289,0.0,0.0,0.006329922985461289
2014-05-30,2014-06-06,10.0,0.012398578178768105,0.0,0.0,0.012398578178768105
2014-06-06,2014-06-13,10.0,-0.0003971836101795134,0.6099851379569883,0.0006099851379569882,-0.0010071687481365017
2014-06-13,2014-06-20,10.0,0.0097457067643776,0.0,0.0,0.0097457067643776
2014-06-20,2014-06-27,10.0,-0.005155951223382738,0.0,0.0,-0.005155951223382738
2014-06-27,2014-07-04,10.0,0.007703465912787838,0.0,0.0,0.007703465912787838
2014-07-04,2014-07-11,10.0,-0.006086317012803862,0.6237051225409679,0.0006237051225409678,-0.00671002213534483
2014-07-11,2014-07-18,10.0,0.003523999920093991,0.0,0.0,0.003523999920093991
2014-07-18,2014-07-25,10.0,0.003745509819908499,0.0,0.0,0.003745509819908499
