label,ann_return,ann_vol,sharpe,sortino,calmar,max_drawdown,avg_drawdown,cvar_5pct,hit_rate,n_weeks,avg_turnover,ann_turnover,ann_cost_drag,state,variant,period,family,tilt_size,bucket_type
recovery_confirmed,0.003784,0.075006,0.050455,0.069096,0.0701,-0.053987,-0.016707,-0.025075,0.5,34,0.093248,4.848897,0.004849,recovery_confirmed,familyB_tilt2pct_intuitive,dev,B,0.025,intuitive
recovery_fragile,0.058582,0.059988,0.976562,1.301171,1.871523,-0.031302,-0.00847,-0.017121,0.577778,45,0.112377,5.843599,0.005844,recovery_fragile,familyB_tilt2pct_intuitive,dev,B,0.025,intuitive
stressed_panic,0.035211,0.07464,0.471747,0.534221,0.289292,-0.121714,-0.026413,-0.022612,0.553488,215,0.055016,2.860844,0.002861,stressed_panic,familyB_tilt2pct_intuitive,dev,B,0.025,intuitive
calm_trend,0.102609,0.065412,1.568656,2.206997,3.759908,-0.02729,-0.007953,-0.01894,0.555556,18,0.069682,3.623475,0.003623,calm_trend,familyB_tilt2pct_intuitive,holdout,B,0.025,intuitive
neutral_mixed,0.22247,0.092791,2.397549,3.723613,4.603998,-0.048321,-0.006782,-0.02561,0.637931,58,0.076382,3.971873,0.003972,neutral_mixed,familyB_tilt2pct_intuitive,holdout,B,0.025,intuitive
recovery_confirmed,0.108772,0.076377,1.424149,1.931302,6.738928,-0.016141,-0.004542,-0.016141,0.6,10,0.121674,6.327047,0.006327,recovery_confirmed,familyB_tilt2pct_intuitive,holdout,B,0.025,intuitive
recovery_fragile,0.157405,0.032087,,,86.422024,-0.001821,-0.000596,,,4,0.182906,9.511104,0.009511,recovery_fragile,familyB_tilt2pct_intuitive,holdout,B,0.025,intuitive
stressed_panic,0.075729,0.074449,1.017195,1.132318,2.891222,-0.026193,-0.003696,-0.026193,0.857143,14,0.07924,4.120458,0.00412,stressed_panic,familyB_tilt2pct_intuitive,holdout,B,0.025,intuitive
calm_trend,0.038596,0.077447,0.498362,0.646333,0.272443,-0.141668,-0.061983,-0.026405,0.559567,277,0.070992,3.691564,0.003692,calm_trend,familyB_tilt5pct_data,dev,B,0.05,data
neutral_mixed,0.094791,0.07309,1.296913,1.586985,1.151199,-0.082341,-0.016876,-0.024044,0.531034,435,0.072029,3.745498,0.003745,neutral_mixed,familyB_tilt5pct_data,dev,B,0.05,data
recovery_confirmed,0.003862,0.075017,0.051481,0.07051,0.071561,-0.053967,-0.016699,-0.025075,0.5,34,0.091758,4.771433,0.004771,recovery_confirmed,familyB_tilt5pct_data,dev,B,0.05,data
recovery_fragile,0.058614,0.059978,0.977265,1.301069,1.872556,-0.031302,-0.008486,-0.017121,0.577778,45,0.111755,5.811285,0.005811,recovery_fragile,familyB_tilt5pct_data,dev,B,0.05,data
stressed_panic,0.035183,0.074635,0.471405,0.53381,0.289032,-0.121728,-0.026417,-0.022613,0.553488,215,0.055548,2.888503,0.002889,stressed_panic,familyB_tilt5pct_data,dev,B,0.05,data
calm_trend,0.102531,0.065409,1.567536,2.205311,3.757035,-0.02729,-0.007953,-0.01894,0.555556,18,0.07119,3.701877,0.003702,calm_trend,familyB_tilt5pct_data,holdout,B,0.05,data
neutral_mixed,0.220759,0.092581,2.384506,3.706766,4.514758,-0.048897,-0.00677,-0.025501,0.637931,58,0.083022,4.317154,0.004317,neutral_mixed,familyB_tilt5pct_data,holdout,B,0.05,data
recovery_confirmed,0.108772,0.076377,1.424149,1.931302,6.738928,-0.016141,-0.004542,-0.016141,0.6,10,0.121674,6.327047,0.006327,recovery_confirmed,familyB_tilt5pct_data,holdout,B,0.05,data
