decision_at,event_time,cik10,company_name_as_filed,sector,market_cap,score
2023-08-25,2023-08-03 00:00:00+00:00,0000275880,PARSONS CORP,technology,5047834016.640137,0.3358555370016875
2023-08-25,2023-08-04 00:00:00+00:00,0001104485,"NORTHERN OIL & GAS, INC.",energy,2929682947.309059,0.32487941732330283
2023-08-25,2023-08-09 00:00:00+00:00,0001503274,QUANTERIX CORP,technology,843566675.1094093,0.3201331423786441
2023-08-25,2023-07-28 00:00:00+00:00,0001575828,EXPRO GROUP HOLDINGS N.V.,energy,1924253160.115675,0.30859884131287557
2023-08-25,2023-08-01 00:00:00+00:00,0000844965,TETRA TECHNOLOGIES INC,energy,437369932.7285843,0.2972174993640838
2023-08-25,2023-08-02 00:00:00+00:00,0001451505,TRANSOCEAN LTD.,energy,5372800977.886036,0.29609108780186383
2023-08-25,2023-08-02 00:00:00+00:00,0000889900,PATTERSON UTI ENERGY INC,energy,2492721469.518056,0.28678095453100444
2023-08-25,2023-07-29 00:00:00+00:00,0000073756,OCEANEERING INTERNATIONAL INC,energy,1884399712.6814344,0.2800173654119774
2023-08-25,2023-07-28 00:00:00+00:00,0000866829,HELIX ENERGY SOLUTIONS GROUP INC,energy,1118078718.357934,0.2650095039988179
2023-08-25,2023-07-29 00:00:00+00:00,0001163739,NABORS INDUSTRIES LTD,energy,887459115.1751099,0.26228060035579015
2023-08-25,2023-08-09 00:00:00+00:00,0001760717,SCIPLAY CORP,technology,432960000.0,0.2556731365157732
2023-08-25,2023-08-10 00:00:00+00:00,0001459200,"ALARM.COM HOLDINGS, INC.",technology,2575700724.009781,0.24925624407993574
2023-08-25,2023-08-10 00:00:00+00:00,0001625641,"CS DISCO, INC.",technology,490331992.16856,0.24891580749014333
2023-08-25,2023-08-10 00:00:00+00:00,0001855747,"BLEND LABS, INC.",technology,230695835.50500867,0.24862648723062747
2023-08-25,2023-08-01 00:00:00+00:00,0000718877,"ACTIVISION BLIZZARD, INC.",technology,66273180686.1,0.2405409782281213
2023-08-25,2023-08-09 00:00:00+00:00,0001831915,"CYTEK BIOSCIENCES, INC.",technology,1158593407.864727,0.2342490840819967
2023-08-25,2023-08-05 00:00:00+00:00,0001626450,"BIGCOMMERCE HOLDINGS, INC.",technology,741770943.5307455,0.23220870113301467
2023-08-25,2023-08-09 00:00:00+00:00,0001496963,"SQUARESPACE, INC.",technology,4255301419.4,0.2259434115945501
2023-08-25,2023-08-08 00:00:00+00:00,0001719489,"KALEYRA, INC.",technology,88959878.3,0.2178571149163658
2023-08-25,2023-08-03 00:00:00+00:00,0001466258,TRANE TECHNOLOGIES PLC,technology,43617194048.19383,0.20993772343950354
2023-08-25,2023-08-09 00:00:00+00:00,0001522540,"MARQETA, INC.",technology,10514215405.324743,0.20698428351863782
2023-08-25,2023-07-28 00:00:00+00:00,0001035002,VALERO ENERGY CORP/TX,energy,42405939220.962166,0.20289602683178534
2023-08-25,2023-08-09 00:00:00+00:00,0001710366,CONSOL ENERGY INC.,energy,2300064463.119324,0.19948036114870793
2023-08-25,2023-08-09 00:00:00+00:00,0001835681,"POWERSCHOOL HOLDINGS, INC.",technology,3839937866.82,0.19874648682896232
2023-09-01,2023-08-05 00:00:00+00:00,0001171486,NATURAL RESOURCE PARTNERS LP,energy,666351040.2868271,0.5830373230373229
2023-09-01,2023-08-09 00:00:00+00:00,0000350868,"ITERIS, INC.",technology,168574677.48,0.41647667553450207
2023-09-01,2023-08-09 00:00:00+00:00,0001162194,STANDARD BIOTOOLS INC.,technology,151282937.8085461,0.4070553809012023
2023-09-01,2023-08-29 00:00:00+00:00,0001045810,NVIDIA CORP,technology,104485935401.91647,0.3186144687613869
2023-09-01,2023-08-04 00:00:00+00:00,0001104485,"NORTHERN OIL & GAS, INC.",energy,2929682947.309059,0.30324831585120793
2023-09-01,2023-08-30 00:00:00+00:00,0001039065,OSI SYSTEMS INC,technology,1971046366.6896665,0.3019466585674213
2023-09-01,2023-08-09 00:00:00+00:00,0001503274,QUANTERIX CORP,technology,843566675.1094093,0.28024292996175737
2023-09-01,2023-08-09 00:00:00+00:00,0001036044,"IDENTIV, INC.",technology,193213750.164402,0.2419780659462823
2023-09-01,2023-08-10 00:00:00+00:00,0000002178,"ADAMS RESOURCES & ENERGY, INC.",energy,89094177.75,0.23902847501224783
2023-09-01,2023-08-04 00:00:00+00:00,0001841666,APA CORP,energy,10544831741.208117,0.23216237690097535
2023-09-01,2023-08-09 00:00:00+00:00,0001760717,SCIPLAY CORP,technology,432960000.0,0.22910447893053842
2023-09-01,2023-08-09 00:00:00+00:00,0001710366,CONSOL ENERGY INC.,energy,2300064463.119324,0.217085176122178
2023-09-01,2023-08-10 00:00:00+00:00,0001855747,"BLEND LABS, INC.",technology,230695835.50500867,0.2104464656251634
2023-09-01,2023-08-09 00:00:00+00:00,0001522540,"MARQETA, INC.",technology,10514215405.324743,0.20645466328216466
2023-09-01,2023-08-10 00:00:00+00:00,0001625641,"CS DISCO, INC.",technology,490331992.16856,0.20245362499398775
2023-09-01,2023-08-08 00:00:00+00:00,0000788965,HALLADOR ENERGY CO,energy,283984174.1573868,0.17737078849818494
2023-09-01,2023-08-04 00:00:00+00:00,0001743725,"GRID DYNAMICS HOLDINGS, INC.",technology,692794956.0,0.17630259451344582
2023-09-01,2023-08-10 00:00:00+00:00,0001459200,"ALARM.COM HOLDINGS, INC.",technology,2575700724.009781,0.17041719985935727
2023-09-01,2023-08-09 00:00:00+00:00,0001454938,OUTBRAIN INC.,technology,251668503.1825981,0.16625021986361355
2023-09-01,2023-08-25 00:00:00+00:00,0001327811,"WORKDAY, INC.",technology,58464849642.02881,0.14801875186916302
2023-09-01,2023-08-09 00:00:00+00:00,0001835681,"POWERSCHOOL HOLDINGS, INC.",technology,3839937866.82,0.13884242417254272
2023-09-01,2023-08-04 00:00:00+00:00,0001680247,PROPETRO HOLDING CORP.,energy,949506437.7056332,0.13480141726493883
2023-09-01,2023-08-04 00:00:00+00:00,0001539838,"DIAMONDBACK ENERGY, INC.",energy,23788442007.8107,0.1302441824830535
2023-09-01,2023-08-09 00:00:00+00:00,0001538849,CROSSAMERICA PARTNERS LP,energy,747673143.9558029,0.12236470992387155
2023-09-01,2023-08-05 00:00:00+00:00,0001626450,"BIGCOMMERCE HOLDINGS, INC.",technology,741770943.5307455,0.09177224870615129
2023-09-01,2023-08-09 00:00:00+00:00,0001528129,"VITAL ENERGY, INC.",energy,839645971.5,0.09172544389233955
2023-09-01,2023-08-04 00:00:00+00:00,0001107843,"QUALYS, INC.",technology,4765830030.931778,0.086990546751747
2023-09-01,2023-08-05 00:00:00+00:00,0001534701,PHILLIPS 66,energy,43766286439.777,0.0850099877207494
2023-09-01,2023-08-10 00:00:00+00:00,0001840502,TABOOLA.COM LTD.,technology,926227555.0071896,0.0775692154306312
2023-09-01,2023-08-10 00:00:00+00:00,0000733269,"LIVERAMP HOLDINGS, INC.",technology,1896456935.3372097,0.07404576711502706
2023-11-10,2023-10-25 00:00:00+00:00,0000789019,MICROSOFT CORP,technology,2345947895221.5,0.5354829581405145
2023-11-10,2023-11-02 00:00:00+00:00,0001691303,"WARRIOR MET COAL, INC.",energy,2657085358.3680115,0.4597478238607271
2023-11-10,2023-11-01 00:00:00+00:00,0001361113,VARONIS SYSTEMS INC,technology,3348667092.246254,0.404557598955658
2023-11-10,2023-11-02 00:00:00+00:00,0001121788,GARMIN LTD,technology,20140703317.336216,0.373006331368013
2023-11-10,2023-11-07 00:00:00+00:00,0000788965,HALLADOR ENERGY CO,energy,477913453.7885646,0.3400526271114506
2023-11-10,2023-11-03 00:00:00+00:00,0000935036,"ACI WORLDWIDE, INC.",technology,2449913090.963777,0.33226648601691455
2023-11-10,2023-11-03 00:00:00+00:00,0001863105,"ENGAGESMART, INC.",technology,3010814729.37,0.31591490224498603
2023-11-10,2023-10-27 00:00:00+00:00,0000078749,AGILYSYS INC,technology,1677415307.7288208,0.3020800423168516
2023-11-10,2023-11-07 00:00:00+00:00,0001792849,"HIGHPEAK ENERGY, INC.",energy,2164369072.632719,0.3002202075573359
2023-11-10,2023-10-27 00:00:00+00:00,0001133421,NORTHROP GRUMMAN CORP /DE/,technology,66600613551.62403,0.2975057911938085
2023-11-10,2023-11-01 00:00:00+00:00,0001710366,CONSOL ENERGY INC.,energy,3355554964.842865,0.2859328579916815
2023-11-10,2023-11-08 00:00:00+00:00,0001408710,FABRINET,technology,6030118750.42688,0.2854174788699576
2023-11-10,2023-10-27 00:00:00+00:00,0001326801,"META PLATFORMS, INC.",technology,770939258056.6406,0.2769573613749002
2023-11-10,2023-11-08 00:00:00+00:00,0001286139,"LEGALZOOM.COM, INC.",technology,2098179762.641819,0.26441600630213924
2023-11-10,2023-11-02 00:00:00+00:00,0000874499,GULFPORT ENERGY CORP,energy,2216407253.483216,0.23747243222259032
2023-11-10,2023-10-28 00:00:00+00:00,0000202058,"L3HARRIS TECHNOLOGIES, INC. /DE/",technology,32931783581.66052,0.22941224061096444
2023-11-10,2023-11-02 00:00:00+00:00,0001273441,GRAN TIERRA ENERGY INC.,energy,231012163.60470057,0.228624783246632
2023-11-10,2023-10-26 00:00:00+00:00,0001564408,SNAP INC,technology,14849494845.695496,0.2086604746683216
2023-11-10,2023-11-03 00:00:00+00:00,0001529274,"ALKAMI TECHNOLOGY, INC.",technology,1716850056.018165,0.20857292422757637
2023-11-10,2023-11-08 00:00:00+00:00,0001829864,"TASKUS, INC.",technology,1001920283.226308,0.20666691274487636
2023-11-10,2023-11-04 00:00:00+00:00,0000917273,RAMBUS INC,technology,6088445145.95285,0.20352207452736443
2023-11-10,2023-11-03 00:00:00+00:00,0000780571,"ITRON, INC.",technology,2753980695.480164,0.2018578318613058
2023-11-10,2023-11-03 00:00:00+00:00,0001701732,ALTAIR ENGINEERING INC.,technology,5003924160.0,0.1877255681383942
2023-11-10,2023-11-09 00:00:00+00:00,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,179380557.90334976,0.18414795830355601
2023-11-10,2023-11-03 00:00:00+00:00,0001505155,"UPLAND SOFTWARE, INC.",technology,1508643237.913494,0.18058629643960444
2023-11-10,2023-11-03 00:00:00+00:00,0001688568,DXC TECHNOLOGY CO,technology,4273781840.656438,0.16833270947353068
2023-11-10,2023-11-03 00:00:00+00:00,0001587523,KNOWLES CORP,technology,1349844396.205593,0.16617325379448572
2023-11-10,2023-11-03 00:00:00+00:00,0001786842,VONTIER CORP,technology,4784509762.885599,0.16150580533725672
2023-11-10,2023-11-09 00:00:00+00:00,0001086600,ALLIANCE RESOURCE PARTNERS LP,energy,2864136182.9001102,0.15700059539401728
2023-11-10,2023-10-25 00:00:00+00:00,0000315852,RANGE RESOURCES CORP,energy,7822220875.972595,0.14443065104829805
2023-11-17,2023-11-08 00:00:00+00:00,0001784535,"PORCH GROUP, INC.",technology,79040733.57458735,0.5750681141591667
2023-11-17,2023-10-25 00:00:00+00:00,0000789019,MICROSOFT CORP,technology,2345947895221.5,0.5513829061624277
2023-11-17,2023-11-09 00:00:00+00:00,0001565687,"INTAPP, INC.",technology,2320946921.3758583,0.40509998149162263
2023-11-17,2023-11-01 00:00:00+00:00,0001361113,VARONIS SYSTEMS INC,technology,3348667092.246254,0.3896098714584615
2023-11-17,2023-11-03 00:00:00+00:00,0000935036,"ACI WORLDWIDE, INC.",technology,2449913090.963777,0.38390372875169093
2023-11-17,2023-11-02 00:00:00+00:00,0001121788,GARMIN LTD,technology,20140703317.336216,0.30546087258746973
2023-11-17,2023-11-03 00:00:00+00:00,0001863105,"ENGAGESMART, INC.",technology,3010814729.37,0.3011387372937519
2023-11-17,2023-10-27 00:00:00+00:00,0000078749,AGILYSYS INC,technology,1677415307.7288208,0.2995723030909606
2023-11-17,2023-11-08 00:00:00+00:00,0001327318,"TRUECAR, INC.",technology,186425611.74,0.2982882135286277
2023-11-17,2023-11-02 00:00:00+00:00,0001691303,"WARRIOR MET COAL, INC.",energy,2657085358.3680115,0.29096200980392156
2023-11-17,2023-11-08 00:00:00+00:00,0001829864,"TASKUS, INC.",technology,1001920283.226308,0.2838787866247042
2023-11-17,2023-11-09 00:00:00+00:00,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,179380557.90334976,0.28188725490196076
2023-11-17,2023-10-27 00:00:00+00:00,0001326801,"META PLATFORMS, INC.",technology,770939258056.6406,0.27065953957247274
2023-11-17,2023-11-04 00:00:00+00:00,0000917273,RAMBUS INC,technology,6088445145.95285,0.2690046645881156
2023-11-17,2023-11-02 00:00:00+00:00,0000874499,GULFPORT ENERGY CORP,energy,2216407253.483216,0.2668300653594771
2023-11-17,2023-11-08 00:00:00+00:00,0001408710,FABRINET,technology,6030118750.42688,0.2650536296153742
2023-11-17,2023-11-10 00:00:00+00:00,0001835591,VIZIO HOLDING CORP.,technology,1054374684.37,0.2620384544204519
2023-11-17,2023-11-03 00:00:00+00:00,0001701732,ALTAIR ENGINEERING INC.,technology,5003924160.0,0.2532820018371088
2023-11-17,2023-11-08 00:00:00+00:00,0001286139,"LEGALZOOM.COM, INC.",technology,2098179762.641819,0.2404091351248411
2023-11-17,2023-10-27 00:00:00+00:00,0001133421,NORTHROP GRUMMAN CORP /DE/,technology,66600613551.62403,0.21406536756834044
2023-11-17,2023-10-26 00:00:00+00:00,0001564408,SNAP INC,technology,14849494845.695496,0.20944396240358892
2023-11-17,2023-11-09 00:00:00+00:00,0001422930,"PUBMATIC, INC.",technology,629550919.8474885,0.20188204341673738
2023-11-17,2023-11-03 00:00:00+00:00,0001529274,"ALKAMI TECHNOLOGY, INC.",technology,1716850056.018165,0.20119626893536857
2023-11-17,2023-11-07 00:00:00+00:00,0000788965,HALLADOR ENERGY CO,energy,477913453.7885646,0.20044117647058823
2023-11-17,2023-11-08 00:00:00+00:00,0001494259,"CARGURUS, INC.",technology,1987434810.5678213,0.19528638566308715
2023-11-17,2023-11-09 00:00:00+00:00,0001086600,ALLIANCE RESOURCE PARTNERS LP,energy,2864136182.9001102,0.16770152505446623
2023-11-17,2023-10-20 00:00:00+00:00,0001694028,LIBERTY ENERGY INC.,energy,3206386199.2530823,0.14629629629629629
2023-11-17,2023-10-25 00:00:00+00:00,0000315852,RANGE RESOURCES CORP,energy,7822220875.972595,0.05257352941176471
2023-11-17,2023-11-09 00:00:00+00:00,0001539838,"DIAMONDBACK ENERGY, INC.",energy,27695398072.496822,0.045370370370370366
2023-11-17,2023-11-01 00:00:00+00:00,0000010254,EARTHSTONE ENERGY INC,energy,2845744000.0,0.03632897603485836
2023-11-24,2023-11-08 00:00:00+00:00,0001784535,"PORCH GROUP, INC.",technology,79040733.57458735,0.5850215131837169
2023-11-24,2023-11-02 00:00:00+00:00,0001691303,"WARRIOR MET COAL, INC.",energy,2657085358.3680115,0.4911171702658772
2023-11-24,2023-11-09 00:00:00+00:00,0001565687,"INTAPP, INC.",technology,2320946921.3758583,0.44817094824897347
2023-11-24,2023-11-09 00:00:00+00:00,0001507605,"MARATHON DIGITAL HOLDINGS, INC.",technology,1481263660.5,0.4094380107277865
2023-11-24,2023-11-01 00:00:00+00:00,0001361113,VARONIS SYSTEMS INC,technology,3348667092.246254,0.4036361541022691
2023-11-24,2023-11-01 00:00:00+00:00,0001710366,CONSOL ENERGY INC.,energy,3355554964.842865,0.3993933346981416
2023-11-24,2023-11-08 00:00:00+00:00,0001327318,"TRUECAR, INC.",technology,186425611.74,0.3993213530183818
2023-11-24,2023-11-09 23:59:59+00:00,0001158114,"APPLIED OPTOELECTRONICS, INC.",technology,352453460.16932774,0.39726932360774536
2023-11-24,2023-11-03 00:00:00+00:00,0000935036,"ACI WORLDWIDE, INC.",technology,2449913090.963777,0.32781560474290294
2023-11-24,2023-11-03 00:00:00+00:00,0001701732,ALTAIR ENGINEERING INC.,technology,5003924160.0,0.3263256320853465
2023-11-24,2023-10-27 00:00:00+00:00,0000078749,AGILYSYS INC,technology,1677415307.7288208,0.32625364181823463
2023-11-24,2023-11-08 00:00:00+00:00,0001500435,"GOPRO, INC.",technology,485324696.2141991,0.3175343892187432
2023-11-24,2023-11-22 00:00:00+00:00,0001045810,NVIDIA CORP,technology,107442531356.81152,0.3109864802936645
2023-11-24,2023-11-02 00:00:00+00:00,0001121788,GARMIN LTD,technology,20140703317.336216,0.30891233873968316
2023-11-24,2023-11-02 00:00:00+00:00,0000874499,GULFPORT ENERGY CORP,energy,2216407253.483216,0.3079115085889588
2023-11-24,2023-11-03 00:00:00+00:00,0001863105,"ENGAGESMART, INC.",technology,3010814729.37,0.3028235395828624
2023-11-24,2023-11-09 23:59:59+00:00,0001616543,"SENSEONICS HOLDINGS, INC.",technology,5954243812.87464,0.29388959620070815
2023-11-24,2023-11-03 00:00:00+00:00,0000780571,"ITRON, INC.",technology,2753980695.480164,0.28645918507388374
2023-11-24,2023-11-10 00:00:00+00:00,0001835591,VIZIO HOLDING CORP.,technology,1054374684.37,0.2815916906105198
2023-11-24,2023-11-08 00:00:00+00:00,0001829864,"TASKUS, INC.",technology,1001920283.226308,0.2804165249078171
2023-11-24,2023-11-03 00:00:00+00:00,0000772406,"CIRRUS LOGIC, INC.",technology,4046330397.351761,0.2696560940714255
2023-11-24,2023-11-04 00:00:00+00:00,0000917273,RAMBUS INC,technology,6088445145.95285,0.2684236075142106
2023-11-24,2023-10-27 00:00:00+00:00,0001326801,"META PLATFORMS, INC.",technology,770939258056.6406,0.26442220213602335
2023-11-24,2023-11-08 00:00:00+00:00,0001494259,"CARGURUS, INC.",technology,1987434810.5678213,0.25980364341111795
2023-11-24,2023-11-03 00:00:00+00:00,0001704715,"ALPHA METALLURGICAL RESOURCES, INC.",energy,3555047772.3950806,0.1920183715164249
2023-11-24,2023-11-07 00:00:00+00:00,0000788965,HALLADOR ENERGY CO,energy,477913453.7885646,0.17678029674710932
2023-11-24,2023-11-09 00:00:00+00:00,0000894627,VAALCO ENERGY INC /DE/,energy,467428809.2439451,0.16230099043338167
2023-11-24,2023-11-09 00:00:00+00:00,0001658566,PERMIAN RESOURCES CORP,energy,7900737545.189486,0.1373479079719038
2023-11-24,2023-11-09 00:00:00+00:00,0001539838,"DIAMONDBACK ENERGY, INC.",energy,27695398072.496822,0.12336987110423643
2023-11-24,2023-10-27 23:59:59+00:00,0001899883,FTAI INFRASTRUCTURE INC.,energy,320295183.5058753,0.114896905767732
2023-12-01,2023-11-08 00:00:00+00:00,0001784535,"PORCH GROUP, INC.",technology,79040733.57458735,0.5804009904787308
2023-12-01,2023-11-09 00:00:00+00:00,0001507605,"MARATHON DIGITAL HOLDINGS, INC.",technology,1481263660.5,0.4684562402858165
2023-12-01,2023-11-08 00:00:00+00:00,0001764046,CLARIVATE PLC,technology,4537532266.026292,0.4534854219576297
2023-12-01,2023-11-08 00:00:00+00:00,0001327318,"TRUECAR, INC.",technology,186425611.74,0.42382152050460037
2023-12-01,2023-11-09 00:00:00+00:00,0001565687,"INTAPP, INC.",technology,2320946921.3758583,0.39674938403894744
2023-12-01,2023-11-03 00:00:00+00:00,0000935036,"ACI WORLDWIDE, INC.",technology,2449913090.963777,0.3769691687757953
2023-12-01,2023-11-08 00:00:00+00:00,0001500435,"GOPRO, INC.",technology,485324696.2141991,0.36236402346494306
2023-12-01,2023-11-09 23:59:59+00:00,0001158114,"APPLIED OPTOELECTRONICS, INC.",technology,352453460.16932774,0.3506498459146272
2023-12-01,2023-11-04 00:00:00+00:00,0001299130,"PACIFIC BIOSCIENCES OF CALIFORNIA, INC.",technology,2092161842.1304035,0.3212751482382158
2023-12-01,2023-11-03 00:00:00+00:00,0001701732,ALTAIR ENGINEERING INC.,technology,5003924160.0,0.3065028210963202
2023-12-01,2023-11-03 00:00:00+00:00,0001863105,"ENGAGESMART, INC.",technology,3010814729.37,0.29194077680165165
2023-12-01,2023-11-10 00:00:00+00:00,0001835591,VIZIO HOLDING CORP.,technology,1054374684.37,0.28844493070596344
2023-12-01,2023-11-08 00:00:00+00:00,0001494259,"CARGURUS, INC.",technology,1987434810.5678213,0.2756129205598469
2023-12-01,2023-11-03 00:00:00+00:00,0000780571,"ITRON, INC.",technology,2753980695.480164,0.2666079638540793
2023-12-01,2023-11-09 00:00:00+00:00,0000894627,VAALCO ENERGY INC /DE/,energy,467428809.2439451,0.2625757575757576
2023-12-01,2023-11-04 00:00:00+00:00,0000917273,RAMBUS INC,technology,6088445145.95285,0.25698945901640363
2023-12-01,2023-11-03 00:00:00+00:00,0001582961,"DIGITALOCEAN HOLDINGS, INC.",technology,2135011709.7769144,0.2561254353241976
2023-12-01,2023-11-22 00:00:00+00:00,0001045810,NVIDIA CORP,technology,107442531356.81152,0.2545845780814585
2023-12-01,2023-11-03 00:00:00+00:00,0001865187,"ARIS WATER SOLUTIONS, INC.",energy,68183065.53709745,0.24979797979797977
2023-12-01,2023-11-03 00:00:00+00:00,0000772406,"CIRRUS LOGIC, INC.",technology,4046330397.351761,0.2407787819435785
2023-12-01,2023-11-08 00:00:00+00:00,0001829864,"TASKUS, INC.",technology,1001920283.226308,0.23520512916100592
2023-12-01,2023-11-08 00:00:00+00:00,0001286139,"LEGALZOOM.COM, INC.",technology,2098179762.641819,0.21376129070255606
2023-12-01,2023-11-09 00:00:00+00:00,0001422930,"PUBMATIC, INC.",technology,629550919.8474885,0.20005131028166678
2023-12-01,2023-11-03 00:00:00+00:00,0001704715,"ALPHA METALLURGICAL RESOURCES, INC.",energy,3555047772.3950806,0.12772166105499436
2023-12-01,2023-11-09 00:00:00+00:00,0001539838,"DIAMONDBACK ENERGY, INC.",energy,27695398072.496822,0.1248035914702581
2023-12-01,2023-11-03 00:00:00+00:00,0000007332,SOUTHWESTERN ENERGY CO,energy,7104436685.400001,0.09101010101010101
2023-12-01,2023-11-09 00:00:00+00:00,0001538849,CROSSAMERICA PARTNERS LP,energy,823584937.0785522,0.07138047138047138
2023-12-01,2023-11-03 00:00:00+00:00,0001038357,PIONEER NATURAL RESOURCES CO,energy,53517551671.15,0.011038961038961024
2023-12-01,2023-11-03 00:00:00+00:00,0001172358,"DORCHESTER MINERALS, L.P.",energy,1124677779.6126137,-0.03545454545454545
2023-12-01,2023-11-03 00:00:00+00:00,0001486159,CHORD ENERGY CORP,energy,6730887011.84021,-0.12508417508417508
2024-05-03,2024-05-02 00:00:00+00:00,0001705873,BERRY CORP (BRY),energy,614481543.5500001,0.6204178430265387
2024-05-03,2024-05-01 00:00:00+00:00,0001466258,TRANE TECHNOLOGIES PLC,technology,68167084416.67773,0.43347968936678616
2024-05-03,2024-05-02 00:00:00+00:00,0001121788,GARMIN LTD,technology,28549903132.37683,0.3877496969001418
2024-05-03,2024-04-27 00:00:00+00:00,0001433195,APPFOLIO INC,technology,8806397536.05652,0.3835636377279871
2024-05-03,2024-04-27 00:00:00+00:00,0001520006,MATADOR RESOURCES CO,energy,7980342186.68969,0.3770539876260701
2024-05-03,2024-04-27 00:00:00+00:00,0001564408,SNAP INC,technology,19455109304.229736,0.3609879436881661
2024-05-03,2024-05-02 00:00:00+00:00,0001280058,BLACKBAUD INC,technology,3964667161.3211975,0.35255235829345954
2024-05-03,2024-04-25 00:00:00+00:00,0000045012,HALLIBURTON CO,energy,35087803481.59529,0.3515002041775498
2024-05-03,2024-05-01 00:00:00+00:00,0001104485,"NORTHERN OIL & GAS, INC.",energy,4002645710.1440353,0.3427413494209833
2024-05-03,2024-05-02 00:00:00+00:00,0001274494,"FIRST SOLAR, INC.",technology,18036099541.277054,0.32671979742335694
2024-05-03,2024-05-02 00:00:00+00:00,0001410384,"Q2 HOLDINGS, INC.",technology,3104940611.286083,0.3078846572617429
2024-05-03,2024-04-27 00:00:00+00:00,0000073756,OCEANEERING INTERNATIONAL INC,energy,2359027507.7428384,0.29326232577491157
2024-05-03,2024-04-25 00:00:00+00:00,0000016058,CACI INTERNATIONAL INC /DE/,technology,8442267164.401489,0.2875
2024-05-03,2024-05-01 00:00:00+00:00,0001451505,TRANSOCEAN LTD.,energy,5080713882.621427,0.2829882116358089
2024-05-03,2024-04-25 00:00:00+00:00,0001433270,ANTERO RESOURCES CORP,energy,8803472000.0,0.2449573538589557
2024-05-03,2024-04-26 00:00:00+00:00,0001575828,EXPRO GROUP HOLDINGS N.V.,energy,2198292312.244241,0.21573975452465147
2024-05-03,2024-05-01 00:00:00+00:00,0001336920,"LEIDOS HOLDINGS, INC.",technology,17799308070.85135,0.1596351987216837
2024-05-03,2024-04-20 00:00:00+00:00,0000009092,BADGER METER INC,technology,4749466627.349548,0.15692745025336793
2024-05-03,2024-04-27 00:00:00+00:00,0000820313,AMPHENOL CORP /DE/,technology,34596628189.12207,0.14923255410185332
2024-05-03,2024-04-27 00:00:00+00:00,0001674101,VERTIV HOLDINGS CO,technology,31195527503.821182,0.11779536786906084
2024-05-03,2024-04-19 00:00:00+00:00,0001418819,IRIDIUM COMMUNICATIONS INC.,technology,3203197439.076164,0.10871880719906302
2024-05-03,2024-04-25 00:00:00+00:00,0000046765,"HELMERICH & PAYNE, INC.",energy,4156645585.797638,0.10109659524304833
2024-05-03,2024-05-01 00:00:00+00:00,0000106040,WESTERN DIGITAL CORP,technology,16807761715.940096,0.09944284802043421
2024-05-03,2024-05-01 00:00:00+00:00,0000935036,"ACI WORLDWIDE, INC.",technology,3533966200.936249,0.09741656661428628
2024-05-03,2024-04-05 00:00:00+00:00,0001177394,TD SYNNEX CORP,technology,10076542234.753197,0.03969865841528797
2024-05-03,2024-04-30 00:00:00+00:00,0001534701,PHILLIPS 66,energy,69880840666.12015,0.039550159984942566
2024-05-03,2024-05-02 00:00:00+00:00,0000026058,CTS CORP,technology,1440621970.398262,0.038655604993202336
2024-05-03,2024-05-01 00:00:00+00:00,0001510295,MARATHON PETROLEUM CORP,energy,72813784498.0,0.03150835586991194
2024-05-03,2024-04-06 00:00:00+00:00,0001023459,"SIMULATIONS PLUS, INC.",technology,821645249.0173416,0.016568666831458835
2024-05-03,2024-04-30 00:00:00+00:00,0001477294,SENSATA TECHNOLOGIES HOLDING PLC,technology,5528263607.018696,-0.0003284807928856597
2024-05-10,2024-05-09 00:00:00+00:00,0001751008,APPLOVIN CORP,technology,23526958619.54077,0.6267672780866268
2024-05-10,2024-05-08 00:00:00+00:00,0000004447,HESS CORP,energy,46883691048.96,0.605355478855393
2024-05-10,2024-05-03 00:00:00+00:00,0001273441,GRAN TIERRA ENERGY INC.,energy,230240012.83462763,0.5896422726209961
2024-05-10,2024-05-08 00:00:00+00:00,0001422930,"PUBMATIC, INC.",technology,1227747164.4592285,0.5071125581086338
2024-05-10,2024-05-08 00:00:00+00:00,0001039399,FORMFACTOR INC,technology,3540816580.6740685,0.5044013976130921
2024-05-10,2024-05-02 00:00:00+00:00,0001705873,BERRY CORP (BRY),energy,614481543.5500001,0.4667544748395812
2024-05-10,2024-05-01 00:00:00+00:00,0001506293,"PINTEREST, INC.",technology,23203277644.54651,0.45499063765003367
2024-05-10,2024-04-27 00:00:00+00:00,0001433195,APPFOLIO INC,technology,8806397536.05652,0.4245764883083475
2024-05-10,2024-05-07 00:00:00+00:00,0001384195,"RING ENERGY, INC.",energy,387951043.47059065,0.4027666837344257
2024-05-10,2024-05-03 00:00:00+00:00,0001005284,UNIVERSAL DISPLAY CORP PA,technology,7978735175.45166,0.39685548389419784
2024-05-10,2024-05-02 00:00:00+00:00,0001121788,GARMIN LTD,technology,28549903132.37683,0.37261667090621303
2024-05-10,2024-05-01 00:00:00+00:00,0001466258,TRANE TECHNOLOGIES PLC,technology,68167084416.67773,0.3702202608611213
2024-05-10,2024-05-03 00:00:00+00:00,0001090012,DEVON ENERGY CORP/DE,energy,31864300193.78662,0.3587577019310032
2024-05-10,2024-05-04 00:00:00+00:00,0000893538,SM ENERGY CO,energy,5769964842.384795,0.3498491981707112
