candidate,sleeve,family,holding_weeks,price_confirmation,breadth,market_cap_floor,sector_cap,allocation,cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown,sleeve_recent_cagr,sleeve_full_cagr,beats_control_both
quality_momentum__hold13__positive_8w__top10__floor100m__sector70__w0.40__50bps,quality_momentum__hold13__positive_8w__top10__floor100m__sector70,quality_momentum,13,positive_8w,10,100000000,0.7,0.4,50,1.02151960786485,3.226413728752381,-0.07870136584062115,0.30234851536531715,1.2960531095816679,-0.31683238729766805,0.9362185464497017,0.13970082762720448,False
balanced_filing_momentum__hold4__positive_8w__top30__floor100m__sector70__w0.30__50bps,balanced_filing_momentum__hold4__positive_8w__top30__floor100m__sector70,balanced_filing_momentum,4,positive_8w,30,100000000,0.7,0.3,50,1.021424798297664,2.974460918056307,-0.1136188681988256,0.3670267412770565,1.578196815429183,-0.24510819110117232,0.9023118315228187,0.2572636302479674,False
balanced_filing_momentum__hold13__positive_8w__top10__floor250m__sector60__w0.30__50bps,balanced_filing_momentum__hold13__positive_8w__top10__floor250m__sector60,balanced_filing_momentum,13,positive_8w,10,250000000,0.6,0.3,50,1.020965563440285,2.9340751208687723,-0.13036869868136414,0.37695612957648494,1.5508048073667224,-0.2606057911199563,0.8997722470846872,0.2795822666101515,False
quality_momentum__hold8__positive_8w__top20__floor50m__sector60__w0.10__50bps,quality_momentum__hold8__positive_8w__top20__floor50m__sector60,quality_momentum,8,positive_8w,20,50000000,0.6,0.1,50,1.020943449580527,2.7713766576925094,-0.10813168466855794,0.3946385046743406,1.6178627280216873,-0.21640605089164977,0.6947720136686277,0.23962617524434204,False
quality_momentum__hold13__positive_8w__top20__floor50m__sector60__w0.10__50bps,quality_momentum__hold13__positive_8w__top20__floor50m__sector60,quality_momentum,13,positive_8w,20,50000000,0.6,0.1,50,1.0208861106771079,2.771236750895544,-0.10903878881603823,0.3898403279990932,1.5999763448694357,-0.22036459332701275,0.6953156393453643,0.1990765091950637,False
quality_momentum__hold13__positive_8w__top10__floor50m__sector60__w0.20__50bps,quality_momentum__hold13__positive_8w__top10__floor50m__sector60,quality_momentum,13,positive_8w,10,50000000,0.6,0.2,50,1.020839754164176,2.9599458404037806,-0.09149867701434578,0.35633405548717656,1.506600530775361,-0.253629293769553,0.8533500590984351,0.1396081047387172,False
balanced_filing_momentum__hold13__positive_8w__top20__floor250m__sector70__w0.10__50bps,balanced_filing_momentum__hold13__positive_8w__top20__floor250m__sector70,balanced_filing_momentum,13,positive_8w,20,250000000,0.7,0.1,50,1.0208111090500998,2.7727458394087874,-0.10674420892521008,0.39128279427523127,1.6068953112785136,-0.21900049466785165,0.7177627634385078,0.21801419089110774,False
quality_momentum__hold8__positive_8w__top20__floor100m__sector60__w0.10__50bps,quality_momentum__hold8__positive_8w__top20__floor100m__sector60,quality_momentum,8,positive_8w,20,100000000,0.6,0.1,50,1.0207653518220159,2.769879711240054,-0.10813168466855805,0.38601619422410693,1.5927382558076855,-0.21790766442093368,0.69321105519096,0.16629888587161434,False
quality_momentum__hold8__positive_8w__top10__floor50m__sector70__w0.30__50bps,quality_momentum__hold8__positive_8w__top10__floor50m__sector70,quality_momentum,8,positive_8w,10,50000000,0.7,0.3,50,1.020635544916713,3.086318029807956,-0.08453540476091059,0.3816271700448901,1.5995416094137966,-0.26923480711216974,0.9000449756201201,0.2935461841522471,False
quality_momentum__hold8__positive_4w__top10__floor100m__sector60__w0.30__50bps,quality_momentum__hold8__positive_4w__top10__floor100m__sector60,quality_momentum,8,positive_4w,10,100000000,0.6,0.3,50,1.020364432551069,3.0330116886274254,-0.0906039674970116,0.34460612636603094,1.4562409801371714,-0.25112131581585606,0.9077808891571173,0.18198285559794414,False
