id,description,type,coverage,alphaCount
anl4_fs_detail_estimate_1qf_v4_nd_bvps_low,Book Value Per Share Low Estimate,MATRIX,0.4056,13
anl4_fs_detail_estimate_1qf_v4_nd_bvps_mean,Book Value Per Share Mean Estimate,MATRIX,0.4056,29
anl4_fs_detail_estimate_1qf_v4_nd_bvps_median,Book Value Per Share Median Estimate,MATRIX,0.4056,44
anl4_fs_detail_estimate_1qf_v4_nd_bvps_number,Number of Book Value Per Share Estimates,MATRIX,0.4056,386
anl4_fs_detail_estimate_1qf_v4_nd_capex_high,Capital Expenditure High Estimate,MATRIX,0.6442,18
anl4_fs_detail_estimate_1qf_v4_nd_capex_low,Capital Expenditure Low Estimate,MATRIX,0.6442,25
anl4_fs_detail_estimate_1qf_v4_nd_capex_mean,Capital Expenditure Mean Estimate,MATRIX,0.6442,12
anl4_fs_detail_estimate_1qf_v4_nd_capex_median,Capital Expenditure Median Estimate,MATRIX,0.6442,21
anl4_fs_detail_estimate_1qf_v4_nd_capex_number,Number of Capital Expenditure Estimates,MATRIX,0.6442,25
anl4_fs_detail_estimate_1qf_v4_nd_cff_high,Cash Flow from Financing High Estimate,MATRIX,0.5374,4
anl4_fs_detail_estimate_1qf_v4_nd_cff_low,Cash Flow from Financing Low Estimate,MATRIX,0.5374,5
anl4_fs_detail_estimate_1qf_v4_nd_cff_mean,Cash Flow from Financing Mean Estimate,MATRIX,0.5374,5
anl4_fs_detail_estimate_1qf_v4_nd_cff_median,Cash Flow from Financing Median Estimate,MATRIX,0.5374,8
anl4_fs_detail_estimate_1qf_v4_nd_cff_number,Number of Cash Flow from Financing Estimates,MATRIX,0.5374,24
anl4_fs_detail_estimate_1qf_v4_nd_cfi_high,Cash Flow from Investing High Estimate,MATRIX,0.5442,7
anl4_fs_detail_estimate_1qf_v4_nd_cfi_low,Cash Flow from Investing Low Estimate,MATRIX,0.5442,4
anl4_fs_detail_estimate_1qf_v4_nd_cfi_mean,Cash Flow from Investing Mean Estimate,MATRIX,0.5442,14
anl4_fs_detail_estimate_1qf_v4_nd_cfi_median,Cash Flow from Investing Median Estimate,MATRIX,0.5442,10
anl4_fs_detail_estimate_1qf_v4_nd_cfi_number,Number of Cash Flow from Investing Estimates,MATRIX,0.5442,4
anl4_fs_detail_estimate_1qf_v4_nd_cfo_high,Cash Flow from Operations High Estimate,MATRIX,0.6195,19
anl4_fs_detail_estimate_1qf_v4_nd_cfo_low,Cash Flow from Operations Low Estimate,MATRIX,0.6195,16
anl4_fs_detail_estimate_1qf_v4_nd_cfo_mean,Cash Flow from Operations Mean Estimate,MATRIX,0.6195,9
anl4_fs_detail_estimate_1qf_v4_nd_cfo_median,Cash Flow from Operations Median Estimate,MATRIX,0.6195,5
anl4_fs_detail_estimate_1qf_v4_nd_cfo_number,Number of Cash Flow from Operations Estimates,MATRIX,0.6195,89
anl4_fs_detail_estimate_1qf_v4_nd_cfo_std,Standard Deviation of Cash Flow from Operations Estimates,MATRIX,0.2734,129
anl4_fs_detail_estimate_1qf_v4_nd_ebit_high,High EBIT estimate,MATRIX,0.9061,15
anl4_fs_detail_estimate_1qf_v4_nd_ebit_low,Low EBIT estimate,MATRIX,0.9061,13
anl4_fs_detail_estimate_1qf_v4_nd_ebit_mean,Mean of analyst estimates for EBIT,MATRIX,0.9061,54
anl4_fs_detail_estimate_1qf_v4_nd_ebit_median,Median of EBIT (earnings before interest and taxes) estimates,MATRIX,0.9061,16
anl4_fs_detail_estimate_1qf_v4_nd_ebit_number,Number of EBIT estimates,MATRIX,0.9061,232
anl4_fs_detail_estimate_1qf_v4_nd_ebit_std,Standard deviation of analyst estimates for EBIT,MATRIX,0.6271,275
anl4_fs_detail_estimate_1qf_v4_nd_ebitda_high,High EBITDA estimate,MATRIX,0.7649,10
anl4_fs_detail_estimate_1qf_v4_nd_ebitda_low,Lowest estimate of EBITDA,MATRIX,0.7649,12
anl4_fs_detail_estimate_1qf_v4_nd_ebitda_mean,Mean of analyst estimates for EBITDA,MATRIX,0.7649,27
anl4_fs_detail_estimate_1qf_v4_nd_ebitda_median,Median of EBITDA estimates,MATRIX,0.7649,8
anl4_fs_detail_estimate_1qf_v4_nd_ebitda_number,Number of analyst estimates for EBITDA,MATRIX,0.7649,20
anl4_fs_detail_estimate_1qf_v4_nd_ebitda_std,Standard deviation of analyst estimates for EBITDA,MATRIX,0.4948,15
anl4_fs_detail_estimate_1qf_v4_nd_epsr_high,High estimated EPS growth rate,MATRIX,0.8623,51
anl4_fs_detail_estimate_1qf_v4_nd_epsr_low,Lowest analyst estimate for GAAP EPS (reported EPS),MATRIX,0.8623,63
anl4_fs_detail_estimate_1qf_v4_nd_epsr_mean,Mean estimated EPS growth rate,MATRIX,0.8623,169
anl4_fs_detail_estimate_1qf_v4_nd_epsr_median,Median of analyst estimates for GAAP EPS (reported EPS),MATRIX,0.8623,99
anl4_fs_detail_estimate_1qf_v4_nd_epsr_number,Number of EPS growth rate estimates,MATRIX,0.8623,1198
anl4_fs_detail_estimate_1qf_v4_nd_fcf_high,Highest analyst estimate for free cash flow,MATRIX,0.5519,24
anl4_fs_detail_estimate_1qf_v4_nd_fcf_low,Free Cash Flow - lowest estimate,MATRIX,0.5519,9
anl4_fs_detail_estimate_1qf_v4_nd_fcf_mean,Mean of analyst estimates for free cash flow,MATRIX,0.5519,28
anl4_fs_detail_estimate_1qf_v4_nd_fcf_median,Free Cash Flow - median (50th percentile) estimate,MATRIX,0.5519,32
anl4_fs_detail_estimate_1qf_v4_nd_fcf_number,Number of analyst estimates for free cash flow,MATRIX,0.5519,72
anl4_fs_detail_estimate_1qf_v4_nd_fcfps_high,Highest analyst estimate for free cash flow per share,MATRIX,0.3782,32
anl4_fs_detail_estimate_1qf_v4_nd_fcfps_low,Free Cash Flow per Share - lowest estimate,MATRIX,0.3782,219
anl4_fs_detail_estimate_1qf_v4_nd_fcfps_mean,Mean of analyst estimates for free cash flow per share,MATRIX,0.3782,136
anl4_fs_detail_estimate_1qf_v4_nd_fcfps_median,Median (50th percentile) of analyst estimates for free cash flow per share,MATRIX,0.3782,74
anl4_fs_detail_estimate_1qf_v4_nd_fcfps_number,Number of analyst estimates for free cash flow per share,MATRIX,0.3782,291
anl4_fs_detail_estimate_1qf_v4_nd_grossincome_high,Gross Income - highest estimate,MATRIX,0.6803,8
anl4_fs_detail_estimate_1qf_v4_nd_grossincome_low,Lowest analyst estimate for gross income,MATRIX,0.6803,7
anl4_fs_detail_estimate_1qf_v4_nd_grossincome_mean,Mean of analyst estimates for gross income,MATRIX,0.6803,13
anl4_fs_detail_estimate_1qf_v4_nd_grossincome_median,Median (50th percentile) of analyst estimates for gross income,MATRIX,0.6803,8
anl4_fs_detail_estimate_1qf_v4_nd_grossincome_number,Number of analyst estimates for gross income,MATRIX,0.6803,14
anl4_fs_detail_estimate_1qf_v4_nd_grossincome_std,Standard deviation of analyst estimates for gross income,MATRIX,0.4421,391
anl4_fs_detail_estimate_1qf_v4_nd_netdebt_high,Net debt highest analyst estimate,MATRIX,0.3728,3
anl4_fs_detail_estimate_1qf_v4_nd_netdebt_low,Lowest estimate of net debt,MATRIX,0.3728,3
anl4_fs_detail_estimate_1qf_v4_nd_netdebt_mean,Mean of analyst estimates for Net Debt,MATRIX,0.3728,5
anl4_fs_detail_estimate_1qf_v4_nd_netdebt_median,Median of Net Debt estimates,MATRIX,0.3728,7
anl4_fs_detail_estimate_1qf_v4_nd_netdebt_number,Net debt - number of contributing analyst estimates,MATRIX,0.3728,4
anl4_fs_detail_estimate_1qf_v4_nd_netprofit_high,Net Profit — highest estimate,MATRIX,0.9409,26
anl4_fs_detail_estimate_1qf_v4_nd_netprofit_low,Net profit - lowest analyst estimate,MATRIX,0.9409,26
anl4_fs_detail_estimate_1qf_v4_nd_netprofit_mean,Net profit mean of analyst estimates,MATRIX,0.9409,94
anl4_fs_detail_estimate_1qf_v4_nd_netprofit_median,Median of analyst estimates for net profit,MATRIX,0.9409,47
anl4_fs_detail_estimate_1qf_v4_nd_netprofit_number,Net Profit - number of analyst estimates,MATRIX,0.9409,1490
anl4_fs_detail_estimate_1qf_v4_nd_netprofit_std,Net Profit - standard deviation of estimates,MATRIX,0.6943,74
anl4_fs_detail_estimate_1qf_v4_nd_netprofita_high,"Highest estimate of Adjusted Net Income (Net Profit, Adjusted)",MATRIX,0.8557,22
anl4_fs_detail_estimate_1qf_v4_nd_netprofita_low,Adjusted net income – lowest analyst estimate,MATRIX,0.8557,20
anl4_fs_detail_estimate_1qf_v4_nd_netprofita_mean,Mean of analyst estimates for adjusted net income,MATRIX,0.8557,11
anl4_fs_detail_estimate_1qf_v4_nd_netprofita_median,"Median of Adjusted Net Income (Net Profit, Adjusted) estimates",MATRIX,0.8557,17
anl4_fs_detail_estimate_1qf_v4_nd_netprofita_number,Number of adjusted net income (Net Profit Attributable) estimates,MATRIX,0.8557,304
anl4_fs_detail_estimate_1qf_v4_nd_netprofita_std,Standard deviation of analyst estimates for adjusted net income,MATRIX,0.5597,11
anl4_fs_detail_estimate_1qf_v4_nd_ptp_high,Highest analyst estimate for pretax income,MATRIX,0.9083,27
anl4_fs_detail_estimate_1qf_v4_nd_ptp_low,Lowest estimate of pretax income,MATRIX,0.9083,17
anl4_fs_detail_estimate_1qf_v4_nd_ptp_mean,Mean of Pre-tax Income estimates,MATRIX,0.9083,35
anl4_fs_detail_estimate_1qf_v4_nd_ptp_median,Median of Pre-tax Income estimates,MATRIX,0.9083,36
anl4_fs_detail_estimate_1qf_v4_nd_ptp_number,Pre-tax income number of contributing estimates,MATRIX,0.9083,491
anl4_fs_detail_estimate_1qf_v4_nd_ptp_std,Pre-tax income standard deviation of estimates,MATRIX,0.643,50
anl4_fs_detail_estimate_1qf_v4_nd_ptpr_high,Highest estimate of Reported Pretax Income,MATRIX,0.4519,4
anl4_fs_detail_estimate_1qf_v4_nd_ptpr_low,Lowest estimate of reported pretax income,MATRIX,0.4519,6
anl4_fs_detail_estimate_1qf_v4_nd_ptpr_mean,Reported pretax income - mean of estimations,MATRIX,0.4519,4
anl4_fs_detail_estimate_1qf_v4_nd_ptpr_median,Median estimate of Reported Pretax Income,MATRIX,0.4519,6
anl4_fs_detail_estimate_1qf_v4_nd_ptpr_number,Number of analyst estimates for reported pretax income,MATRIX,0.4519,132
anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_high,Research and Development Expense — highest estimate,MATRIX,0.3709,2
anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_low,Lowest analyst estimate for Research and Development expenditure,MATRIX,0.3709,3
anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_mean,Mean of research and development expense estimates,MATRIX,0.3709,282
anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_median,Median of Research and Development Expense estimates,MATRIX,0.3709,3
anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_number,Number of analyst estimates for research and development expense,MATRIX,0.3709,46
anl4_fs_detail_estimate_1qf_v4_nd_sga_high,"Highest analyst estimate for Selling, General and Administrative expenses",MATRIX,0.5475,4
anl4_fs_detail_estimate_1qf_v4_nd_sga_low,"Lowest analyst estimate for Selling, General and Administrative expenses",MATRIX,0.5475,20
anl4_fs_detail_estimate_1qf_v4_nd_sga_mean,"Mean of analysts' estimates for Selling, General and Administrative expenses",MATRIX,0.5475,4
anl4_fs_detail_estimate_1qf_v4_nd_sga_median,"Median of analyst estimates for selling, general and administrative expense",MATRIX,0.5475,4
anl4_fs_detail_estimate_1qf_v4_nd_sga_number,"Number of Selling, General and Administrative Expense estimates",MATRIX,0.5475,7
anl4_fs_detail_estimate_1qf_v4_nd_sh_equity_high,Shareholders' Equity highest analyst estimate,MATRIX,0.7264,26
anl4_fs_detail_estimate_1qf_v4_nd_sh_equity_low,Shareholders' Equity lowest analyst estimate,MATRIX,0.7264,34
anl4_fs_detail_estimate_1qf_v4_nd_sh_equity_mean,Mean of analyst estimates for shareholders' equity,MATRIX,0.7264,13
anl4_fs_detail_estimate_1qf_v4_nd_sh_equity_median,Shareholders' Equity - median estimate,MATRIX,0.7264,5
anl4_fs_detail_estimate_1qf_v4_nd_sh_equity_number,Number of Shareholders' Equity estimates,MATRIX,0.7264,27
anl4_fs_detail_estimate_1qf_v4_nd_totassets_high,Total Assets - The highest estimation,MATRIX,0.7048,13
anl4_fs_detail_estimate_1qf_v4_nd_totassets_low,Total Assets - lowest estimate,MATRIX,0.7048,17
anl4_fs_detail_estimate_1qf_v4_nd_totassets_mean,Mean (average) of total assets estimates,MATRIX,0.7048,21
anl4_fs_detail_estimate_1qf_v4_nd_totassets_median,Median of total assets estimates,MATRIX,0.7048,3
anl4_fs_detail_estimate_1qf_v4_nd_totassets_number,Total Assets - number of estimations,MATRIX,0.7048,18
anl4_fs_detail_estimate_1qf_v4_nd_totgw_high,Total Goodwill - The highest estimation,MATRIX,0.435,5
anl4_fs_detail_estimate_1qf_v4_nd_totgw_low,Lowest estimate of total goodwill,MATRIX,0.435,2
anl4_fs_detail_estimate_1qf_v4_nd_totgw_mean,Mean of analyst estimates for total goodwill,MATRIX,0.435,1
anl4_fs_detail_estimate_1qf_v4_nd_totgw_median,Total Goodwill - median of estimations,MATRIX,0.435,0
anl4_fs_detail_estimate_1qf_v4_nd_totgw_number,Number of contributing estimates for total goodwill,MATRIX,0.435,8
anl4_fs_detail_estimate_basic_af_v4_nd_currency,Currency code in which the estimate is reported,VECTOR,0.9945,3
anl4_fs_detail_estimate_basic_af_v4_nd_estimate,Current estimate value reported by the broker/analyst for the item and period,VECTOR,0.9899,12
anl4_fs_detail_estimate_basic_af_v4_nd_previosestimate,Previous estimate value from the same broker/analyst prior to this revision,VECTOR,0.9862,7
anl4_fs_detail_estimate_basic_qf_v4_nd_currency,Currency code in which the estimate is reported,VECTOR,0.9917,8
anl4_fs_detail_estimate_basic_qf_v4_nd_estimate,Estimated value,VECTOR,0.9872,3
anl4_fs_detail_estimate_basic_qf_v4_nd_previosestimate,Previous estimate value before the current revision,VECTOR,0.9827,7
anl4_fs_detail_estimate_saf_v4_nd_estimate,Estimated value for the financial item,VECTOR,0.4204,0
anl4_fs_detail_estimate_saf_v4_nd_previosestimate,Previous estimate value for the same item,VECTOR,0.4014,0
anl4_fs_detail_estimates_advanced_af_nd_bvps_high,Highest analyst estimate of book value per share for the annual period,MATRIX,0.6613,16
anl4_fs_detail_estimates_advanced_af_nd_bvps_low,Lowest analyst estimate of book value per share for the annual period,MATRIX,0.6613,13
anl4_fs_detail_estimates_advanced_af_nd_bvps_mean,Mean of analyst estimates of book value per share for the annual period,MATRIX,0.6613,20
anl4_fs_detail_estimates_advanced_af_nd_bvps_median,Median of analyst estimates of book value per share for the annual period,MATRIX,0.6613,16
anl4_fs_detail_estimates_advanced_af_nd_bvps_number,Number of analyst estimates of book value per share for the annual period,MATRIX,0.6613,16
anl4_fs_detail_estimates_advanced_af_nd_bvps_std,Standard deviation of analyst estimates of book value per share for the annual period,MATRIX,0.3031,24
anl4_fs_detail_estimates_advanced_af_nd_capex_high,Highest analyst estimate of Capital Expenditures for the upcoming fiscal year,MATRIX,0.7769,8
anl4_fs_detail_estimates_advanced_af_nd_capex_low,Lowest analyst estimate of Capital Expenditures for the upcoming annual fiscal period,MATRIX,0.7769,7
anl4_fs_detail_estimates_advanced_af_nd_capex_mean,Mean of analyst estimates for Capital Expenditures for the annual forecast,MATRIX,0.7769,27
anl4_fs_detail_estimates_advanced_af_nd_capex_median,Median of analyst estimates for Capital Expenditures for the annual forecast,MATRIX,0.7769,7
anl4_fs_detail_estimates_advanced_af_nd_capex_number,Number of analyst estimates for Capital Expenditures on an annual basis,MATRIX,0.7769,4
anl4_fs_detail_estimates_advanced_af_nd_capex_std,Standard deviation of analyst estimates for Capital Expenditures on an annual basis,MATRIX,0.4176,4
anl4_fs_detail_estimates_advanced_af_nd_cff_high,Highest analyst forecast for annual cash flow from financing,MATRIX,0.6905,7
anl4_fs_detail_estimates_advanced_af_nd_cff_low,Lowest analyst forecast for annual cash flow from financing,MATRIX,0.6905,6
anl4_fs_detail_estimates_advanced_af_nd_cff_mean,Mean of analyst estimates for annual cash flow from financing,MATRIX,0.6905,8
anl4_fs_detail_estimates_advanced_af_nd_cff_median,Median of analyst forecasts for annual cash flow from financing,MATRIX,0.6905,4
anl4_fs_detail_estimates_advanced_af_nd_cff_number,Number of analyst estimates for annual cash flow from financing,MATRIX,0.6905,6
anl4_fs_detail_estimates_advanced_af_nd_cff_std,Standard deviation of analyst estimates for annual cash flow from financing,MATRIX,0.3173,4
anl4_fs_detail_estimates_advanced_af_nd_cfi_high,Highest analyst forecast for annual cash flow from investing,MATRIX,0.692,3
anl4_fs_detail_estimates_advanced_af_nd_cfi_low,Lowest analyst forecast for annual cash flow from investing,MATRIX,0.692,4
anl4_fs_detail_estimates_advanced_af_nd_cfi_mean,Mean of analyst estimates for annual cash flow from investing,MATRIX,0.692,7
anl4_fs_detail_estimates_advanced_af_nd_cfi_median,Median of analyst forecasts for annual cash flow from investing,MATRIX,0.692,6
anl4_fs_detail_estimates_advanced_af_nd_cfi_number,Number of analyst estimates for annual cash flow from investing,MATRIX,0.692,7
anl4_fs_detail_estimates_advanced_af_nd_cfi_std,Standard deviation of analyst estimates for annual cash flow from investing,MATRIX,0.3331,3
anl4_fs_detail_estimates_advanced_af_nd_cfo_high,"Cash Flow from Operations, highest estimate",MATRIX,0.7505,10
anl4_fs_detail_estimates_advanced_af_nd_cfo_low,"Cash Flow from Operations, lowest estimate",MATRIX,0.7505,14
anl4_fs_detail_estimates_advanced_af_nd_cfo_mean,"Cash Flow from Operations, mean estimate",MATRIX,0.7505,81
anl4_fs_detail_estimates_advanced_af_nd_cfo_median,"Cash Flow from Operations, median estimate",MATRIX,0.7505,19
anl4_fs_detail_estimates_advanced_af_nd_cfo_number,"Cash Flow from Operations, number of estimates",MATRIX,0.7505,10
anl4_fs_detail_estimates_advanced_af_nd_cfo_std,"Cash Flow from Operations, standard deviation of estimates",MATRIX,0.4019,4
anl4_fs_detail_estimates_advanced_af_nd_ebit_high,Highest analyst annual estimate for EBIT,MATRIX,0.9326,117
anl4_fs_detail_estimates_advanced_af_nd_ebit_low,Lowest analyst annual estimate for EBIT,MATRIX,0.9326,133
anl4_fs_detail_estimates_advanced_af_nd_ebit_mean,Consensus mean of analyst annual estimates for EBIT,MATRIX,0.9326,102
anl4_fs_detail_estimates_advanced_af_nd_ebit_median,Median of analyst annual estimates for EBIT,MATRIX,0.9326,34
anl4_fs_detail_estimates_advanced_af_nd_ebit_number,Number of contributing analyst annual estimates for EBIT,MATRIX,0.9326,22
anl4_fs_detail_estimates_advanced_af_nd_ebit_std,Standard deviation of analyst annual estimates for EBIT,MATRIX,0.6206,18
anl4_fs_detail_estimates_advanced_af_nd_ebitda_high,Highest analyst annual estimate for EBITDA,MATRIX,0.8021,11
anl4_fs_detail_estimates_advanced_af_nd_ebitda_low,Lowest analyst annual estimate for EBITDA,MATRIX,0.8021,13
anl4_fs_detail_estimates_advanced_af_nd_ebitda_mean,Consensus mean of analyst annual estimates for EBITDA,MATRIX,0.8021,41
anl4_fs_detail_estimates_advanced_af_nd_ebitda_median,Median of analyst annual estimates for EBITDA,MATRIX,0.8021,23
anl4_fs_detail_estimates_advanced_af_nd_ebitda_number,Number of contributing analyst annual estimates for EBITDA,MATRIX,0.8021,11
anl4_fs_detail_estimates_advanced_af_nd_ebitda_std,Standard deviation of analyst annual estimates for EBITDA,MATRIX,0.4953,16
anl4_fs_detail_estimates_advanced_af_nd_epsr_high,Highest analyst estimate of reported (GAAP) earnings per share for the annual period,MATRIX,0.9088,135
anl4_fs_detail_estimates_advanced_af_nd_epsr_low,Lowest analyst estimate of reported (GAAP) earnings per share for the annual period,MATRIX,0.9088,141
anl4_fs_detail_estimates_advanced_af_nd_epsr_mean,Mean of analyst estimates of reported (GAAP) earnings per share for the annual period,MATRIX,0.9088,162
anl4_fs_detail_estimates_advanced_af_nd_epsr_median,Median of analyst estimates of reported (GAAP) earnings per share for the annual period,MATRIX,0.9088,126
anl4_fs_detail_estimates_advanced_af_nd_epsr_number,Number of analyst estimates of reported (GAAP) earnings per share for the annual period,MATRIX,0.9088,182
anl4_fs_detail_estimates_advanced_af_nd_epsr_std,Standard deviation of analyst estimates of reported (GAAP) earnings per share for the annual period,MATRIX,0.5844,77
anl4_fs_detail_estimates_advanced_af_nd_fcf_high,Highest analyst forecast for annual free cash flow,MATRIX,0.6984,9
anl4_fs_detail_estimates_advanced_af_nd_fcf_low,Lowest analyst forecast for annual free cash flow,MATRIX,0.6984,13
anl4_fs_detail_estimates_advanced_af_nd_fcf_mean,Mean of analyst estimates for annual free cash flow,MATRIX,0.6984,40
anl4_fs_detail_estimates_advanced_af_nd_fcf_median,Median of analyst forecasts for annual free cash flow,MATRIX,0.6984,18
anl4_fs_detail_estimates_advanced_af_nd_fcf_number,Number of analyst estimates for annual free cash flow,MATRIX,0.6984,9
anl4_fs_detail_estimates_advanced_af_nd_fcf_std,Standard deviation of analyst estimates for annual free cash flow,MATRIX,0.3575,4
anl4_fs_detail_estimates_advanced_af_nd_fcfps_high,Highest analyst forecast for annual free cash flow per share,MATRIX,0.5224,10
anl4_fs_detail_estimates_advanced_af_nd_fcfps_low,Lowest analyst forecast for annual free cash flow per share,MATRIX,0.5224,9
anl4_fs_detail_estimates_advanced_af_nd_fcfps_mean,Mean of analyst estimates for annual free cash flow per share,MATRIX,0.5224,14
anl4_fs_detail_estimates_advanced_af_nd_fcfps_median,Median of analyst forecasts for annual free cash flow per share,MATRIX,0.5224,19
anl4_fs_detail_estimates_advanced_af_nd_fcfps_number,Number of analyst estimates for annual free cash flow per share,MATRIX,0.5224,75
anl4_fs_detail_estimates_advanced_af_nd_grossincome_high,Highest analyst annual estimate for Gross Income,MATRIX,0.7442,11
anl4_fs_detail_estimates_advanced_af_nd_grossincome_low,Lowest analyst annual estimate for Gross Income,MATRIX,0.7442,24
anl4_fs_detail_estimates_advanced_af_nd_grossincome_mean,Consensus mean of analyst annual estimates for Gross Income,MATRIX,0.7442,61
anl4_fs_detail_estimates_advanced_af_nd_grossincome_median,Median of analyst annual estimates for Gross Income,MATRIX,0.7442,4
anl4_fs_detail_estimates_advanced_af_nd_grossincome_number,Number of contributing analyst annual estimates for Gross Income,MATRIX,0.7442,8
anl4_fs_detail_estimates_advanced_af_nd_grossincome_std,Standard deviation of analyst annual estimates for Gross Income,MATRIX,0.4513,10
anl4_fs_detail_estimates_advanced_af_nd_netdebt_high,Highest analyst annual estimate for Net Debt,MATRIX,0.6041,11
anl4_fs_detail_estimates_advanced_af_nd_netdebt_low,Lowest analyst annual estimate for Net Debt,MATRIX,0.6041,15
anl4_fs_detail_estimates_advanced_af_nd_netdebt_mean,Consensus mean of analyst annual estimates for Net Debt,MATRIX,0.6041,19
anl4_fs_detail_estimates_advanced_af_nd_netdebt_median,Median of analyst annual estimates for Net Debt,MATRIX,0.6041,10
anl4_fs_detail_estimates_advanced_af_nd_netdebt_number,Number of contributing analyst annual estimates for Net Debt,MATRIX,0.6041,2
anl4_fs_detail_estimates_advanced_af_nd_netprofit_high,"Net Profit, highest estimate",MATRIX,0.9588,44
anl4_fs_detail_estimates_advanced_af_nd_netprofit_low,"Net Profit, lowest estimate",MATRIX,0.9588,61
anl4_fs_detail_estimates_advanced_af_nd_netprofit_mean,"Net Profit, mean estimate",MATRIX,0.9588,208
anl4_fs_detail_estimates_advanced_af_nd_netprofit_median,"Net Profit, median estimate",MATRIX,0.9588,55
anl4_fs_detail_estimates_advanced_af_nd_netprofit_number,"Net Profit, number of estimates",MATRIX,0.9588,114
anl4_fs_detail_estimates_advanced_af_nd_netprofit_std,"Net Profit, standard deviation of estimates",MATRIX,0.6637,5
anl4_fs_detail_estimates_advanced_af_nd_netprofita_high,"Net Profit Attributable, highest estimate",MATRIX,0.901,21
anl4_fs_detail_estimates_advanced_af_nd_netprofita_low,"Net Profit Attributable, lowest estimate",MATRIX,0.901,22
anl4_fs_detail_estimates_advanced_af_nd_netprofita_mean,"Net Profit Attributable, mean estimate",MATRIX,0.901,40
anl4_fs_detail_estimates_advanced_af_nd_netprofita_median,"Net Profit Attributable, median estimate",MATRIX,0.901,20
anl4_fs_detail_estimates_advanced_af_nd_netprofita_number,"Net Profit Attributable, number of estimates",MATRIX,0.901,45
anl4_fs_detail_estimates_advanced_af_nd_netprofita_std,"Net Profit Attributable, standard deviation of estimates",MATRIX,0.5569,10
anl4_fs_detail_estimates_advanced_af_nd_ptp_high,"Pretax income, highest analyst estimate",MATRIX,0.9355,60
anl4_fs_detail_estimates_advanced_af_nd_ptp_low,"Pretax income, lowest analyst estimate",MATRIX,0.9355,423
anl4_fs_detail_estimates_advanced_af_nd_ptp_mean,"Pretax income, mean of analyst estimates",MATRIX,0.9355,238
anl4_fs_detail_estimates_advanced_af_nd_ptp_median,"Pretax income, median of analyst estimates",MATRIX,0.9355,38
anl4_fs_detail_estimates_advanced_af_nd_ptp_number,"Pretax income, number of analyst estimates",MATRIX,0.9355,45
anl4_fs_detail_estimates_advanced_af_nd_ptp_std,"Pretax income, standard deviation of analyst estimates",MATRIX,0.6338,19
anl4_fs_detail_estimates_advanced_af_nd_ptpr_high,Highest analyst estimate for annual reported pretax income,MATRIX,0.5126,36
anl4_fs_detail_estimates_advanced_af_nd_ptpr_low,Lowest analyst estimate for annual reported pretax income,MATRIX,0.5126,26
anl4_fs_detail_estimates_advanced_af_nd_ptpr_mean,Consensus mean of analysts’ annual reported pretax income forecasts,MATRIX,0.5126,11
anl4_fs_detail_estimates_advanced_af_nd_ptpr_median,Median of analysts’ annual reported pretax income forecasts,MATRIX,0.5126,14
anl4_fs_detail_estimates_advanced_af_nd_ptpr_number,Number of contributing analyst estimates for annual reported pretax income,MATRIX,0.5126,13
anl4_fs_detail_estimates_advanced_af_nd_rd_exp_high,Highest individual analyst estimate for Research and Development expense for the annual forecast period,MATRIX,0.3936,9
anl4_fs_detail_estimates_advanced_af_nd_rd_exp_low,Lowest individual analyst estimate for Research and Development expense for the annual forecast period,MATRIX,0.3936,63
anl4_fs_detail_estimates_advanced_af_nd_rd_exp_mean,Mean of analyst estimates for Research and Development expense for the annual forecast period,MATRIX,0.3936,8
anl4_fs_detail_estimates_advanced_af_nd_rd_exp_median,Median of analyst estimates for Research and Development expense for the annual forecast period,MATRIX,0.3936,5
anl4_fs_detail_estimates_advanced_af_nd_rd_exp_number,Number of contributing analyst estimates for Research and Development expense for the annual forecast period,MATRIX,0.3936,61
anl4_fs_detail_estimates_advanced_af_nd_sga_high,"Highest individual analyst estimate for Selling, General and Administrative expenses for the annual forecast period",MATRIX,0.6144,14
anl4_fs_detail_estimates_advanced_af_nd_sga_low,"Lowest individual analyst estimate for Selling, General and Administrative expenses for the annual forecast period",MATRIX,0.6144,4
anl4_fs_detail_estimates_advanced_af_nd_sga_mean,"Mean of analyst estimates for Selling, General and Administrative expenses for the annual forecast period",MATRIX,0.6144,10
anl4_fs_detail_estimates_advanced_af_nd_sga_median,"Median of analyst estimates for Selling, General and Administrative expenses for the annual forecast period",MATRIX,0.6144,5
anl4_fs_detail_estimates_advanced_af_nd_sga_number,"Number of contributing analyst estimates for Selling, General and Administrative expenses for the annual forecast period",MATRIX,0.6144,4
anl4_fs_detail_estimates_advanced_af_nd_sh_equity_high,Highest analyst annual estimate for Shareholders' Equity,MATRIX,0.8724,13
anl4_fs_detail_estimates_advanced_af_nd_sh_equity_low,Lowest analyst annual estimate for Shareholders' Equity,MATRIX,0.8724,17
anl4_fs_detail_estimates_advanced_af_nd_sh_equity_mean,Consensus mean of analyst annual estimates for Shareholders' Equity,MATRIX,0.8724,13
